step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-actor/lr_step
1,0,0,0,0,0
2,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06
3,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06
4,3e-06,3e-06,3e-06,3e-06,3e-06
5,4.000000000000001e-06,4.000000000000001e-06,4.000000000000001e-06,4.000000000000001e-06,4.000000000000001e-06
6,4.9999999999999996e-06,4.9999999999999996e-06,4.9999999999999996e-06,4.9999999999999996e-06,4.9999999999999996e-06
7,6e-06,6e-06,6e-06,6e-06,6e-06
8,7e-06,7e-06,7e-06,7e-06,7e-06
9,8.000000000000001e-06,8.000000000000001e-06,8.000000000000001e-06,8.000000000000001e-06,8.000000000000001e-06
10,9e-06,9e-06,9e-06,9e-06,9e-06
11,1e-05,1e-05,1e-05,1e-05,1e-05
12,1e-05,1e-05,1e-05,9.999735952524009e-06,9.999706613915568e-06
13,1e-05,1e-05,1e-05,9.99894384108318e-06,9.998826490092419e-06
14,1e-05,1e-05,1e-05,9.997623758635298e-06,9.997359731816998e-06
15,1e-05,1e-05,1e-05,9.995775860097895e-06,9.995306511219883e-06
16,1e-05,1e-05,1e-05,9.99340036233006e-06,9.992667069255621e-06
17,1e-05,1e-05,1e-05,9.99049754410698e-06,9.989441715674422e-06
18,1e-05,1e-05,1e-05,9.98706774608725e-06,9.985630828985836e-06
19,1e-05,1e-05,1e-05,9.983111370772877e-06,9.981234856414305e-06
20,1e-05,1e-05,1e-05,9.97862888246204e-06,9.976254313846709e-06
21,1e-05,1e-05,1e-05,9.97362080719462e-06,9.970689785771797e-06
22,1e-05,1e-05,1e-05,9.968087732690453e-06,9.964541925211611e-06
23,1e-05,1e-05,1e-05,9.962030308280363e-06,9.957811453644848e-06
24,1e-05,1e-05,1e-05,9.955449244829966e-06,9.950499160922184e-06
25,1e-05,1e-05,1e-05,9.948345314656234e-06,9.942605905173593e-06
26,1e-05,1e-05,1e-05,9.94071935143687e-06,9.93413261270763e-06
27,1e-05,1e-05,1e-05,9.932572250112469e-06,9.925080277902743e-06
28,1e-05,1e-05,1e-05,9.923904966781496e-06,9.915449963090551e-06
29,1e-05,1e-05,1e-05,9.914718518588078e-06,9.905242798431196e-06
30,1e-05,1e-05,1e-05,9.905013983602639e-06,9.894459981780711e-06
31,1e-05,1e-05,1e-05,9.89479250069539e-06,9.883102778550434e-06
32,1e-05,1e-05,1e-05,9.884055269402669e-06,9.871172521558523e-06
33,1e-05,1e-05,1e-05,9.872803549786177e-06,9.858670610873528e-06
34,1e-05,1e-05,1e-05,9.861038662285092e-06,9.845598513650104e-06
35,1e-05,1e-05,1e-05,9.84876198756113e-06,9.831957763956814e-06
36,1e-05,1e-05,1e-05,9.835974966336504e-06,9.817749962596115e-06
37,1e-05,1e-05,1e-05,9.822679099224844e-06,9.80297677691649e-06
38,1e-05,1e-05,1e-05,9.80887594655511e-06,9.787639940616789e-06
39,1e-05,1e-05,1e-05,9.794567128188468e-06,9.771741253542742e-06
40,1e-05,1e-05,1e-05,9.779754323328192e-06,9.755282581475766e-06
41,1e-05,1e-05,1e-05,9.76443927032261e-06,9.738265855914014e-06
42,1e-05,1e-05,1e-05,9.7486237664611e-06,9.720693073845668e-06
43,1e-05,1e-05,1e-05,9.732309667763157e-06,9.70256629751462e-06
44,1e-05,1e-05,1e-05,9.7154988887606e-06,9.683887654178444e-06
45,1e-05,1e-05,1e-05,9.69819340227288e-06,9.664659335858754e-06
46,1e-05,1e-05,1e-05,9.680395239175563e-06,9.644883599083959e-06
47,1e-05,1e-05,1e-05,9.662106488162e-06,9.624562764624445e-06
48,1e-05,1e-05,1e-05,9.643329295498215e-06,9.60369921722024e-06
49,1e-05,1e-05,1e-05,9.624065864771019e-06,9.582295405301133e-06
50,1e-05,1e-05,1e-05,9.604318456629414e-06,9.560353840699349e-06
51,1e-05,1e-05,1e-05,9.584089388519309e-06,9.537877098354789e-06
