step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-critic/returns/mean_step
1,-0.12180136144161224,-0.1144670471549034,-0.12146776914596558,-0.12295311689376832,-0.11961789429187776
2,-0.11311347037553789,-0.11127068847417831,-0.10800829529762268,-0.10922805964946748,-0.10345377773046494
3,-0.11954615265130995,-0.1113014668226242,-0.09736979007720949,-0.10731957107782364,-0.11205195635557176
4,-0.11533519625663756,-0.11367516964673996,-0.12052349001169203,-0.13048939406871796,-0.1200602650642395
5,-0.13936452567577362,-0.10313375294208528,-0.1454102247953415,-0.1230258047580719,-0.12610898911952972
6,-0.15686096251010895,-0.0801347941160202,-0.1402595192193985,-0.125592902302742,-0.12296038120985033
7,-0.137516587972641,-0.10981112718582152,-0.15195882320404053,-0.13944943249225616,-0.13739533722400665
8,-0.18642525374889377,-0.4354186952114105,-0.16550184786319733,-0.19310623407363892,-0.16849541664123535
9,-0.16198179125785828,-0.5092118978500366,-0.18031278252601624,-0.18779976665973663,-0.17307494580745697
10,-0.163752019405365,-0.4969339966773987,-0.17962618172168732,-0.15752460062503815,-0.16468818485736847
11,-0.16039125621318817,-0.5204718112945557,-0.17407354712486267,-0.1619015485048294,-0.15305988490581512
12,-0.16444329917430878,-0.4973592460155487,-0.1557285338640213,-0.15550898015499115,-0.12087801098823547
13,-0.13684424757957458,-0.511867880821228,-0.13951945304870603,-0.130327969789505,-0.10611114650964736
14,-0.13154585659503937,-0.4971312284469605,-0.1216890886425972,-0.11859997361898422,-0.2381308227777481
15,-0.13243700563907623,-0.5076700448989868,-0.1305755376815796,-0.1267189085483551,-0.3201981782913208
16,-0.0979132205247879,-0.5195563435554504,-0.07324917614459991,-0.09816643595695496,-0.20468439161777496
17,-0.1049664244055748,-0.5116845965385437,-0.08565839380025864,-0.0880628228187561,-0.14354822039604187
18,-0.06285757571458817,-0.5220632553100586,-0.07074802368879318,-0.07005967944860458,-0.24410809576511383
19,-0.0929998978972435,-0.4903324842453003,-0.07198932766914368,-0.09600736945867538,-0.20405055582523343
20,-0.06324269622564316,-0.5173575282096863,-0.06669636070728302,-0.07448339462280273,-0.13379569351673126
21,-0.05032114312052727,-0.5125520825386047,-0.06322000175714493,-0.07979738712310791,-0.1748410314321518
22,-0.05397002026438713,-0.4999868869781494,-0.07321110367774963,-0.06007261201739311,-0.17944978177547455
23,-0.07294319570064545,-0.4901816248893738,-0.06395314633846283,-0.0656115785241127,-0.10782819986343384
24,-0.07526157051324844,-0.4865173101425171,-0.05216836556792259,-0.048280294984579086,-0.08479353040456772
25,-0.07574895769357681,-0.48594480752944946,-0.06371182203292847,-0.04938681796193123,-0.09958118945360184
26,-0.08306320756673813,-0.48997762799263,-0.05539904907345772,-0.02998636849224567,-0.2526245713233948
27,-0.04941817000508309,-0.49998602271080017,-0.045302800834178925,-0.05240431800484657,-0.07353469729423523
28,-0.06554809212684631,-0.4858678579330444,-0.07749370485544205,-0.05372023954987526,-0.1024625301361084
29,-0.050052665174007416,-0.47139692306518555,-0.06696639209985733,-0.046814680099487305,-0.0627140924334526
30,-0.06835775822401047,-0.48455581068992615,-0.05191996693611145,-0.04593813046813011,-0.041102077811956406
31,-0.06566694378852844,-0.4483288526535034,-0.03926721215248108,-0.04525018855929375,-0.1059749200940132
32,-0.07040407508611679,-0.4586646854877472,-0.06431490182876587,-0.06539667397737503,-0.08967451006174088
33,-0.05338361859321594,-0.4868612885475158,-0.035051584243774414,-0.04622982442378998,-0.09364523738622664
34,-0.04255877807736397,-0.4347637593746186,-0.050234604626894,-0.04336007311940193,-0.0986046865582466
35,-0.03400819003582001,-0.44911158084869385,-0.04544033855199814,-0.07022055238485336,-0.06332530826330185
36,-0.07177992910146713,-0.4547780156135559,-0.06809399276971817,-0.09024491161108016,-0.06154916808009147
37,-0.06628057360649109,-0.3963222801685333,-0.03947191312909126,-0.05926424264907837,-0.10566944628953934
38,-0.047168292105197906,-0.4369963109493256,-0.039068665355443954,-0.04550418630242348,-0.08544336259365082
39,-0.05751819908618927,-0.4524242877960205,-0.048194147646427155,-0.04011796787381172,-0.04328680038452149
40,-0.053891655057668686,-0.41294118762016296,-0.05141289159655571,-0.06411631405353546,-0.033747922629117966
41,-0.05929906666278839,-0.43148496747016907,-0.03563777357339859,-0.0556141659617424,-0.004998374730348587
42,-0.0689781904220581,-0.4132507145404816,-0.043148886412382126,-0.04117240384221077,-0.03817588835954666
43,-0.07380928099155426,-0.39762431383132935,-0.04809184372425079,-0.069216787815094,-0.12308081984519958
44,-0.0416593924164772,-0.3924570083618164,-0.04889257997274399,-0.059737734496593475,-0.12959124147891998
45,-0.0738329067826271,-0.33862292766571045,-0.04276634007692337,-0.03838087245821953,-0.03489738330245018
46,-0.04576324671506882,-0.380314826965332,-0.049979399889707565,-0.03920198604464531,-0.00974295288324356
47,-0.04457894340157509,-0.38902339339256287,-0.0385546013712883,-0.05299881100654602,0
48,-0.054281678050756454,-0.41517579555511475,-0.04419909417629242,-0.03759106248617172,-0.008177487179636955
49,-0.05367111414670944,-0.39684632420539856,-0.03483830764889717,-0.060849446803331375,-0.032662224024534225
50,-0.042921002954244614,-0.3864338099956513,-0.0393759123980999,-0.038297541439533234,-0.07106354087591171
51,-0.05398887023329735,-0.3233951926231384,-0.04510701075196266,-0.06826607137918472,-0.056561242789030075
52,-0.055417947471141815,-0.3800138533115387,-0.03183969855308533,-0.056721169501543045,-0.014194346964359283
53,-0.05559235438704491,-0.4011210501194,-0.04993614926934242,-0.061295103281736374,0
54,-0.04631587117910385,-0.3773385882377625,-0.05569939315319061,-0.04289659112691879,-0.0066591487266123295
55,-0.05644756183028221,-0.3395364582538605,-0.03399684652686119,-0.04175008460879326,-0.011133912950754166
56,-0.06543928384780884,-0.3464353084564209,-0.040978167206048965,-0.04027897119522095,-0.028338689357042313
57,-0.04988659545779228,-0.3576812744140625,-0.05234180763363838,-0.0407530702650547,-0.03841202333569527
58,-0.05165515094995499,-0.27616769075393677,-0.04959492385387421,-0.03358783945441246,-0.04008939117193222
59,-0.0764334425330162,-0.2853137254714966,-0.046335428953170776,-0.04016035050153732,-0.005089612677693367
60,-0.05753619596362114,-0.32025814056396484,-0.04189782962203026,-0.027096595615148544,0
61,-0.058217864483594894,-0.32494106888771057,-0.035868771374225616,-0.032918401062488556,0
62,-0.07628003507852554,-0.33879467844963074,-0.049307286739349365,-0.04889414459466934,-0.005991004407405853
63,-0.06282331794500351,-0.3327650725841522,-0.043096885085105896,-0.04086555913090706,-0.027469538152217865
64,-0.04573829099535942,-0.32067957520484924,-0.025543957948684692,-0.03885183110833168,-0.012585831806063652
65,-0.04829121381044388,-0.28579771518707275,-0.03246660158038139,-0.0379100926220417,-0.0031452025286853313
66,-0.06623538583517075,-0.28586262464523315,-0.04699239507317543,-0.04392275586724281,-0.002566272858530283
67,-0.06086112931370735,-0.27770736813545227,-0.05295312404632568,-0.07488193362951279,0
68,-0.06538927555084229,-0.28725558519363403,-0.04735320806503296,-0.06291424483060837,-0.001778205158188939
69,-0.06771612912416458,-0.2536662817001343,-0.04579691588878632,-0.041384682059288025,-0.021446770057082176
70,-0.055750522762537,-0.28165143728256226,-0.0596715472638607,-0.03520756959915161,0
71,-0.034470874816179276,-0.27188676595687866,-0.034264445304870605,-0.0473504476249218,0
72,-0.06296713650226593,-0.2576787769794464,-0.042098868638277054,-0.061019010841846466,-0.02923182025551796
73,-0.04309540241956711,-0.23050834238529205,-0.05052933469414711,-0.038862571120262146,-0.0015318908262997866
74,-0.040548671036958694,-0.25193747878074646,-0.028658654540777206,-0.03193603828549385,0
75,-0.049553416669368744,-0.2269381880760193,-0.047845736145973206,-0.04834708571434021,-0.0004999510711058974
76,-0.03990016132593155,-0.22849999368190765,-0.04266363009810448,-0.044360436499118805,-0.004213562700897455
77,-0.0685211643576622,-0.2094830423593521,-0.04359615221619606,-0.05495958775281906,-0.021165598183870316
78,-0.03399199619889259,-0.1961175799369812,-0.03537055850028992,-0.041125282645225525,0
79,-0.044492628425359726,-0.20703059434890747,-0.03835169970989227,-0.05176321417093277,0
80,-0.037189919501543045,-0.1972869336605072,-0.02935333549976349,-0.05162375420331955,-0.0004870967532042414
81,-0.058087918907403946,-0.20061522722244263,-0.0461106076836586,-0.056791000068187714,-0.020898710936307907
82,-0.04062843322753906,-0.19510750472545624,-0.03064628690481186,-0.040600743144750595,-0.0011575996177271008
83,-0.07153722643852234,-0.18626995384693143,-0.029971491545438766,-0.05509043112397194,0
84,-0.0547192320227623,-0.18230609595775604,-0.0417284294962883,-0.03876632452011109,-0.0007853299612179399
85,-0.07176962494850159,-0.2001783698797226,-0.05159691721200943,-0.06472056359052658,-0.00588984927162528
86,-0.04263608157634735,-0.18613079190254211,-0.04858784377574921,-0.046905454248189926,-0.01226027775555849
87,-0.04583849385380745,-0.18637828528881073,-0.04561132192611694,-0.07139578461647034,0
88,-0.03688080608844757,-0.18573082983493805,-0.04471870511770248,-0.06667277216911316,0
89,-0.0526592954993248,-0.1771240234375,-0.04707905277609825,-0.06502016633749008,0
90,-0.04012931138277054,-0.18884937465190887,-0.04635085538029671,-0.06525120884180069,-0.01139968167990446
91,-0.04491035640239715,-0.15303346514701843,-0.04049643501639366,-0.05916618183255195,0
92,-0.03736695647239685,-0.17206056416034698,-0.03691858425736427,-0.06241346150636673,0
93,-0.04657485336065293,-0.15846437215805054,-0.05382756516337395,-0.057225603610277176,0
94,-0.036384180188179016,-0.17511621117591858,-0.03390917927026749,-0.052381549030542374,-0.006884720176458359
95,-0.06267886608839035,-0.19846132397651672,-0.03997489809989929,-0.061107028275728226,-0.002190976170822978
96,-0.0558723583817482,-0.17205142974853516,-0.0452631451189518,-0.07319183647632599,-0.00046235608169808984
97,-0.04888051375746727,-0.17027625441551208,-0.050856105983257294,-0.06101071462035179,0
98,-0.03935782611370087,-0.16272155940532684,-0.05956290662288666,-0.05461700260639191,-0.002080937149003148
99,-0.029884064570069313,-0.14022944867610931,-0.06562372297048569,-0.043791402131319046,-0.02025020495057106
100,-0.0539083406329155,-0.141608864068985,-0.06791991740465164,-0.06691791862249374,-0.02415473200380802
101,-0.04737308248877525,-0.14869697391986847,-0.04255342856049538,-0.061553291976451874,-0.18411143124103543
102,-0.06180889531970024,-0.1139431819319725,-0.04942876845598221,-0.047246839851140976,-0.23037222027778623
103,-0.054158277809619904,-0.11246417462825777,-0.07070567458868027,-0.07596685737371445,-0.09646178781986237
104,-0.03511951491236687,-0.1232418566942215,-0.03570855036377907,-0.06038655340671539,0
105,-0.05993993207812309,-0.12715621292591095,-0.050196606665849686,-0.06856095045804977,0
106,-0.07384423911571503,-0.1212010309100151,-0.06076400727033615,-0.06270089745521545,0
107,-0.04549933224916458,-0.13331890106201172,-0.057899847626686096,-0.0517171174287796,0
108,-0.04028080403804779,-0.1282927542924881,-0.09693006426095964,-0.05855146795511246,-0.016323762014508247
109,-0.058839261531829834,-0.1274518370628357,-0.07082195580005646,-0.07871649414300919,-0.03137257322669029
110,-0.0399259477853775,-0.12552374601364136,-0.06378612667322159,-0.049375373870134354,-0.018536582589149475
111,-0.04932510852813721,-0.10398218035697936,-0.06986808776855469,-0.04878479614853859,-0.007572712376713753
112,-0.040604863315820694,-0.11348765343427658,-0.0483410619199276,-0.0511479452252388,-0.0021981254685670137
113,-0.037010934203863144,-0.10107149928808212,-0.05978628247976303,-0.06532438099384308,-0.005090666003525257
114,-0.058957453817129135,-0.09965404868125916,-0.041008349508047104,-0.05841262266039848,-0.00813705287873745
115,-0.06210683658719063,-0.15091213583946228,-0.06869050860404968,-0.06655582040548325,-0.015842733904719353
116,-0.05222920700907707,-0.1319778561592102,-0.05443134903907776,-0.05415038019418717,-0.009415769018232822
117,-0.05345328152179718,-0.1388854831457138,-0.05036193877458573,-0.05921255052089691,-0.0016916963504627347
118,-0.03836759552359581,-0.18305598199367523,-0.046902626752853394,-0.049987077713012695,-0.0025901685003191233
119,-0.04307983070611954,-0.16512258350849152,-0.04490940272808075,-0.03775037080049515,-0.007679619360715151
120,-0.059953853487968445,-0.16745662689208984,-0.058548703789711,-0.054484181106090546,-0.006113837938755751
121,-0.06737811863422394,-0.18923282623291016,-0.05896878242492676,-0.0604153536260128,-0.002914655487984419
