step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-response_length/mean_step
1,6127.0908203125,6107.4599609375,6202.556640625,6092.6630859375,6185.169921875
2,6493.2109375,6388.3623046875,6405.978515625,6360.0478515625,6446.640625
3,6413.1552734375,6422.53125,6384.1201171875,6429.59375,6440.724609375
4,6219.8984375,6330.5546875,6152.88671875,6198.2607421875,6290.712890625
5,5483.3408203125,6257.07421875,5627.865234375,5649.28125,5697.05859375
6,5702.9833984375,6589.25,5792.7060546875,5831.4970703125,6197.0068359375
7,5588.685546875,5570.376953125,5510.7109375,5596.8876953125,6079.0947265625
8,4518.859375,5049.326171875,4564.576171875,4532.5380859375,5244.486328125
9,3975.6982421875,3962.509765625,3965.697265625,4051.4384765625,4645.421875
10,4134.931640625,4310.8447265625,3950.541015625,3907.8857421875,4617.611328125
11,4345.626953125,3887.162109375,4110.2216796875,4108.3447265625,4615.3876953125
12,4008.0546875,3977.4736328125,3640.564453125,3628.703125,3707.3349609375
13,3873.19921875,3732.564453125,3837.384765625,3705.267578125,3382.96484375
14,3443.7607421875,3504.7744140625,3464.58203125,3313.06640625,3222.181640625
15,3233.330078125,3503.482421875,3185.3193359375,3171.6328125,3275.3076171875
16,3056.7861328125,3782.5,3014.7412109375,2937.1240234375,2346.6494140625
17,2900.001953125,3420.1748046875,2861.5693359375,2861.9072265625,2241.646484375
18,2751.73046875,3212.1318359375,2801.3955078125,2752.8271484375,2206.0439453125
19,2975.505859375,3374.3291015625,2816.4150390625,2840.6533203125,2085.556640625
20,2722.8115234375,3613.9931640625,2843.4638671875,2730.7119140625,1919.201171875
21,2598.6640625,3520.6328125,2602.4541015625,2500.755859375,1954.6796875
22,2621.8525390625,3413.9716796875,2757.5390625,2472.1435546875,1752.6689453125
