step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-actor/pg_clipfrac_lower_step
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,2.8407799729801793e-07
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,3.912510016025641e-07,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,3.469129016873642e-07
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,4.16791711662275e-07
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,6.859846655780255e-07
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,3.633045014880952e-07
104,0,0
105,0,0
106,0,0
107,3.288469914960759e-07,0
108,0,7.150266745676551e-07
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,2.7947949506183656e-07,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,3.2894736250455027e-07
128,0,3.394156692593242e-07
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,3.4204874989680115e-07
136,0,0
137,3.8511782241541713e-07,2.859208052541362e-07
138,0,0
139,4.0203267417382447e-07,0
140,0,3.60933675189947e-07
141,3.982730981433855e-07,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,2.5104181986534965e-07
149,0,0
150,0,0
151,0,3.1323609922158837e-07
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,3.411665286124765e-07
162,0,0
163,0,3.674309280338801e-07
164,3.633045014880952e-07,0
165,0,0
166,0,6.434872721867924e-07
167,0,3.6871850085823776e-07
168,0,3.208707211241644e-07
169,0,3.689677369704175e-07
170,0,0
171,0,0
172,0,0
173,0,0
174,0,3.333404453334641e-07
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,3.935768290830311e-07,0
181,0,0
182,0,3.2409027173546035e-07
183,0,0
184,0,0
185,0,3.5698783242630516e-07
186,0,0
187,0,0
188,0,0
189,0,3.330136599327924e-07
190,3.6743092225931047e-07,0
191,0,3.3305446856462845e-07
192,0,0
193,0,0
194,0,0
195,0,0
196,3.853362680429866e-07,0
197,0,3.6619092663220887e-07
198,0,0
199,0,0
200,0,0
201,0,0
202,0,3.3076133315096906e-07
203,3.031500898764423e-07,0
204,0,6.019457817852857e-07
205,0,3.3694539322621293e-07
206,0,0
207,0,0
208,0,1.0205782827041629e-06
209,0,0
210,0,6.659144238928212e-07
211,0,0
212,0,6.271795225782422e-07
213,0,0
214,3.7288056012394644e-07,0
215,0,0
216,3.913710537656188e-07,0
217,0,0
218,0,6.775556338401115e-07
219,2.9905450425022063e-07,0
220,0,3.4018419524806587e-07
221,0,3.2729196313897427e-07
222,0,0
223,0,0
224,0,0
225,0,0
226,3.2491163351334676e-07,0
227,0,0
228,0,0
229,3.3640131650000427e-07,0
230,3.2356177446975685e-07,0
231,0,0
232,0,0
233,0,5.816660315916955e-07
234,0,0
235,0,0
236,0,0
237,0,5.762524225523836e-07
238,3.6319050745670354e-07,0
239,0,5.793835025171426e-07
240,0,0
241,0,3.069503312265927e-07
242,0,0
243,0,3.1135421825941495e-07
244,0,0
245,0,0
246,0,5.651740866596809e-07
247,0,0
248,0,3.084089613643617e-07
249,0,2.9501797496554986e-07
250,0,0
251,0,0
252,0,0
253,0,2.1922439448947747e-07
254,0,2.762034152207586e-07
255,0,0
256,0,0
257,0,3.198812682176535e-07
258,0,0
259,0,0
260,0,3.143230742352898e-07
261,0,6.135987102121968e-07
262,2.784993972285478e-07,3.209077779805133e-07
263,0,3.049018459932995e-07
264,0,8.58111592123703e-07
265,0,0
266,0,2.8067117863410736e-07
267,0,0
268,0,0
269,0,2.5040465160323633e-07
270,0,0
271,0,2.982581645483151e-07
272,0,5.27977798962335e-07
273,0,5.737451260756643e-07
274,0,0
275,0,0
276,0,0
277,0,2.8945236408617347e-07
278,0,3.094304474871024e-07
279,0,0
280,0,2.8542918324306165e-07
281,0,2.8104540206186357e-07
282,0,2.9977744967861025e-07
283,0,2.891844997066073e-07
284,0,3.0940211626311417e-07
285,0,0
286,0,0
287,0,0
288,0,0
289,0,4.841282679990399e-07
290,0,2.867985434325722e-07
291,0,0
292,0,0
293,0,2.949504414573312e-07
294,0,0
295,4.0161930883186867e-07,3.0613469158308766e-07
296,0,0
297,0,0
298,0,2.880795043037163e-07
299,0,0
300,0,2.842045932101981e-07
