step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-critic/returns/mean_step
1,-0.12403859198093414,-0.12114892154932022
2,-0.10303135961294174,-0.10767478495836258
3,-0.10411349684000017,-0.1056375578045845
4,-0.1234554648399353,-0.12994320690631866
5,-0.13584916293621063,-0.1408457309007645
6,-0.15783341228961945,-0.15380576252937317
7,-0.15170027315616608,-0.1772458851337433
8,-0.18756888806819916,-0.1811446249485016
9,-0.18668265640735623,-0.19264060258865356
10,-0.1687093824148178,-0.17363248765468595
11,-0.1639663726091385,-0.16591864824295044
12,-0.17955663800239563,-0.14154988527297974
13,-0.1496463418006897,-0.1241183802485466
14,-0.13340701162815094,-0.11642049252986908
15,-0.1277862787246704,-0.07786718010902405
16,-0.10235696285963058,-0.08105675131082535
17,-0.1143532320857048,-0.09684978425502776
18,-0.06703180819749832,-0.0609620064496994
19,-0.1046028584241867,-0.07535457611083984
20,-0.08565323054790497,-0.05884847790002823
21,-0.06859737634658813,-0.06326187402009964
22,-0.056402429938316345,-0.06929487735033035
23,-0.0619480162858963,-0.05368464067578316
24,-0.07191252708435059,-0.04266248270869255
25,-0.03963068127632141,-0.06321543455123901
26,-0.05211082100868225,-0.0507872961461544
27,-0.053576111793518066,-0.027321530506014824
28,-0.06211771070957184,-0.05093727260828018
29,-0.0721140056848526,-0.03445843979716301
30,-0.0621783435344696,-0.05528111383318901
31,-0.059896379709243774,-0.06340929865837097
32,-0.08142600208520889,-0.07639546692371368
33,-0.0663973018527031,-0.053037628531455994
34,-0.06989359110593796,-0.060873135924339294
35,-0.03984053060412407,-0.059828221797943115
36,-0.08422966301441193,-0.07326871901750565
37,-0.045131877064704895,-0.049463897943496704
38,-0.05732893943786621,-0.04592406004667282
39,-0.05398543179035187,-0.06985344737768173
40,-0.04876085743308067,-0.05916440114378929
41,-0.06028769537806511,-0.042857252061367035
42,-0.07388727366924286,-0.04986698925495148
43,-0.06671498715877533,-0.054840028285980225
44,-0.06284989416599274,-0.05417199805378914
45,-0.06083095446228981,-0.05823703482747078
46,-0.05244534835219383,-0.04329453781247139
47,-0.06506863981485367,-0.05235259234905243
48,-0.0484461784362793,-0.02599150687456131
49,-0.057195231318473816,-0.053685665130615234
50,-0.04538814723491669,-0.03569057211279869
51,-0.06045020744204521,-0.0771753340959549
52,-0.0683552548289299,-0.05457024276256561
53,-0.05050135776400566,-0.05740068107843399
54,-0.07118652015924454,-0.051664549857378006
55,-0.04600958898663521,-0.04618502035737038
56,-0.0693933367729187,-0.06189922988414765
57,-0.05521710216999054,-0.06824512034654617
58,-0.06173287704586983,-0.057270172983407974
59,-0.05708739161491394,-0.05955648049712181
60,-0.06386750191450119,-0.07164619863033295
61,-0.05815799534320831,-0.04787280783057213
62,-0.048951197415590286,-0.05957329273223877
63,-0.062323980033397675,-0.04720054566860199
64,-0.036589235067367554,-0.05493071302771568
65,-0.0415564626455307,-0.040521517395973206
66,-0.056626688688993454,-0.06539639085531235
67,-0.05904795601963997,-0.05767890065908432
68,-0.04979979246854782,-0.055571071803569794
69,-0.04544823244214058,-0.060610346496105194
70,-0.04928120598196983,-0.03637764975428581
71,-0.03474400192499161,-0.03582926467061043
72,-0.04633883014321327,-0.04606812819838524
73,-0.06509542465209961,-0.04149122536182403
74,-0.047276973724365234,-0.05002443864941597
75,-0.06268606334924698,-0.04279359430074692
76,-0.043349217623472214,-0.04951193183660507
77,-0.07175388187170029,-0.0618097260594368
78,-0.05977044627070427,-0.06455731391906738
79,-0.05757172778248787,-0.07470980286598206
80,-0.06838531047105789,-0.04622281342744827
81,-0.07483750581741333,-0.04442163556814194
82,-0.06562775373458862,-0.042607251554727554
83,-0.0653190016746521,-0.06533194333314896
84,-0.05792124941945076,-0.03753580525517464
85,-0.07075697928667068,-0.08371973782777786
86,-0.0472119003534317,-0.05744989216327667
87,-0.05706331133842468,-0.05563806742429733
88,-0.0587271936237812,-0.06955377757549286
89,-0.06389638781547546,-0.06310445815324783
90,-0.054260920733213425,-0.04916726425290108
91,-0.08657552301883698,-0.05941877141594887
92,-0.06735420972108841,-0.05625472590327263
93,-0.08900414407253265,-0.08332005888223648
94,-0.045651134103536606,-0.0706685334444046
95,-0.0551588349044323,-0.06349240988492966
96,-0.07799246162176132,-0.08594310283660889
97,-0.048654522746801376,-0.0537567064166069
98,-0.07042133063077927,-0.04589800909161568
99,-0.07387974113225937,-0.04981326684355736
100,-0.07739038020372391,-0.05851355567574501
101,-0.06693749129772186,-0.07292181253433228
102,-0.06965592503547668,-0.06318550556898117
