step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-actor/lr_step
1,1.0000000000000002e-06,1.0000000000000002e-06
2,1.0000000000000002e-06,1.0000000000000002e-06
3,1.936951515710855e-06,1.938271578055027e-06
4,2.9183564542097174e-06,2.912850882771936e-06
5,3.875525361187455e-06,3.860061806265076e-06
6,4.878181123915551e-06,4.905319282988956e-06
7,5.4668919485520725e-06,5.572434560199371e-06
8,6.398663234521566e-06,6.447575388680864e-06
9,7.455727211939241e-06,7.4098327263549755e-06
10,8.203561628939545e-06,8.20400595710029e-06
11,8.355902135128145e-06,8.516908993675269e-06
12,8.28398772297287e-06,8.550111436114532e-06
13,8.298695843211645e-06,8.455574137309016e-06
14,7.627767470727974e-06,7.697879285175609e-06
15,8.156453209831237e-06,7.844189481605375e-06
16,7.877262271622862e-06,8.137846511792988e-06
17,7.798521446696012e-06,8.117728639160473e-06
18,7.75069273177822e-06,8.008626700740326e-06
19,7.18298424668535e-06,7.842345366409295e-06
20,7.373791874989364e-06,8.13284550061281e-06
21,7.143098304231418e-06,7.737011845340991e-06
22,7.234995903203967e-06,8.07520055698022e-06
23,6.732555325690691e-06,6.982426206201601e-06
24,7.019185888055305e-06,7.638880406429726e-06
25,7.012006403986241e-06,7.308438614006647e-06
26,6.5834060356441215e-06,7.428794969635075e-06
27,6.713307516520398e-06,7.4064096465992915e-06
28,6.805017107521026e-06,7.584747207153337e-06
29,6.748656119089762e-06,7.461450654189454e-06
30,6.579253390248138e-06,7.314957151714264e-06
31,6.5191141844769225e-06,7.367276203646945e-06
32,6.7557073474320385e-06,7.725307380279946e-06
33,6.2823010291216545e-06,7.1541423761426296e-06
34,6.586205226442055e-06,7.150271056675266e-06
35,6.510778930181627e-06,7.354213325407682e-06
36,6.3046087415713745e-06,6.957944514517859e-06
37,6.385276047234763e-06,7.554716695855115e-06
38,5.879163148340153e-06,7.3987395483847205e-06
39,6.06373138828437e-06,7.5336899826555695e-06
40,6.017266480979331e-06,7.6016427868299205e-06
41,5.678453028978686e-06,7.36949916401674e-06
42,5.949376262564484e-06,7.910619963925188e-06
43,5.761543238678095e-06,7.579358089398359e-06
44,5.433548289370892e-06,7.268028867781318e-06
45,5.57243115392711e-06,7.675780156019075e-06
46,5.595568134206665e-06,7.888125399053778e-06
47,5.4109888058708976e-06,7.904878477856342e-06
48,5.083047999963169e-06,7.5258834894699355e-06
49,5.2491636270187134e-06,7.832390712134674e-06
50,4.8350899778321676e-06,7.403863489779894e-06
51,5.029001525469094e-06,7.383574666052028e-06
52,4.658753785119163e-06,7.2642049732799545e-06
53,4.670862477156209e-06,6.966813327388123e-06
54,4.580237441523346e-06,7.618790247983175e-06
55,4.8349485196443104e-06,7.665180778603748e-06
56,4.702395968042218e-06,7.944225791744069e-06
57,4.7181311828627145e-06,7.738206362309786e-06
58,4.470344824222553e-06,7.67968676474157e-06
59,4.309319862493072e-06,7.623056773573059e-06
60,4.214428987436518e-06,7.649304513280047e-06
61,4.5322083905404466e-06,7.946396739077432e-06
62,4.3743979412384415e-06,7.831817133263541e-06
63,4.161848701291287e-06,7.784033658632307e-06
64,3.9311145115613475e-06,7.508169566436337e-06
65,4.148706523039918e-06,7.613804378546297e-06
66,3.922724335226933e-06,7.210009345442506e-06
67,3.7796165862439248e-06,6.891828878056499e-06
68,3.85190164575687e-06,7.296366561522814e-06
69,3.4249830173268124e-06,6.677010971345097e-06
70,3.531006118575097e-06,6.88548983264367e-06
71,3.589026950267419e-06,7.057648146302989e-06
72,3.7771591803135836e-06,7.301941351231731e-06
73,3.856678406710314e-06,7.864693931288384e-06
74,3.6139355865004452e-06,7.0684167871173284e-06
75,3.414044840548584e-06,7.159155416447648e-06
76,3.467053024092252e-06,7.313586246151887e-06
77,3.662933316045082e-06,7.5698277751260914e-06
78,3.3219945838782297e-06,7.023138213549319e-06
79,3.426952578524861e-06,7.140544726704604e-06
80,3.267809020184658e-06,7.39804671480772e-06
81,3.179073751635188e-06,7.160816751400015e-06
82,3.184361169234558e-06,7.016215304975349e-06
83,3.2271089793217354e-06,7.4708480684753845e-06
84,3.1959603967948162e-06,7.417089371305256e-06
85,3.0254658239651054e-06,7.136078994212295e-06
86,3.0498093052872778e-06,7.3089822160947225e-06
87,2.812614357210417e-06,7.072680783919293e-06
88,2.8765292196940183e-06,7.3213152980966345e-06
89,2.8165646399652245e-06,7.315745569450308e-06
90,2.834180951641137e-06,7.130563211764936e-06
91,2.68449620129561e-06,7.059807503125076e-06
92,2.779120876452552e-06,7.2890084998475315e-06
93,2.690837043552947e-06,7.321616216947908e-06
94,2.750319558692039e-06,7.607411146809352e-06
95,2.8177024945118286e-06,7.705600053424795e-06
96,2.5326833000292738e-06,7.1266793715216305e-06
97,2.5342499028638315e-06,6.804662006312906e-06
98,2.757852749667395e-06,7.95955783369618e-06
99,2.7098083686136387e-06,7.76925900772669e-06
100,2.615705433271934e-06,7.4241356826374264e-06
101,2.5715733999882548e-06,7.5192528268777e-06
102,2.538157749986845e-06,7.671556840393123e-06
103,2.553254170304822e-06,7.791202927512695e-06
104,2.3407674141222364e-06,7.166149986689372e-06
105,2.5769139357647866e-06,7.577288295065147e-06
106,2.3984757582325427e-06,7.605580777694265e-06
107,2.4139438210540825e-06,7.264634805402529e-06
108,2.389089250788202e-06,7.679027487690444e-06
109,2.358220311945828e-06,7.344548095714351e-06
110,2.2338468235165463e-06,7.006936476784779e-06
111,2.3672089921117816e-06,7.3153830358431585e-06
112,2.311653192359051e-06,7.613835671936206e-06
113,2.18589280226978e-06,7.219507919596242e-06
114,2.2585264298617587e-06,8.020170057912733e-06
115,2.2030751250699963e-06,7.707471338184768e-06
116,2.1099541012392855e-06,7.900964423187462e-06
117,2.1806863753637748e-06,8.237683812527064e-06
118,2.000463381991767e-06,7.572087579242154e-06
119,2.116495992241358e-06,7.927040744532687e-06
120,2.0433884822355227e-06,8.251912330022648e-06
121,2.0044940394316553e-06,7.91521274543241e-06
122,2.0079809871715935e-06,8.129678095710584e-06
123,1.945463359031524e-06,7.4786068540337e-06
124,1.939019323667463e-06,7.73343142927064e-06
125,1.8871849909745054e-06,7.868451041068732e-06
126,1.8795821547322825e-06,8.011985177314409e-06
127,1.956235242574532e-06,8.083141653653968e-06
128,1.8260487608464079e-06,7.939936649710802e-06
129,1.7663444377583296e-06,7.72745457013114e-06
130,1.8056086923474875e-06,8.099431069049915e-06
131,1.7697376511063351e-06,8.27258615403265e-06
132,1.8430013736408107e-06,8.315493034027092e-06
133,1.717146856684506e-06,8.115199307433021e-06
