step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-response_length/mean_step
1,6154.6484375,6117.8291015625
2,6437.9951171875,6364.0751953125
3,6379.05078125,6375.1875
4,6121.400390625,6072.263671875
5,5472.3779296875,5579.37109375
6,5750.052734375,5753.763671875
7,5419.1865234375,5423.873046875
8,4365.974609375,4397.4306640625
9,4128.3583984375,3813.6142578125
10,4077.3486328125,3636.2607421875
11,4324.51953125,3981.7822265625
12,4048.2451171875,3436.07421875
13,3846.498046875,3316.17578125
14,3519.640625,2984.8056640625
15,3237.5810546875,2814.51171875
16,3121.755859375,2728.453125
17,2984.447265625,2646.8359375
18,2737.7080078125,2479.814453125
19,3022.9560546875,2646.115234375
20,2836.6298828125,2600.736328125
21,2610.96875,2476.990234375
22,2615.6357421875,2377.603515625
23,2725.203125,2531.5068359375
24,2607.4697265625,2339.96875
25,2584.9619140625,2548.7861328125
26,2715.1083984375,2546.0859375
27,2868.533203125,2624.388671875
28,2785.966796875,2576.337890625
29,2754.5234375,2570.1171875
30,2760.4287109375,2710.78515625
31,2837.453125,2841.5224609375
32,2866.6650390625,2879.0341796875
33,2859.701171875,2784.853515625
34,2828.158203125,2797.3388671875
35,2817.416015625,2830.1220703125
36,2882.6552734375,2928.5810546875
37,2674.8720703125,2722.7734375
38,2521.2080078125,2543.9873046875
39,2727.5546875,2776.0283203125
40,2665.3017578125,2648.0576171875
41,2768.7646484375,2686.3896484375
42,2875.1337890625,2657.0224609375
43,2944.5732421875,2695.03515625
44,2807.3154296875,2590.27734375
45,2928.20703125,2791.392578125
46,2714.72265625,2625.5322265625
47,2721.998046875,2632.6708984375
48,2698.3701171875,2627.5966796875
49,2684.6826171875,2673.6025390625
50,2588.6943359375,2649.0751953125
51,2574.54296875,2659.21484375
52,2599.7236328125,2714.9873046875
53,2576.935546875,2722.408203125
54,2883.130859375,2796.8427734375
55,2702.57421875,2741.8232421875
56,2749.751953125,2819.037109375
57,2567.39453125,2726.3349609375
58,2820.2421875,3047.8447265625
59,2736.3779296875,2982.720703125
60,2785.16796875,2915.1650390625
61,2714.6103515625,2909.0244140625
62,2441.6220703125,2614.6875
63,2597.3544921875,2751.115234375
64,2365.4521484375,2607.8251953125
65,2563.16015625,2730.28515625
66,2583.392578125,2678.4482421875
67,2613,2693.931640625
68,2488.849609375,2578.125
69,2601.19140625,2639.3681640625
70,2647.43359375,2597.3857421875
71,2638.048828125,2594.9111328125
72,2715.0263671875,2643.939453125
73,2645.240234375,2516.9482421875
74,2792.8759765625,2651.86328125
75,2812.2783203125,2623.3623046875
76,2688.509765625,2560.2998046875
77,2890.7607421875,2778.4013671875
78,2786.525390625,2694.630859375
79,2817.5,2756.6669921875
80,2703.8232421875,2624.8359375
81,2864.8125,2750.548828125
82,2725.9111328125,2657.80859375
83,2691.6923828125,2743.6015625
84,2571.1708984375,2668.3466796875
85,2841.888671875,3012.1884765625
86,2640.5869140625,2744.9638671875
87,2674.2216796875,2834.6689453125
88,2694.8642578125,2840.171875
89,2901.8974609375,2980.2666015625
90,2816.826171875,2927.673828125
91,2709.3876953125,2779.3203125
92,2905.33203125,3018.4423828125
93,2723.669921875,2859.642578125
94,2744.2734375,2841.89453125
95,2642.5458984375,2775.626953125
96,2792.8310546875,2935.16796875
97,2799.6845703125,2860.07421875
98,2848.3046875,2785.017578125
99,3012.404296875,2813.853515625
100,2813.2783203125,2764.9169921875
101,2893.8935546875,2908.759765625
102,2819.6474609375,2766.7119140625
103,2854.1240234375,2855.5322265625
104,2645.826171875,2666.9296875
105,2511.54296875,2543.212890625
106,2935.5458984375,2963.0205078125
107,2959.8154296875,2835.140625
108,2788.1162109375,2820.283203125
109,2868.5322265625,2801.1220703125
110,2802.6875,2873.27734375
111,2766.1728515625,2812.5498046875
112,2622.671875,2718.5205078125
113,2890.0087890625,2865.8486328125
114,2753.2099609375,2754.7216796875
115,2751.482421875,2750.728515625
116,2869.6357421875,2947.7431640625
117,2691.59765625,2777.220703125
118,2735.615234375,2718.1162109375
119,3019.259765625,2960.9248046875
120,2902.4072265625,2810.734375
121,2772.05859375,2774.7734375
122,2786.294921875,2865.203125
123,2754.94140625,2786.943359375
124,2993.044921875,2983.9873046875
125,2683.9794921875,2820.130859375
126,2781.439453125,2924.431640625
127,2641.6875,2692.6640625
128,2657.9970703125,2686.9853515625
129,2734.314453125,2819.3984375
130,3005.1845703125,3026.826171875
131,2821.044921875,2904.091796875
132,2772.8984375,2928.1953125
133,2805.443359375,2976.9609375
134,2773.7392578125,2871.2509765625
135,2903.0595703125,3028.1328125
136,2998.408203125,2976.5078125
137,2778.361328125,2889.9404296875
138,2550.6201171875,2788.4736328125
139,2688.2607421875,2892.509765625
140,2845.1337890625,2931.125
141,2740.2548828125,3008.0791015625
142,2609.3291015625,2836.8056640625
143,2716.25,2937.033203125
144,2683.3798828125,2923.818359375
145,2629.9111328125,2941.77734375
146,2823.654296875,3084.2783203125
147,2852.443359375,3150.01171875
148,2763.7412109375,3057.8203125
149,2718.9853515625,2956.70703125
150,2638.6318359375,2866.9482421875
151,2748.6416015625,3059.01953125
152,2583.056640625,2877.5615234375
153,2726.341796875,2949.12109375
154,2790.3603515625,3039.72265625
155,2773.548828125,2928.7001953125
156,2768.7763671875,2955.6201171875
157,2736.2607421875,2986.7119140625
158,2789.849609375,2936.41796875
159,2729.5302734375,2907.2265625
160,2816.39453125,3017.0400390625
161,2811.9130859375,3011.763671875
162,2650.7060546875,2938.939453125
163,2718.396484375,2980.2861328125
164,2760.615234375,2920.33203125
165,2564.7216796875,2854.1845703125
166,2740.8310546875,2886.1123046875
167,2701.431640625,2906.236328125
168,2806.7001953125,3064.232421875
169,2609.4931640625,2727.3759765625
170,2823.78515625,3063.185546875
171,2807.48046875,3081.4990234375
