step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/ppl_ratio_step
1,1.0004428580233995,1.000433941082708
2,1.0004389876418789,1.0004519830147425
3,1.0004324590439326,1.0004615522511713
4,1.0004733422294607,1.0004571586847306
5,1.00047596747225,1.000491311959922
6,1.000487773598712,1.0005351762946058
7,1.0005348103218956,1.0005083331152012
8,1.0004997575093828,1.000474104192108
9,1.0005178320205816,1.0004738376342823
10,1.000514569210595,1.000490190031437
11,1.000533117522155,1.0005455672227104
12,1.0005753522117933,1.000540943560647
13,1.0006025927141309,1.000506538061463
14,1.0005875270740658,1.0005117568441413
15,1.0005739686700206,1.0005252879290354
16,1.0006093436285206,1.000517185323122
17,1.000532231208953,1.0005365908145905
18,1.0005285389721394,1.000526437633916
19,1.000501008828481,1.000605058670044
20,1.0005699364202365,1.0005737716332077
21,1.0005070137289855,1.000655572665365
22,1.0005676140769937,1.0006374608020523
23,1.0004545499275372,1.0005330962962224
24,1.0005137010624536,1.0005982578214672
25,1.0004924178907748,1.0005226566603311
26,1.000501831312005,1.00049452111125
27,1.0005067936366514,1.0004763985052705
28,1.0005172842315266,1.000539169097558
29,1.0004957541823387,1.0004642074688888
30,1.000481135788418,1.0004775420558163
31,1.000504842116719,1.0004641819922695
32,1.0005253274880703,1.0004293468109398
33,1.0005397553600015,1.0004670227922143
34,1.0004687534556505,1.000417740926856
35,1.0004650531780153,1.0004442811367058
36,1.0005571201097132,1.000397048890591
37,1.0004558371379972,1.0004909946804954
38,1.0004915561723082,1.0004393205438789
39,1.000484469460278,1.000471300135056
40,1.0004745184993131,1.000433423370123
41,1.0004708265385975,1.0004662813209908
42,1.0004645138978958,1.0004937827587126
43,1.0004733843220903,1.0005095622888427
44,1.0004283106398015,1.0004622593522072
45,1.0004850458353758,1.0005790708320483
46,1.000451118299147,1.0005143247544763
47,1.0004318218678236,1.000539813004434
48,1.0004618532955647,1.0004823165826306
49,1.0005003888159991,1.0004173171956363
50,1.0004489933581728,1.0005486112087965
51,1.0004890917947418,1.0004443616057053
52,1.00043901173692,1.0005063159125194
53,1.0005143584731298,1.0004588890820745
54,1.000438881474872,1.0005490561681134
55,1.0004438826950586,1.0004801585205965
56,1.000486104616097,1.0005182343579473
57,1.0004169350784076,1.0004598829895257
58,1.0004264527843112,1.0005238559906895
59,1.000415814596982,1.0004884510893712
60,1.0004561128360885,1.000511660284939
61,1.00046267490834,1.0005112403834409
62,1.000471911116226,1.0005250392775786
63,1.0004550808746564,1.0004868548186052
64,1.0004553830044136,1.0005021484998555
65,1.000444807112217,1.0004328516561811
66,1.0004317197752626,1.0005048902705311
67,1.0004303443890352,1.0004962150280068
68,1.000435992291099,1.0004605788149332
69,1.000405864790082,1.000534050911665
70,1.0004142800346016,1.0005451146709292
71,1.000430953875184,1.0006113892421125
72,1.0004683316844265,1.0006005335599184
73,1.000424451753497,1.0006156995108253
74,1.0004471166148072,1.0005215377761767
75,1.000382998692138,1.0004572070350772
76,1.0004223118104587,1.0004691374607575
77,1.0004472446938355,1.0004612331589064
78,1.0004261501488232,1.0005003088494626
79,1.0004553892427968,1.000521495760906
80,1.0004170733903135,1.000539062687984
81,1.000379930228688,1.0004952736198902
82,1.0004227310419085,1.0004797786474229
83,1.0003938634948033,1.0005234290091765
84,1.0004418574665723,1.0004811944440006
85,1.0004178670545418,1.0004736918278716
86,1.000492092035711,1.000479649397589
87,1.0004330860450863,1.0004369893244334
88,1.0005058920010923,1.0004505321738266
89,1.000375073741783,1.0004882495850325
90,1.00043949183254,1.000758629725423
91,1.000413086537908,1.000523084685916
92,1.0003946640117225,1.0005262456006474
93,1.00044731941165,1.0005002293822378
94,1.000418045336292,1.000541421451739
95,1.0004375101282048,1.000498429827747
96,1.0004476363815011,1.000444427809932
97,1.0004357113724662,1.0005044845301052
98,1.00040910925184,1.0005722719998589
99,1.0003742071037944,1.0004438344566595
100,1.0003855354374362,1.0004927641371402
101,1.0004231491613955,1.000456011745819
102,1.0004166818800426,1.0004604428651789
103,1.0004882468354133,1.0005145665435564
104,1.0004470948225412,1.000599766522646
105,1.0004879653845964,1.0006490496820524
106,1.0004160295833242,1.0005246468565685
107,1.0004636912860656,1.0005801885965324
108,1.0004147436647188,1.000557468051002
109,1.0003962073215218,1.0005141867413407
110,1.0003822413938386,1.0004944324138618
111,1.0003849427614893,1.0005354125584875
112,1.0003568130807998,1.000495374566171
113,1.0003890336252923,1.0005733775241037
114,1.000414733908006,1.0005485685098738
115,1.0003948389064696,1.0005061150324053
116,1.0004136361891316,1.0005339880219917
117,1.000399007089436,1.0005264931491444
118,1.000377848926114,1.0005578989299333
119,1.0004221040078185,1.0005386996600365
120,1.000398359007456,1.0006296544202735
121,1.0004709118178914,1.0006413472498337
122,1.0004378491569133,1.0006693390508492
123,1.000375096287046,1.000606527233996
124,1.0004182225939902,1.000592896507846
125,1.0004077177494763,1.0006432528066078
126,1.0004477280946005,1.0006396343762225
127,1.000442046299577,1.000597121939063
128,1.000453243168389,1.0007048105821013
129,1.000415075570345,1.0005595854350495
130,1.0003892278129405,1.0006367789412087
131,1.0004381145394985,1.0006549993360585
132,1.000428600325471,1.0006706315008076
133,1.0003972647800332,1.0006127894263377
134,1.0004076001544793,1.0006712770887782
135,1.000412101489167,1.0006951338715022
136,1.0004100605845452,1.0006760326637465
137,1.000388333662635,1.0007098737088116
138,1.0004420747980474,1.0005657083931423
139,1.0004534866660832,1.0006035633904988
140,1.0004183820315768,1.000632674179294
141,1.0004159502866792,1.0006432919038666
142,1.0004373641732411,1.0005935494388851
143,1.0004144065627238,1.000639851529931
144,1.000449898838997,1.0006092561578208
145,1.0004139263182878,1.0006480205126784
146,1.0004355790359634,1.0006979876094393
147,1.0004705792026862,1.0006970261844494
148,1.0004526871006665,1.0007103163335058
149,1.000423822461105,1.0007941358807413
150,1.0004396211355926,1.0007139087416406
151,1.0004780873656274,1.0008103534579278
152,1.0004535058513284,1.0006335673942452
153,1.000469529410688,1.0006078967655248
154,1.000438023713373,1.0006698487533463
155,1.0004802140884284,1.000637662004341
156,1.000448506416344,1.000628088177605
157,1.0005192385986446,1.0006900593977082
158,1.000522215555354,1.000720974565907
159,1.0004607929689129,1.000699971717867
160,1.000445585165705,1.0006986043519444
161,1.000458844360851,1.000620455035697
162,1.0004970636218786,1.0006331339139831
163,1.0004572719335556,1.0005904333459006
164,1.0005147448253064,1.0006103857674382
165,1.0004688547207758,1.0006952814238017
166,1.0004303130720342,1.000806343165182
167,1.0004906994177074,1.0007980030982992
168,1.0004728497114297,1.0007679957482551
169,1.000485655106604,1.0008105248576258
170,1.0004607957033884,1.0006829613576764
171,1.0004573807847208,1.000645250082016
172,1.00049736994234,1.000576005048222
173,1.0004978923127057,1.0006895573301748
174,1.000396521850711,1.0006698668003082
175,1.0004389031631191,1.000656902458933
176,1.000505527163424,1.000740774822506
177,1.0005144072696566,1.000759525901892
178,1.0004904857751995,1.0008654273218578
179,1.0004712048740614,1.0008103210817685
180,1.0004812510684131,1.0006798252108553
181,1.0004975464195012,1.000679992304908
182,1.0004930168736812,1.0010117707981003
183,1.0004795356875371,1.0008313472975383
184,1.000456564128399,1.0007353524367013
185,1.0005035285906092,1.0007838644087317
186,1.000521871820092,1.000779912585304
187,1.0005052179098128,1.0007950555194507
188,1.0004853064363657,1.0008010977636213
189,1.0004861319348926,1.0008925782597584
190,1.0004448104827175,1.000751090215312
191,1.0004774716428737,1.0007105518294417
192,1.000477324218251,1.0007203711403745
193,1.0004823559096885,1.0007145347243005
194,1.0004852652888403,1.0007273750784604
195,1.0004890924546777,1.0008744150400162
196,1.0005024209982012,1.001050844788551
197,1.0005145454779267,1.0009013155305926
198,1.0004837766967034,1.0007092859596014
199,1.0004776444818293,1.0007523899508075
200,1.0005333904354343,1.000702122962752
201,1.0004774685515914,1.0007979959588158
202,1.0004824379628354,1.001089298081669
203,1.0004869481412375,1.0008095406334507
204,1.0005045023492791,1.0009136611426417
205,1.0005542121645878,1.0008066208826172
206,1.000562818130342,1.0008755158632994
207,1.0005287297424816,1.000809770585461
208,1.0005063754929735,1.0008754304713672
209,1.0004929622938463,1.0009505255994473
210,1.0004714888003137,1.0009636498339798
211,1.0004858736728512,1.0009831678536203
212,1.0005375098969256,1.000946393940184
213,1.0004555664279244,1.0007389063096566
214,1.0005040137573729,1.0008807107806206
215,1.0005105964657737,1.0008390384980224
216,1.000493374721306,1.000787677698665
217,1.0005096766565529,1.000859067340692
218,1.0005297381430864,1.000831904087929
219,1.0004764699510167,1.0007485562692515
220,1.0004886018023609,1.0007904366306637
221,1.0005042973373617,1.00075632413017
222,1.0005140661854637,1.0007667824005089
223,1.0005666899184384,1.0007880281495012
224,1.0005482048159693,1.0008519060261871
225,1.0005315337330103,1.0007407205260317
226,1.000503469968126,1.0007936272608198
227,1.000506738289481,1.0008767770396338
228,1.000479097456433,1.0007819492855798
229,1.0004823969846424,1.000795759415875
230,1.0005279478099611,1.0008356708044908
231,1.0005109972038937,1.000817206998666
232,1.000536787238988,1.0008250645672283
233,1.00049583492584,1.0008865747114886
234,1.0005403939811957,1.0008466034803702
235,1.0004991556322853,1.0008214732011158
236,1.0004818930131634,1.0007895521171717
237,1.0004916897132283,1.0007221517355545
238,1.0004864551646766,1.000800677885612
239,1.0005070580677553,1.0007905230230216
240,1.0004877584373078,1.0009224050394867
241,1.0005064163097117,1.0008673945752282
242,1.0004969679338989,1.0008021654642143
243,1.0005144397304817,1.000785939861089
244,1.0005100451228095,1.00077917718369
245,1.0005161732781764,1.0008339162170887
246,1.000522522462739,1.0009310936927795
247,1.0005309500154995,1.000704760973652
248,1.000505264671076,1.0007421001791954
249,1.0005167873406953,1.000818312320174
250,1.000547937879508,1.0007914729574894
251,1.0005734050419273,1.0007781713553097
252,1.0005588336763056,1.0007419323130529
253,1.0006183557921933,1.0007443812986214
254,1.00051373624947,1.0008145347237587
255,1.0005120064976605,1.0008386924862862
256,1.0005246118775435,1.0009299637749791
257,1.000511047208593,1.0008117992268957
258,1.0004725569770452,1.0008020500870465
259,1.0004816273363626,1.000745205775551
260,1.0005012803844042,1.0008022445254028
261,1.00046339719778,1.0008578311341505
262,1.000449167088021,1.0007500120749078
263,1.0005374549163712,1.0006873183883729
264,1.000501700109098,1.000910684010204
265,1.000467159700665,1.0007253979953628
266,1.000494347038594,1.000742179854792
267,1.0004790063415254,1.0008416647172491
268,1.0005009293556213,1.0007537835174136
269,1.0004925944092795,1.0007327025675257
