step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/lr_step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/lr_step
1,1.0000000000000002e-06,1e-07,1.0000000000000002e-06
2,1.0000000000000002e-06,1e-07,1.0000000000000002e-06
3,2.0000000000000003e-06,2e-07,1.936951515710855e-06
4,3e-06,3e-07,2.9183564542097174e-06
5,4.000000000000001e-06,4e-07,3.875525361187455e-06
6,4.9999999999999996e-06,5e-07,4.878181123915551e-06
7,6e-06,6e-07,5.4668919485520725e-06
8,7e-06,7e-07,6.398663234521566e-06
9,8.000000000000001e-06,8e-07,7.455727211939241e-06
10,9e-06,9e-07,8.203561628939545e-06
11,1e-07,1.239194917017477e-08,8.355902135128145e-06
12,1e-07,1e-08,8.28398772297287e-06
13,3.1252503708071637e-07,2.7938120840338158e-08,8.298695843211645e-06
14,1e-07,3.49886770274536e-08,7.627767470727974e-06
15,7.36118133858772e-07,7.689323678584214e-08,8.156453209831237e-06
16,1e-07,1.1919687908810072e-08,7.877262271622862e-06
17,4.135348606163913e-07,1e-08,7.798521446696012e-06
18,3.0775414485932206e-07,3.922760918753391e-08,7.75069273177822e-06
19,1e-07,7.589559422041391e-08,7.18298424668535e-06
20,1e-07,5.6717174485594705e-08,7.373791874989364e-06
21,6.993238059430174e-07,3.5934567015079855e-08,7.143098304231418e-06
22,3.0283285187800427e-07,3.767198614938242e-08,7.234995903203967e-06
23,1.8016756957749854e-07,2.0885842943387913e-08,6.732555325690691e-06
24,1e-07,6.284316285043813e-08,7.019185888055305e-06
25,1e-07,,7.012006403986241e-06
26,1.6705094068614206e-07,,6.5834060356441215e-06
27,1e-07,,6.713307516520398e-06
28,1e-07,,6.805017107521026e-06
29,1e-07,,6.748656119089762e-06
30,,,6.579253390248138e-06
31,,,6.5191141844769225e-06
32,,,6.7557073474320385e-06
33,,,6.2823010291216545e-06
34,,,6.586205226442055e-06
35,,,6.510778930181627e-06
36,,,6.3046087415713745e-06
37,,,6.385276047234763e-06
38,,,5.879163148340153e-06
39,,,6.06373138828437e-06
40,,,6.017266480979331e-06
