step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/alpha_t_step
1,1e-07,1.0000000000000002e-06
2,1e-07,1.0000000000000002e-06
3,2e-07,2.0000000000000003e-06
4,3e-07,3e-06
5,4e-07,4.000000000000001e-06
6,5e-07,4.9999999999999996e-06
7,6e-07,6e-06
8,7e-07,7e-06
9,8e-07,8.000000000000001e-06
10,9e-07,9e-06
11,1e-06,1e-05
12,1e-06,1e-05
13,9.640760569045318e-07,9.55675608972838e-06
14,9.266625280800308e-07,8.4e-06
15,8.964784853281427e-07,7.599999999999999e-06
16,8.638372565888147e-07,6.799999999999999e-06
17,8.64604053266052e-07,6.303218206746384e-06
18,8.668062835462469e-07,5.652341944281913e-06
19,7.027454221555992e-07,5.506941593600547e-06
20,8.193109459153866e-07,3.671615112602713e-06
21,7.792037789753757e-07,3.77410427057863e-06
22,7.88548028810512e-07,3.3916537098810233e-06
23,7.88548028810512e-07,2.0000000000000003e-06
24,7.909836461382343e-07,2.0000000000000003e-06
25,9.534020035798182e-07,2.0000000000000003e-06
26,7.651228677994112e-07,2.224490795759352e-06
27,3.766856602695682e-07,2.0000000000000003e-06
28,6.179740479795913e-07,2.0000000000000003e-06
29,6.789750821696739e-07,2.0000000000000003e-06
30,2.56139898833116e-07,2.0000000000000003e-06
31,2e-07,2.0000000000000003e-06
32,3.5830108847734907e-07,2.0000000000000003e-06
33,4.4328363040741646e-07,2.0000000000000003e-06
34,5.47954024087015e-07,2.0000000000000003e-06
35,5.067031217120131e-07,2.2035404430407012e-06
36,4.2935585207421117e-07,2.229640109463861e-06
37,2e-07,2.229640109463861e-06
38,2.7240041438230615e-07,2.662272516525753e-06
39,2.86711892653329e-07,2.0000000000000003e-06
40,2.0834778037498864e-07,2.1609332966480797e-06
41,2.475298365141589e-07,2.0000000000000003e-06
42,2.9475117524592965e-07,2.0000000000000003e-06
43,3.077609553770693e-07,2.0000000000000003e-06
44,4.4871462748819226e-07,2.0000000000000003e-06
45,4.4871462748819226e-07,2.0000000000000003e-06
46,5.102069914326307e-07,2.0000000000000003e-06
47,6.0076101072872e-07,2.0000000000000003e-06
48,6.0076101072872e-07,2.0000000000000003e-06
49,4.731681641303666e-07,2.0000000000000003e-06
50,3.787486211853701e-07,2.0000000000000003e-06
51,4.2321669732271975e-07,2.0000000000000003e-06
52,2e-07,2.0000000000000003e-06
53,2.775573694498163e-07,2.0000000000000003e-06
54,5.115646410640385e-07,2.0000000000000003e-06
55,5.223976446063607e-07,2.0000000000000003e-06
56,5.223976446063607e-07,2.0000000000000003e-06
57,5.223976446063607e-07,2.0000000000000003e-06
58,2e-07,2.0000000000000003e-06
59,3.0291916437269826e-07,2.0000000000000003e-06
60,3.139036435068308e-07,2.0000000000000003e-06
61,3.9989854572240083e-07,2.0000000000000003e-06
62,2e-07,2.0000000000000003e-06
63,2.3318875109085461e-07,2.0000000000000003e-06
64,2.5266150297910384e-07,2.0000000000000003e-06
65,2.684730950071797e-07,2.0000000000000003e-06
66,3.153647609643692e-07,2.0000000000000003e-06
67,3.153647609643692e-07,2.0000000000000003e-06
68,3.153647609643692e-07,2.0000000000000003e-06
69,3.307758507687755e-07,2.0000000000000003e-06
70,3.307758507687755e-07,2.0000000000000003e-06
71,3.8695415878804563e-07,2.0000000000000003e-06
72,4.374819479139514e-07,2.0000000000000003e-06
73,4.647014086109826e-07,2.0000000000000003e-06
74,4.647014086109826e-07,2.0000000000000003e-06
75,5.791847744290451e-07,2.0000000000000003e-06
76,6.62133346011813e-07,2.0000000000000003e-06
77,6.62133346011813e-07,2.0000000000000003e-06
78,2e-07,2.0000000000000003e-06
79,3.515633164319818e-07,2.0000000000000003e-06
80,4.502233994052651e-07,2.0000000000000003e-06
81,4.502233994052651e-07,2.0000000000000003e-06
82,3.03076850738027e-07,2.0000000000000003e-06
83,4.213797317698247e-07,2.0000000000000003e-06
84,4.233502615238774e-07,2.626785692399549e-06
85,4.843207411706009e-07,2.0000000000000003e-06
86,2.487940229921851e-07,2.0000000000000003e-06
87,3.6655738208139304e-07,2.0000000000000003e-06
88,4.0898745109653976e-07,2.0000000000000003e-06
89,4.0898745109653976e-07,2.0000000000000003e-06
90,4.160715215205604e-07,2.0000000000000003e-06
91,4.160715215205604e-07,2.0000000000000003e-06
92,2.95573530247021e-07,2.0000000000000003e-06
93,2.3858717332022693e-07,2.0000000000000003e-06
94,3.0055468522273253e-07,2.0000000000000003e-06
95,3.107357589601098e-07,2.0662154842285465e-06
96,3.107357589601098e-07,2.0000000000000003e-06
97,3.107357589601098e-07,2.0693341897800103e-06
98,3.107357589601098e-07,2.0693341897800103e-06
99,2e-07,2.0000000000000003e-06
100,2e-07,2.0000000000000003e-06
101,2e-07,2.0743106925829565e-06
102,2e-07,2.0743106925829565e-06
103,2e-07,2.0743106925829565e-06
104,2e-07,2.0811186269012777e-06
105,2e-07,2.0811186269012777e-06
106,2e-07,2.0811186269012777e-06
107,2e-07,2.0811186269012777e-06
108,2e-07,2.0811186269012777e-06
109,2e-07,2.25475576660882e-06
110,2e-07,2.25475576660882e-06
111,2.1932675538136399e-07,2.25475576660882e-06
112,2e-07,2.0000000000000003e-06
113,2.3792036218756562e-07,2.0000000000000003e-06
114,2.3792036218756562e-07,2.0000000000000003e-06
115,2.585858947696113e-07,2.0000000000000003e-06
116,2e-07,2.0000000000000003e-06
117,2.226066631423496e-07,2.0000000000000003e-06
118,2e-07,2.306244297846117e-06
119,2e-07,2.621759028733237e-06
