step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/g_A1_dot_A2_step
1,3.1070501061797822e-06,-1.7343990476933739e-06
2,-6.138926168228412e-05,2.5980245861361277e-05
3,3.973056215958447e-05,3.0577612903714626e-05
4,6.486639356016396e-05,0.00016634459920695572
5,3.492160919539601e-05,0.00012780478194474664
6,6.835152467298209e-05,-6.667430297727255e-05
7,0.00010786227793623812,5.077293247185338e-06
8,9.659579143644876e-05,5.415972464986746e-05
9,2.70783270211568e-05,-0.00019204668239276808
10,-3.914445835784982e-05,2.704760378403346e-05
11,3.0341577459122233e-05,-0.00012940390571154655
12,-5.790660861110972e-06,0.00015805714941200165
13,0.00010613844238972706,-3.6447410430255766e-05
14,5.89564479480731e-05,2.250415675563346e-05
15,7.535682867659097e-05,1.2364779770294466e-05
16,6.883998153544623e-05,-0.00018738253043341116
17,0.00013918450005569335,0.00020670613640840177
18,0.00010295606750667964,0.00010932621611658428
19,4.8969986940435774e-05,0.00024348937519522295
20,0.000155255358792196,3.7232899119048954e-05
21,8.893095393485998e-05,0.00014688952915141944
22,9.97832348313185e-05,0.0001214756463517064
23,-5.206503806301759e-05,1.768198121584145e-05
24,8.208517694736483e-05,7.263301550609719e-06
25,0.00027127318747572927,3.971935814150019e-05
26,8.145690721763747e-05,0.00025186791402080194
27,3.2705716065373025e-05,7.304857689045226e-06
28,-4.150119261255234e-05,2.540252423665508e-05
29,0.00012588529548852252,0.0001005886429339892
30,2.3682822416835623e-05,-9.0860874060646e-05
31,1.3093375537584645e-05,7.121977052956734e-05
32,9.414103144812737e-05,-4.234813370547538e-05
33,0.00012319758645281694,-3.947529118614725e-06
34,0.00014300557953578268,3.68246127568327e-05
35,5.2380733867371626e-05,0.0001037171472938008
36,5.025205497427083e-05,5.582590323071236e-05
37,6.6640736017200235e-06,-2.827279921728929e-05
38,-2.2859763918632866e-05,0.00014482222724070302
39,4.515664797507523e-05,3.422084109611204e-05
40,2.043125497085123e-05,-4.510984789764851e-05
41,-4.016394651229834e-05,1.638687112684115e-05
42,7.342833570286092e-05,2.743121643648541e-05
43,4.018705063270949e-05,3.482251625829898e-05
44,0.0001828251436146739,-7.372958070022216e-05
45,-6.025692955361383e-06,-5.427697623984241e-05
46,0.00012974164265291822,4.297480059425734e-05
47,0.0001572078620828855,4.966197161722759e-06
48,-3.2062155614984907e-05,-6.20685471386877e-06
49,4.846071945056893e-05,-0.00025153593105434186
50,3.9490571322875703e-05,-5.8640847003780875e-05
51,6.667451668072364e-05,-0.00019102223182880415
52,1.08136349929014e-05,-0.0001532036370949818
53,4.423747020781557e-05,-9.372115697705972e-06
54,0.00031595040850518883,-7.259810493298998e-05
55,7.086213170198633e-05,-5.4788531373020154e-06
56,-0.00014977925200770773,-9.37665392085632e-05
57,-5.4677696232729074e-05,3.1490735985301107e-06
58,6.2488700034787965e-06,9.175994033244365e-06
59,4.2619364888260415e-05,-4.4535161407777407e-07
60,4.407443280165558e-05,-5.374533267197539e-05
61,0.00015666699178435508,1.7909825342657048e-08
62,2.2463684033666256e-06,-0.00019145469322604856
63,5.159277204162973e-05,-6.665824178787516e-05
64,5.414301608147521e-05,-2.8053288561458495e-05
65,4.562743095390658e-05,2.148002027707559e-05
66,0.00011308193701344546,3.001585688655264e-05
67,-2.0340032970198438e-06,5.871248583858209e-05
68,-7.822443872075374e-05,-6.587388028361733e-05
69,5.493510603093734e-05,3.4430865998692755e-06
70,-5.216769666887123e-05,-7.062497738812308e-05
71,0.00013293625648875564,0.00017447493704122845
72,0.00011380241592808134,-0.00012810997359651835
73,9.25232481116376e-05,4.974356573743804e-05
74,-6.027408039310788e-05,-3.31673751135606e-05
75,0.00021362371428625815,-1.6041747147554943e-05
76,0.0002774655187122711,-6.337401280660106e-05
77,-1.9220672761510294e-06,0.00010425919915187229
78,5.458300886378422e-06,1.0388364450331926e-05
79,-4.703875260840114e-06,-4.39660622541546e-05
80,0.0002094480523371196,1.590303427407138e-05
81,-1.751718412054586e-05,4.541803184024448e-05
82,4.356054085235952e-05,3.153033883221999e-05
83,0.0001136620287437147,5.681424228461554e-05
84,6.442821338774113e-05,0.0002432288107039419
85,0.00012848030777912254,9.219568405168762e-06
86,4.410617801211507e-05,-7.50837782378341e-06
87,-6.604283289701608e-05,-3.909157907833793e-06
88,9.9550958704254e-05,6.520798223163328e-05
89,-4.234249519363386e-05,9.282271294031206e-06
90,6.852244147295775e-05,5.431166110677214e-05
91,-0.0001111099840854537,7.823191033845391e-05
92,3.920932572891091e-05,-6.875067035721249e-05
93,3.705734982098382e-05,-0.00011691990303530271
94,4.784115003219316e-05,4.2104742443319655e-05
95,6.4089079867791e-05,0.00011276387860428468
96,-1.6890957773217852e-06,3.894278185349007e-05
97,-8.95680315246163e-05,5.399515293215891e-05
98,-8.73348888374175e-05,-5.4271206410728105e-05
99,9.43375174043794e-06,2.01327826799437e-05
100,8.285020129442246e-06,6.157848224516302e-05
101,7.691636853756642e-05,8.917041539641859e-05
102,-1.5459927057783915e-05,-0.00014070939202339675
103,-0.00011556813858090542,-7.937347847969395e-05
104,7.966987001097243e-05,4.156043804315781e-05
105,-1.622485647346316e-05,-9.775967321082866e-05
106,5.031565813043871e-05,-4.30712781886261e-06
107,-3.5564503041431224e-05,-0.0001883063239252301
108,1.9432681975661774e-06,-1.851268299193799e-05
109,-1.630352529416343e-05,6.21785093456028e-05
110,6.886146714818845e-05,-1.8994409838985155e-05
111,0.00016672071560594045,-7.759445328233863e-05
112,1.6783625591283114e-05,1.4055357613969872e-05
113,0.00013033216346096597,-2.288223200844304e-05
114,-0.00013652631194055654,-0.00012373831227914606
115,7.108579308549253e-05,6.261053307353632e-05
116,3.386161402876879e-05,1.3558669217945682e-05
117,-8.43594554248704e-05,5.143228373640735e-05
118,1.4668532746028423e-05,0.00018645280222383728
119,-8.684823595738051e-05,9.758261576386264e-05
120,-1.563138347356874e-05,-0.00010735611534818452
121,7.644900361057043e-05,-6.29216521790417e-05
122,-1.4903706236591752e-06,4.868939224796072e-05
123,0.0001252417520124711,-2.1403678343763463e-05
124,0.0002645964734753933,-0.00010849948095461348
125,4.518188345138438e-05,7.904008615097084e-05
126,0.00018898251156659456,-2.9202898872782887e-05
127,5.352759417984923e-05,-1.6278725362257224e-05
128,-0.00022826590636790473,-7.63108535515396e-05
129,5.924265399842728e-05,-0.00010894950436849549
130,3.807872344098342e-05,-6.659856691497852e-06
131,-0.00016842358333760582,3.993727166117498e-05
132,9.849290180945124e-05,7.599580700513207e-05
133,0.0001102200177302482,5.172241893112947e-05
134,-0.00021515499128731168,-5.789425268395057e-06
135,0.00010282735143005748,-5.875365205587986e-05
136,5.345519763885834e-05,-2.7060035797417983e-05
137,0.00017089586258449492,-8.364466424225494e-05
138,-1.6367713921756088e-05,-6.580711546780809e-05
139,7.494139088292301e-05,0.00010347764558985784
140,0.0001514894968181724,-1.454555736752871e-05
141,6.820559874385242e-05,-0.0001352755142755721
142,5.033939241942095e-05,3.032304312480995e-05
143,3.232959672586883e-05,6.574805901242016e-05
144,-3.955876591820729e-05,0.0002071066752547152
145,4.920541923006897e-05,5.880479924190922e-05
146,0.00044815651459528594,0.0001909993740230428
147,0.00023695240277445291,-0.00016342906618752192
148,0.00011617845418575316,1.7420540406859686e-05
149,2.1284681117905744e-05,-6.642542979339186e-05
150,4.359003131830666e-05,5.135844317476115e-06
151,-3.9199911030563856e-05,-1.6176846708016487e-05
152,-0.0001821099569636438,7.243038474605442e-05
153,7.699222787161086e-05,0.00010661568046749308
154,-9.272899634993672e-05,-2.8066291426626415e-06
155,-9.7611077720279e-05,0.0001897349241669812
156,3.312436092887256e-05,2.6023320887741263e-06
157,-6.235510272394158e-05,-7.94472860585974e-05
158,1.766209999609504e-05,6.37396847524564e-05
159,6.643556394991507e-05,-1.7940535441349026e-05
160,5.534393526251897e-05,-5.719523654603858e-07
161,8.29095127376097e-05,6.22097868477692e-05
162,-0.00015320861243265534,5.731074988415695e-06
163,3.642386968597929e-05,5.625311510053245e-05
164,0.00015782929643389537,7.270924020928225e-05
165,3.7887916758104687e-06,2.4368958682444432e-05
166,0.00017097471514981654,-0.00014159780586087484
167,0.00026320592209646583,1.4008456821739316e-05
168,9.578932376541556e-05,1.4799945711439886e-05
169,2.770861198028989e-05,-3.5834208219112216e-05
170,4.080096236969652e-05,3.3413495255910494e-05
171,1.2736223223293184e-05,-5.517140631258783e-05
172,-9.878631480518112e-05,2.4385810954119345e-05
173,0.00012167608476222823,6.575552966376606e-05
174,-7.780577836844961e-05,0.00010405266128749374
175,-3.171052938327869e-05,-6.368985792463978e-05
176,3.39534686825449e-06,-0.00017654416121819715
177,-4.3411016610524264e-05,-6.814499103188452e-05
178,3.549660454062711e-05,-2.2041121526411416e-05
179,0.00015873331428303537,4.129090216333108e-06
180,2.2672946916124093e-05,-4.041775661094752e-05
181,-9.290933807504393e-05,8.388240208437255e-05
182,0.00010344313421026589,0.00013607956852442236
183,-5.451891471146758e-05,-2.7585958739484694e-05
184,-5.4851937418254465e-05,-4.004523708826468e-05
185,5.023377054635839e-05,-4.056624937511209e-05
186,-3.581765526532466e-05,-4.611276345699847e-06
187,-8.502714951532266e-05,-7.926061931693506e-06
188,-5.692808105511917e-05,-6.273813594806465e-05
189,-4.8054580503336106e-05,-8.761797993224562e-05
190,0.00011027841268918468,1.9242959028050763e-05
191,8.118936551263283e-05,3.207947712282729e-05
192,1.28285968074213e-05,-4.336690494825627e-05
193,-0.000107198604708578,1.612204332760056e-05
194,8.479915859433193e-05,9.530042096515654e-05
195,7.784537227360223e-05,4.589268781405168e-05
196,0.00010046025509915558,1.572093680713826e-06
197,0.00014041568381570053,2.5482799345419748e-05
198,5.9438040435222305e-05,-1.0191593264722169e-07
199,8.594609183475998e-05,-0.0001243716384158008
200,-4.369677963197036e-06,-2.7619875022516454e-05
201,0.00030626120028910323,-4.707871118548967e-05
202,0.00017565321342656275,-6.8407591218524074e-06
203,-0.0001232408599520257,-3.634488340901773e-05
204,-8.433783320754649e-05,-4.242185531147664e-05
205,4.025693686071211e-05,-2.706988429374655e-05
206,-0.00010050922630360212,-3.771606859806951e-05
207,6.26371016355042e-05,-5.5779486282706925e-06
208,-7.198289586712091e-05,8.391963844231385e-05
209,0.00011869757972114456,1.1344191029482699e-07
210,1.927681314388479e-06,-9.74925910451798e-05
211,6.583167801051346e-05,3.7339212016302494e-05
212,0.00010316569179558025,8.013221269713937e-05
213,7.970767431282434e-05,-1.020431213273684e-05
214,-1.5098931028918088e-05,0.00010817077130471673
215,-0.0001808896659480041,7.478284076555692e-05
216,0.0001740057705691576,-1.4770923103336489e-06
217,-1.2434215348478589e-05,-7.63067832102752e-05
218,4.094371348356481e-05,3.53428915113105e-05
219,3.751688059234878e-05,0.00013020955214256477
