step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-critic/score/mean_step
1,-1.041879415512085,-1.023742437362671
2,-1.1911933422088623,-1.1935501098632812
3,-1.1134092807769775,-1.1565947532653809
4,-1.0934100151062012,-1.1195571422576904
5,-0.9691503047943116,-0.9704465866088868
6,-1.138672113418579,-1.044325828552246
7,-1.146972417831421,-1.0798296928405762
8,-0.9608092308044434,-0.7231695652008057
9,-0.9441792964935304,-0.5143933296203613
10,-0.9906065464019777,-0.48891329765319824
11,-1.139631748199463,-0.5720360279083252
12,-1.0719013214111328,-0.3848893642425537
13,-1.0445866584777832,-0.4171435832977295
14,-1.0397155284881592,-0.3895108699798584
15,-1.009626388549805,-0.3949117660522461
16,-1.1308753490447998,-0.37439966201782227
17,-0.9197678565979004,-0.24758625030517575
18,-0.9385297298431396,-0.236649751663208
19,-1.0211362838745115,-0.3497741222381592
20,-1.0039527416229248,-0.3858063220977783
21,-0.938850164413452,-0.2493438720703125
22,-0.924318790435791,-0.2929375171661377
23,-1.066948652267456,-0.3034703731536865
24,-0.9644873142242432,-0.29616379737854004
25,-0.937774896621704,-0.21721434593200684
26,-0.9027705192565918,-0.19565773010253903
27,-1.0487191677093506,-0.21752691268920896
28,-1.0551328659057615,-0.28254199028015137
29,-0.8687779903411865,-0.16459226608276367
30,-0.9616527557373048,-0.2076866626739502
31,-0.8883419036865234,-0.2560579776763916
32,-0.9418082237243652,-0.3223879337310791
33,-0.953864574432373,-0.3045191764831543
34,-0.9585089683532716,-0.202526330947876
35,-0.8739635944366455,-0.2089090347290039
36,-0.9500775337219238,-0.17093324661254883
37,-0.7712783813476562,-0.1850602626800537
38,-0.8136365413665771,-0.07005739212036133
39,-0.8328251838684082,-0.20580840110778809
40,-0.758580207824707,-0.10158252716064452
41,-0.9110503196716307,-0.21894526481628415
42,-0.884833574295044,-0.1437990665435791
43,-0.8566815853118896,-0.13828396797180176
44,-0.8321380615234375,-0.1377084255218506
45,-0.949631929397583,-0.22059035301208496
46,-0.8325991630554199,-0.1986246109008789
47,-0.8336694240570068,-0.16525053977966309
48,-0.7906239032745361,-0.08871579170227051
49,-0.7843518257141113,-0.16887903213500977
50,-0.7254898548126221,-0.14156818389892578
51,-0.5857853889465332,0.026723623275756836
52,-0.6901583671569824,-0.0164487361907959
53,-0.6811835765838623,-0.06351637840270996
54,-0.8330872058868408,-0.16383743286132812
55,-0.9001941680908203,-0.20972251892089844
56,-0.8642411231994629,-0.2119920253753662
57,-0.6107156276702881,-0.00128173828125
58,-0.8190476894378662,-0.26025843620300293
59,-0.7935254573822021,-0.07249212265014648
60,-0.8829824924468994,-0.24439311027526855
61,-0.8515462875366211,-0.21097469329833984
62,-0.6537034511566162,-0.1054692268371582
63,-0.7667236328125,-0.1897571086883545
64,-0.737318754196167,-0.173997163772583
65,-0.7458109855651855,-0.11707353591918944
66,-0.6678662300109863,-0.10935664176940918
67,-0.736170768737793,-0.09893441200256348
68,-0.5105292797088623,-0.004171848297119141
69,-0.6343326568603516,-0.041710615158081055
70,-0.6772775650024414,-0.09438157081604004
71,-0.7304360866546631,-0.15977215766906738
72,-0.7280323505401611,-0.1477515697479248
73,-0.6774799823760986,-0.028262853622436523
74,-0.715261697769165,-0.059137582778930664
75,-0.6489846706390381,-0.1034870147705078
76,-0.5737133026123047,-0.0582888126373291
77,-0.6450638771057129,-0.12923812866210938
78,-0.6805844306945801,-0.24560952186584473
79,-0.6721000671386719,-0.1186988353729248
80,-0.4998507499694824,-0.01948404312133789
81,-0.5608780384063721,0.05314946174621582
82,-0.5550620555877686,-0.057059288024902344
83,-0.5787112712860107,-0.08387541770935059
84,-0.4980194568634033,0.017283201217651367
85,-0.6947963237762451,-0.2312784194946289
86,-0.5897934436798096,-0.11523151397705078
