step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-response_length/mean_step
1,6197.1357421875,6130.9443359375
2,6485.53125,6510.6474609375
3,6393.7353515625,6453.4892578125
4,6206.4208984375,6218.1064453125
5,5843.0068359375,5780.923828125
6,6376.263671875,6177.6865234375
7,6351.2060546875,6195.5263671875
8,5964.54296875,5382.1396484375
9,5802.5107421875,4828.056640625
10,5962.23046875,4569.05078125
11,6431.7958984375,4541.4375
12,6231.5048828125,3753.216796875
13,6214.23046875,3252.42578125
14,5968.791015625,2478.076171875
15,6024.146484375,1930.0224609375
16,6304.3271484375,1560.0322265625
17,5820.69921875,1441.158203125
18,5935.0634765625,1282.95703125
19,6042.9755859375,1509.84375
20,6029.1904296875,1481.5302734375
21,5933.13671875,1459.6044921875
22,5887.404296875,1495.744140625
23,6170.6201171875,1648.2646484375
24,5962.6298828125,1627.771484375
25,5867.998046875,1729.037109375
26,5952.6044921875,1751.744140625
27,6149.89453125,1859.4013671875
28,6109.916015625,1745.28125
29,5693.1376953125,1758.16796875
30,5917.1943359375,1848.63671875
31,5998.0732421875,1877.1552734375
32,5936.07421875,1979.4013671875
33,5938.4013671875,1983.4560546875
34,5981.4794921875,1913.5283203125
35,5802.650390625,1933.3291015625
36,5891.83984375,2113.322265625
37,5525.203125,1946.8154296875
38,5411.484375,1804.7607421875
39,5693.59375,1976.111328125
40,5543.7109375,2041.19921875
41,5827.671875,2053.7802734375
42,5919.3583984375,2021.708984375
43,5859.0625,2189.1572265625
44,5698.8046875,2093.68359375
45,5965.478515625,2243.5625
46,5663.9208984375,2005.3681640625
47,5626.94140625,2131.734375
48,5486.7001953125,2042.6298828125
49,5462.3984375,2153.8017578125
50,5369.7255859375,2006.8447265625
51,5209.826171875,2089.0087890625
52,5310.625,2117.4931640625
53,5194.453125,2052.201171875
54,5665.5712890625,2246.865234375
55,5599.466796875,2124.19921875
56,5764.8671875,2110.0400390625
57,5013.369140625,2067.15625
58,5732.2373046875,2297.6943359375
59,5648.921875,2305.1689453125
60,5794.0361328125,2244.7509765625
