step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-response_length/clip_ratio_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-response_length/clip_ratio_step
1,0.490234375,0.474609375
2,0.548828125,0.5419921875
3,0.5048828125,0.5205078125
4,0.48828125,0.478515625
5,0.388671875,0.4033203125
6,0.5107421875,0.4619140625
7,0.515625,0.4697265625
8,0.4326171875,0.326171875
9,0.3779296875,0.2451171875
10,0.423828125,0.248046875
11,0.5068359375,0.1962890625
12,0.5048828125,0.1083984375
13,0.4853515625,0.044921875
14,0.4609375,0.0146484375
15,0.4501953125,0.0029296875
16,0.498046875,0.0048828125
17,0.4150390625,0.0009765625
18,0.4482421875,0
19,0.4716796875,0.0009765625
20,0.474609375,0.0029296875
21,0.4453125,0
22,0.4169921875,0.0009765625
23,0.482421875,0.001953125
24,0.4443359375,0
25,0.42578125,0
26,0.4541015625,0
27,0.47265625,0
28,0.4697265625,0.0009765625
29,0.3984375,0
30,0.443359375,0.0029296875
31,0.45703125,0.0009765625
32,0.431640625,0.005859375
33,0.443359375,0.0029296875
34,0.4091796875,0.0009765625
35,0.3994140625,0.0029296875
36,0.4453125,0.001953125
37,0.3828125,0.0009765625
38,0.375,0.001953125
39,0.384765625,0.001953125
40,0.36328125,0
41,0.4345703125,0.001953125
42,0.4072265625,0.0029296875
43,0.4326171875,0.0048828125
44,0.39453125,0.0009765625
45,0.4296875,0
46,0.40625,0.0009765625
47,0.3623046875,0.0009765625
48,0.384765625,0.0009765625
49,0.3916015625,0.00390625
50,0.3310546875,0
51,0.3330078125,0.005859375
52,0.3701171875,0.0029296875
53,0.3359375,0.001953125
54,0.400390625,0.00390625
55,0.3916015625,0.001953125
56,0.3857421875,0.0009765625
57,0.322265625,0.00390625
58,0.3779296875,0.001953125
59,0.4072265625,0.0029296875
60,0.3974609375,0.0009765625
61,0.3984375,0.001953125
62,0.31640625,0.005859375
63,0.3916015625,0.00390625
64,0.3427734375,0
65,0.3310546875,0.0029296875
66,0.3515625,0.0009765625
67,0.3505859375,0.00390625
68,0.287109375,0.00390625
69,0.3359375,0.0048828125
70,0.32421875,0.001953125
71,0.3408203125,0.0009765625
72,0.3173828125,0.0029296875
73,0.3095703125,0.0009765625
74,0.359375,0.0048828125
75,0.3125,0.001953125
76,0.24609375,0.001953125
77,0.2685546875,0.0029296875
78,0.3017578125,0.001953125
79,0.3154296875,0
80,0.2900390625,0.0009765625
81,0.310546875,0.001953125
