step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/g_rms_ema_step
1,7.908555590112143e-07,7.378906964074591e-07
2,7.864197492568322e-07,7.348145681144383e-07
3,7.826084121768974e-07,7.337541829504312e-07
4,7.800416357121526e-07,7.308847397835419e-07
5,7.801139886828563e-07,7.346567233706408e-07
6,7.814023797635761e-07,7.372765342241011e-07
7,7.791135823176529e-07,7.344701230539439e-07
8,7.777822221562281e-07,7.399502903420098e-07
9,7.765149922784517e-07,7.491670248558365e-07
10,7.751951237652839e-07,7.593368896145578e-07
11,7.751942048239564e-07,7.774628040375525e-07
12,7.73323795108545e-07,7.918032252602922e-07
13,7.682740723872279e-07,8.055547379964474e-07
14,7.662316256202694e-07,8.184756878895042e-07
15,7.642354640021847e-07,8.349384675413034e-07
16,7.66294940456736e-07,8.647041415260314e-07
17,7.66299929513484e-07,8.799280900208282e-07
18,7.65694109152399e-07,8.929350898600131e-07
19,7.637904606778777e-07,9.036331451086965e-07
20,7.624099843086441e-07,9.10189093994902e-07
21,7.658885368948679e-07,9.274710994274155e-07
22,7.652614988497178e-07,9.347334132033027e-07
23,7.633156179236191e-07,9.435497515999456e-07
24,7.623025542767677e-07,9.479054387825143e-07
25,7.61249903993566e-07,9.499464204619952e-07
26,7.630142172457189e-07,9.582739852814063e-07
27,7.587364943899028e-07,9.5836899084176e-07
28,7.595687187785287e-07,9.62574036260373e-07
29,7.607631252476657e-07,9.660031326087824e-07
30,7.602542237696561e-07,9.695835416713445e-07
31,7.648493835463266e-07,9.787624543486288e-07
32,7.662072650357712e-07,9.761963075457242e-07
33,7.669527891516781e-07,9.780821818663394e-07
34,7.662438152410827e-07,9.84212756662705e-07
35,7.669311438543022e-07,9.85219427541984e-07
36,7.644559919592298e-07,9.91086920763121e-07
37,7.6474982864959e-07,9.915688107597806e-07
38,7.656124590919851e-07,9.948804657663562e-07
39,7.659938044678103e-07,1.0007276455085529e-06
40,7.653588074940658e-07,1.0024625726574942e-06
41,7.713871276372966e-07,1.0040308304694249e-06
42,7.730524366581592e-07,1.001147621205113e-06
43,7.725098039856083e-07,1.0019121131866923e-06
44,7.708560551539595e-07,9.992031832043062e-07
45,7.71835229972941e-07,9.996015688647883e-07
46,7.78248100957281e-07,1.0009769723842492e-06
47,7.800568475412519e-07,1.0000319594896108e-06
48,7.793678369986876e-07,1.0009054870255693e-06
49,7.771754653148888e-07,9.985782134222962e-07
50,7.764931381488127e-07,9.96666854993669e-07
51,7.864064143583738e-07,1.007831431357461e-06
52,7.853623386106574e-07,1.007673790187501e-06
53,7.840537470348529e-07,1.0090513941137261e-06
54,7.835086323504889e-07,1.0042662213220934e-06
55,7.832721510204846e-07,1.0025956526473875e-06
56,7.871862498569186e-07,1.0045401003795301e-06
57,7.867994879905092e-07,1.007571742474757e-06
58,7.86677491933913e-07,1.004296262806073e-06
59,7.859416650151593e-07,1.0046343437304954e-06
60,7.866977011452713e-07,9.988449064493666e-07
61,7.934202625289293e-07,1.0015803270935814e-06
62,7.988169473139556e-07,1.0036818748237295e-06
63,7.951995022987563e-07,1.0000906084595041e-06
