step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/g_rms_step
1,7.908555590112143e-07,7.378906964074591e-07
2,7.021393639235743e-07,6.763681305470447e-07
3,7.101930076581375e-07,7.136068648342971e-07
4,7.312728828820034e-07,6.763653196126451e-07
5,7.814886951262323e-07,8.063244115255204e-07
6,8.058818102972482e-07,7.870529404398478e-07
7,7.35626430845116e-07,6.811483108209556e-07
8,7.524863790891569e-07,8.440734688152597e-07
9,7.524376246006974e-07,9.242849806185442e-07
10,7.501176220150979e-07,9.525643200302672e-07
11,7.751767449387358e-07,1.1218551780744496e-06
12,7.377860105157293e-07,1.064271228492348e-06
13,6.723293406821993e-07,1.0668334799833969e-06
14,7.2742513704806e-07,1.0639737358575853e-06
15,7.263083932585803e-07,1.1477312809254873e-06
16,8.054249930932073e-07,1.4302519472358643e-06
17,7.66394721591696e-07,1.1691831114219692e-06
18,7.541835222917827e-07,1.1400680868045241e-06
19,7.276211396619736e-07,1.1068961948336834e-06
20,7.36180933293208e-07,1.034752122832805e-06
21,8.319810360331209e-07,1.2558292026451788e-06
22,7.533477759918682e-07,1.0727173749451605e-06
23,7.263438803277424e-07,1.1110601811361552e-06
24,7.430543449865951e-07,1.030663495251323e-06
25,7.412495486127344e-07,9.887250723721328e-07
26,7.965361690366229e-07,1.1164977168502176e-06
27,6.774597601293958e-07,9.601740964884794e-07
28,7.753809821624192e-07,1.0424698992140217e-06
29,7.834568481612742e-07,1.0311559632285617e-06
30,7.505850956874723e-07,1.0376113138600255e-06
31,8.521574193030671e-07,1.1531617952170338e-06
32,7.92007013335223e-07,9.274395182905389e-07
33,7.811177473539073e-07,1.0139137939580312e-06
34,7.527733109397718e-07,1.1006936777936501e-06
35,7.799903875054717e-07,1.0043461742482855e-06
36,7.17428105952855e-07,1.1025692919647205e-06
37,7.70332725766433e-07,1.0007247206963226e-06
38,7.820024374974964e-07,1.0578019108912892e-06
39,7.732393666084864e-07,1.1118240606102994e-06
40,7.532938649929231e-07,1.0354261884873709e-06
41,8.859252103586821e-07,1.0338277288961079e-06
42,8.04693308054552e-07,9.463666451831865e-07
43,7.621997832071388e-07,1.016437460836702e-06
44,7.394348273526359e-07,9.477335135389708e-07
45,7.904395515335906e-07,1.0071708964139522e-06
46,9.000926496597392e-07,1.0271096392540072e-06
47,8.144230326367003e-07,9.820767144914819e-07
48,7.662766366899684e-07,1.017502510208782e-06
49,7.355204033227096e-07,9.543600149601105e-07
50,7.635289219933653e-07,9.60351044849756e-07
51,9.747586623400396e-07,1.2199583822695134e-06
52,7.655248994040461e-07,1.004678607958255e-06
53,7.591905070945679e-07,1.0352258687120122e-06
54,7.731514533475724e-07,9.13347938281066e-07
55,7.787790057504078e-07,9.708548478279759e-07
56,8.615541277491655e-07,1.0414846072902484e-06
57,7.794510125287291e-07,1.0651729422840598e-06
58,7.843595668585889e-07,9.420621491010776e-07
59,7.719609535588371e-07,1.0110578812945192e-06
60,8.010623876174007e-07,8.88845598107919e-07
61,9.211489288184312e-07,1.0535533193336657e-06
62,9.013539582294545e-07,1.0436112816965423e-06
63,7.264680470099685e-07,9.318565475392263e-07
64,8.517000207172778e-07,9.138670399292031e-07
65,7.736360686582849e-07,9.831839214816286e-07
66,9.253405338183014e-07,1.0751918127334279e-06
67,8.350147069918465e-07,1.0211121955319786e-06
68,8.564260750648295e-07,9.414603286373155e-07
69,8.172382363418707e-07,9.304544394572453e-07
70,8.558215303306754e-07,1.0136013248844378e-06
71,1.0136484067775904e-06,1.0825813053835813e-06
72,7.79901331129424e-07,9.462396593212924e-07
73,8.345184558141277e-07,1.0031062680007954e-06
74,8.170870950373359e-07,9.39121389770812e-07
75,8.960327706299722e-07,8.610370606367254e-07
76,9.645866631739912e-07,1.1409424150166876e-06
77,8.696206568722622e-07,9.813955452702485e-07
78,8.503109716379587e-07,9.127991954607886e-07
79,8.174292209970188e-07,9.343353363977387e-07
80,8.919402190294707e-07,1.0012442434295754e-06
81,9.706666569042969e-07,1.0731249007154384e-06
82,8.988884392148355e-07,9.584046916949566e-07
83,7.993168078681767e-07,9.356273200304402e-07
84,9.104549399960486e-07,9.095758160674787e-07
85,8.03209691424534e-07,9.1448193103561e-07
86,9.747181036358194e-07,1.0286653846440174e-06
87,8.476403505702904e-07,9.485325175669228e-07
88,8.457689338839049e-07,1.0195008355768467e-06
89,8.886159491472662e-07,9.496448415694503e-07
90,8.869105458400525e-07,9.448491527795731e-07
91,9.3634078201388e-07,1.0847944492964004e-06
92,8.308961055460866e-07,9.157679027997408e-07
93,9.00258701276389e-07,1.0872607479759511e-06
94,9.142179456503907e-07,9.506396134687125e-07
95,9.144644475601124e-07,1.0124936259359912e-06
96,,1.1385626218747045e-06
97,,9.393097144759851e-07
98,,1.0396582870876634e-06
99,,9.754941444700075e-07
100,,1.0061982152938029e-06
101,,1.0845826394155122e-06
102,,9.415964563470252e-07
103,,1.0068189046489774e-06
104,,9.51367967327734e-07
105,,1.0319230788819429e-06
106,,1.060627400275736e-06
107,,9.465389611468795e-07
108,,9.354761953943752e-07
109,,9.174266432872347e-07
110,,9.165599117165617e-07
111,,1.0399273570869734e-06
112,,1.0174806556110161e-06
113,,9.226898565601807e-07
114,,9.716160916051919e-07
115,,9.202499434090828e-07
116,,1.0522603621857055e-06
117,,9.949813043051578e-07
118,,9.874332540869585e-07
119,,1.0302993876924584e-06
120,,9.852642809279173e-07
121,,9.694727166936216e-07
122,,9.478430764348736e-07
123,,9.5392496177727e-07
124,,9.81357515252254e-07
125,,9.683395623406875e-07
126,,1.1761712382088043e-06
127,,1.0625937475565327e-06
128,,1.0126833870553138e-06
129,,1.0070681102461958e-06
130,,9.856785412516526e-07
131,,1.0889301121085977e-06
132,,9.942403633723853e-07
133,,9.630850074952598e-07
134,,9.732383472716002e-07
135,,9.67835955348913e-07
136,,1.1071245159370959e-06
137,,1.0165070636786259e-06
138,,9.64193762033077e-07
139,,9.14187390860958e-07
