step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/c_t_step
1,1.25e-05,1e-05,7.499999999999999e-06
2,1.25e-05,1e-05,7.499999999999999e-06
3,1.25e-05,1e-05,7.499999999999999e-06
4,1.25e-05,1e-05,7.499999999999999e-06
5,1.25e-05,1e-05,7.499999999999999e-06
6,1.25e-05,1e-05,7.499999999999999e-06
7,1.25e-05,1e-05,7.499999999999999e-06
8,1.25e-05,1e-05,7.499999999999999e-06
9,1.25e-05,1e-05,7.499999999999999e-06
10,1.25e-05,1e-05,7.499999999999999e-06
11,1.25e-05,1e-05,7.499999999999999e-06
12,0.00025,0.0001854687846166507,0.00015
13,0.00025,0.0001854687846166507,0.00015
14,0.00025,0.0001854687846166507,0.00015
15,0.00025,0.0001854687846166507,0.00015
16,0.00025,0.0001854687846166507,0.00015
17,0.00025,0.0001854687846166507,0.00015
18,0.00025,0.0001854687846166507,0.00015
19,0.00025,0.0001854687846166507,0.00015
20,0.00025,0.0001854687846166507,0.00015
21,0.00025,0.0001854687846166507,0.00015
22,0.00025,0.0001854687846166507,0.00015
23,0.00025,0.0001854687846166507,0.00015
24,0.00025,0.0001854687846166507,0.00015
25,0.00025,0.0001854687846166507,0.00015
26,0.00025,0.0001854687846166507,0.00015
27,0.00025,0.0001854687846166507,0.00015
28,0.00025,0.0001854687846166507,0.00015
29,0.00025,0.0001854687846166507,0.00015
30,0.00025,0.0001854687846166507,0.00015
31,0.00025,0.0001854687846166507,0.00015
32,0.00025,0.0001854687846166507,0.00015
33,0.00025,0.0001854687846166507,0.00015
34,0.00025,0.0001854687846166507,0.00015
35,0.00025,0.0001854687846166507,0.00015
36,0.00025,0.0001854687846166507,0.00015
37,0.00025,0.0001854687846166507,0.00015
38,0.00025,0.0001854687846166507,0.00015
39,0.00025,0.0001854687846166507,0.00015
40,0.00025,0.0001854687846166507,0.00015
41,0.00025,0.0001854687846166507,0.00015
42,0.00025,0.0001854687846166507,0.00015
43,0.00025,0.0001854687846166507,0.00015
44,0.00025,0.0001854687846166507,0.00015
45,0.00025,0.0001854687846166507,0.00015
46,0.00025,0.0001854687846166507,0.00015
47,0.00025,0.0001854687846166507,0.00015
48,0.00025,0.0001854687846166507,0.00015
49,0.00025,0.0001854687846166507,0.00015
50,0.00025,0.0001854687846166507,0.00015
51,0.00025,0.0001854687846166507,0.00015
52,0.00025,0.0001854687846166507,0.00015
53,0.00025,0.0001854687846166507,0.00015
54,0.00025,0.0001854687846166507,0.00015
55,0.00025,0.0001854687846166507,0.00015
56,0.00025,0.0001854687846166507,
57,0.00025,0.0001854687846166507,
58,0.00025,0.0001854687846166507,
59,0.00025,0.0001854687846166507,
