step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/g_A1_dot_A2_step
1,4.546624741656104e-05,-3.4536495082502795e-05,8.557021852814082e-05
2,-2.9045959188415924e-05,7.320077038904649e-05,5.71934887805041e-05
3,9.36513434608803e-05,2.5317602671268293e-05,-3.11541190364054e-05
4,1.955692515475827e-05,2.983339296176485e-05,2.732216665079609e-05
5,2.4516719062425617e-05,0.00013806103239701127,7.143129885946367e-05
6,-1.8109043149885587e-05,9.22033344477816e-05,-2.0713412610212425e-05
7,-3.793444678416792e-05,0.00010886832150079256,8.183349228337429e-05
8,-2.6533817280596313e-05,0.00025605383303324347,1.549741786365719e-07
9,1.2684048886185863e-05,-2.0319290868757885e-05,3.738248828532065e-05
10,-0.00012576153162558376,-4.7215720327717546e-05,-1.9068254149554267e-05
11,4.121374043270984e-05,0.00011693741432806392,-5.982943226906046e-05
12,0.00011155234654153286,1.975495882617826e-06,-0.00012652558963360168
13,0.0001015306686485832,5.064020557505718e-05,4.842391920038945e-05
14,-3.548726011322757e-05,0.00011360902194999982,-5.968041107192574e-05
15,0.0003142859670082752,0.0002136371572715336,4.797549335207056e-05
16,3.6561388637995894e-06,1.2114994803869063e-05,-6.349224994441859e-05
17,4.387302314694034e-05,9.74351709719026e-05,4.601792927389505e-05
18,6.991312114073468e-06,-8.078206880960046e-05,1.3133267629753077e-07
19,9.072906595637432e-05,-2.79813540900746e-05,7.868050552131585e-05
20,-0.0001002075305139477,5.5977403978408264e-05,-1.6470035849654594e-05
21,2.600610832634143e-05,7.261221430080372e-05,0.00026662591618154815
22,2.7915798500109708e-05,0.0001348222415814716,0.00010639366549995948
23,9.406711015913423e-05,-8.653872780722992e-05,-7.377141568559198e-05
24,-0.0001058213863503996,4.127169968436374e-05,-8.548588940321983e-05
25,3.833187708479882e-05,-0.00015453704128300683,6.731286994560451e-05
26,7.361832126517695e-05,4.688412167671915e-05,-4.664620112188566e-05
27,-9.991920540392267e-05,-1.497400911660966e-05,0.0001197713504512283
28,-2.049539171280841e-05,3.850036883376953e-05,-4.01914448901047e-05
29,9.20097658338248e-05,0.00014103662996403613,0.00017229763436172476
30,2.489000795230175e-05,9.721806513749856e-05,6.088957941199026e-06
31,4.644025427341886e-05,0.00013755167283056036,-0.0002189157603928456
32,-2.378978658721753e-05,-0.0002178240907516025,-2.146396752092083e-06
33,0.00030319173976964996,3.501379521911866e-05,-6.1006069210620184e-05
34,0.00021044069964748903,0.000111842383658787,6.53322109973077e-05
35,-0.00032073377844441046,5.2992409634601505e-05,-5.586978566481801e-05
36,8.910272164637056e-05,-3.385706497741794e-05,0.0001122362390089755
37,-1.401434839265302e-05,0.00019409461788141136,-0.00015394919181623514
38,-0.00012896626240875743,5.462845360159117e-05,-1.9304399296593457e-05
39,4.7991199998951125e-05,0.00017694357518800762,-0.000135395276475149
40,7.537715092625292e-05,-3.535942237446497e-05,0.00020221088579538423
41,8.649337244917031e-05,0.00010048650521707666,-5.416874445878076e-05
42,0.0001645400469816537,-0.00011337543807153196,-6.189969157921257e-05
43,-0.00012231865907985902,1.670625821301984e-05,0.0001511069686481874
44,5.651475239318796e-05,5.235816702424431e-05,9.87631151201664e-05
45,4.1214960655338646e-05,-0.00015456143730701604,-2.4066485624896978e-05
46,1.4291839327007995e-05,3.8494617204093106e-05,2.1181994195421883e-05
47,-6.629990528695494e-08,0.00010298477481505223,2.953697713079721e-05
48,-0.00015806273447465912,-4.4796823687105694e-05,0.0002927689054938863
49,-2.588409924876305e-05,1.4438947649731662e-05,6.730941032753524e-05
50,-3.468092970980169e-05,4.120289735564801e-05,4.0600950371940586e-05
51,-0.00019417833783884176,0.0001862435294855428,-0.00016039363517723337
52,6.850423991979527e-05,0.0002943226893513548,0.0001255985308837061
53,0.00011030833099568838,0.00011715484622161284,-4.337990038443417e-05
54,1.0763944115753536e-05,-4.544397610568563e-05,-7.664763013435877e-05
55,-7.393999801368119e-05,-3.1959868762068696e-05,9.611303192391634e-05
56,-2.2853798455389902e-05,-7.535753001761083e-05,
57,-3.5192044529638235e-05,-3.3193815943304125e-05,
58,-6.259567136324478e-05,-7.083069386233007e-05,
59,5.8491982272339496e-05,-2.0425519008034536e-05,
