step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/g_norm_A2_sq_step
1,0.0019547081952112086,0.0016863737212334936,0.0017945123836671391
2,0.0014399248082262316,0.0017185417228794246,0.0018317206560488912
3,0.001870079762050975,0.002058023643267705,0.001890620517846821
4,0.001706894302662256,0.0014628336170314595,0.002000477039635094
5,0.001629015165076479,0.0018290758335877848,0.002153500286521741
6,0.001859805831936592,0.0017251075680950736,0.0015046239251725443
7,0.0019118100285755448,0.0018035042596914208,0.0018597252177407707
8,0.002325539459923323,0.0032697135321338904,0.002215694471581858
9,0.003541675365521149,0.0031039728166017623,0.002410475705573454
10,0.0034420378399465205,0.002974258601466186,0.00276028390793238
11,0.0032976043766609307,0.002827320118318066,0.0026025407217780258
12,0.003241285295160672,0.0034751831440771068,0.0034895406090464493
13,0.003854945993780601,0.003358474344093587,0.0025826227876610385
14,0.004424204470509113,0.004343773243257457,0.004058462210508695
15,0.005970318799169555,0.004992209536102147,0.003240159579084635
16,0.005360075777139868,0.00512847637010096,0.003849550210057869
17,0.004338013993003873,0.005401291229257071,0.003790726577252487
18,0.0045806288264641625,0.005271854799420564,0.004320437199256392
19,0.003647785981506764,0.003962907282736357,0.003547588232200013
20,0.0032417032574578665,0.003651948910786735,0.0034197571035014867
21,0.0038488414664394825,0.004829760564667643,0.004219098645199671
22,0.004190588751935524,0.005327018062790914,0.004937293268538159
23,0.0037261343332698135,0.004380552937175893,0.004441803570134682
24,0.003762529681988611,0.0042345875648553445,0.00379742078384359
25,0.003517876904483206,0.003797293164142635,0.003751775403411832
26,0.0040802755849690415,0.0033933529111761364,0.0035457295295235436
27,0.0035764523922799537,0.003868966888838547,0.0031010446273360883
28,0.0031421463733050537,0.0044010281831889314,0.0035975673221829703
29,0.003651416769326319,0.004139935060054543,0.003860669578952938
30,0.0038515757338128194,0.004296367848302918,0.0035016213074104724
31,0.0033334226814902964,0.004023099784861358,0.003483039910981816
32,0.003016825612898444,0.0035373468456657256,0.0036038594434078513
33,0.003974141521714948,0.003333840781343568,0.004090497157946411
34,0.0035296887481174885,0.003913516172532059,0.003781644284373353
35,0.0037240486233394167,0.0035757315909353353,0.004034593849284747
36,0.003509693550707276,0.003997572153927848,0.0038145671224940583
37,0.004090330935124789,0.003571707998855865,0.003830283737396075
38,0.003743976866969293,0.0043302361155969716,0.004924715388086364
39,0.003068634709250151,0.004107983936874642,0.004600077170350534
40,0.003169731907269051,0.00401963170050263,0.004105042591717908
41,0.003209818502679717,0.003417703141618074,0.002877484906431763
42,0.003736390808054916,0.0033141034914726183,0.003874918559168992
43,0.0036956507894567127,0.004191839496193663,0.0034269185915062348
44,0.0037064129587680134,0.0033255379856295844,0.004225693325408201
45,0.003171449741688138,0.003397860324291721,0.0039056398217746377
46,0.0028790279665839506,0.004236630089461024,0.003264937978391969
47,0.003720893903708534,0.004196512114700778,0.003600735481958693
48,0.0029692123536784027,0.0033588786313477983,0.0037060392366965104
49,0.002538683185951517,0.003599349560894584,0.003375442308178688
50,0.003153246846212703,0.003866939400811181,0.003223082216327613
51,0.003099074370574978,0.003723523927228537,0.004251937343189509
52,0.0037037184401124343,0.0036985504553232146,0.00415227426923956
53,0.003374023799843631,0.0030643553601443865,0.004320679704978866
54,0.00312282218975671,0.00351954638989593,0.004015387485071102
55,0.003519281803200978,0.0034211570171236334,0.003399049765587661
56,0.0030268343641031634,0.003723619186518155,
57,0.003653979138447028,0.004044619215041571,
58,0.0033790806908198545,0.002740344605176013,
59,0.003195138672817896,0.003016309993444417,
