step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/is_calibration_step_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/is_calibration_step_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/is_calibration_step_step
1,1,1,1
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,1,1,1
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,1,1
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,1,1,1
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,1,1
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,1,1,1
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,1,1
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,1,1,1
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,1,1,1
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,1,1,1
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,1,1,1
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,1,1,
57,0,0,
58,0,0,
59,0,0,
