step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/g_rms_step
1,7.145121407336873e-07,6.814502191729314e-07,7.198129634533556e-07
2,6.780368255452069e-07,7.166436272627522e-07,7.200086335326415e-07
3,7.251347886750018e-07,7.123758615603257e-07,7.080796818741064e-07
4,7.248934622391453e-07,7.041518432146869e-07,7.209205156734791e-07
5,7.446451659794744e-07,7.475548501371586e-07,7.703334678671602e-07
6,7.154234734820697e-07,7.198109757491874e-07,7.04669367741563e-07
7,7.345799349943387e-07,7.87250299875177e-07,7.432687193268535e-07
8,8.864615025119755e-07,9.471776182498919e-07,8.186201625738872e-07
9,9.7901571129811e-07,9.6559101808263e-07,8.831298320410127e-07
10,9.46175666097552e-07,9.102452925277156e-07,8.615016912612308e-07
11,9.906279286530103e-07,9.305632743743679e-07,8.569418237109086e-07
12,1.06553021345441e-06,1.027955051093758e-06,9.60123401090373e-07
13,1.092741392657297e-06,9.925531090284799e-07,9.390687727703907e-07
14,1.0840713831349046e-06,1.1197377237763061e-06,1.00204437984289e-06
15,1.2171856951959459e-06,1.1542734622508103e-06,1.0120488726717709e-06
16,1.1823997120343124e-06,1.1970972484181445e-06,1.0306547657264e-06
17,1.1180509367899722e-06,1.2063709134017516e-06,1.0644118953477858e-06
18,1.1222522211693823e-06,1.2434484904076729e-06,1.1541784879614795e-06
19,1.0461646542802418e-06,1.1141096660310662e-06,1.0297766932322445e-06
20,8.932237755782042e-07,9.740951326396838e-07,1.0123164042752705e-06
21,1.009114165030347e-06,1.1672976544970779e-06,1.1540975757505526e-06
22,1.039224428941401e-06,1.1710526866872146e-06,1.1498735008661829e-06
23,1.0588120980229669e-06,1.0826401194298916e-06,1.0780486705737168e-06
24,1.0344229977394215e-06,1.1435379280301481e-06,1.0906736451011417e-06
25,9.569696578516788e-07,9.750075891121265e-07,1.0727210561963868e-06
26,1.0228468513386389e-06,1.014702462794791e-06,9.987725411934705e-07
27,9.773968583246628e-07,1.0635700251819455e-06,1.015658559922648e-06
28,9.877637128136664e-07,1.0309134733644622e-06,1.0309785501852396e-06
29,1.049671272587572e-06,1.0833816112000065e-06,1.1075482596401403e-06
30,1.008962092553007e-06,1.051245641788352e-06,1.0091685855547889e-06
31,9.563303282143476e-07,1.0457850325999466e-06,9.678891131329402e-07
32,9.224899188944419e-07,9.578521986279091e-07,9.9262217043453e-07
33,1.0532174213179742e-06,9.866326346229068e-07,1.0382336785561725e-06
34,1.0702200260728594e-06,1.0667178468526922e-06,1.0358591645776409e-06
35,9.832581019920394e-07,1.0338897194795192e-06,1.0586814339459753e-06
36,9.938899554002557e-07,1.0300454980922992e-06,1.072553722687132e-06
37,1.0326979694470915e-06,1.0996326054281032e-06,9.892921894248115e-07
38,1.0819285237531048e-06,1.0077253368424949e-06,1.1294760029977645e-06
39,9.88805068579701e-07,1.0544416164270937e-06,1.104535711755121e-06
40,9.566673278715012e-07,1.0200563138898005e-06,1.0914214084587319e-06
41,1.0150617814431026e-06,1.0296200649155598e-06,9.472610411906531e-07
42,9.964250751579944e-07,1.0065613540867032e-06,1.0782172836980966e-06
43,9.687061093423745e-07,1.0329342448680838e-06,1.0436011182897002e-06
44,9.89571778853096e-07,9.940689971981998e-07,1.0685449128829038e-06
45,9.900564636879553e-07,9.427958695310799e-07,1.0376487005237784e-06
46,9.376720464954061e-07,1.0314165369194674e-06,9.557612062567765e-07
47,1.0127888844588663e-06,1.0789726580315048e-06,1.0010488489063987e-06
48,9.578287300231234e-07,9.997780361677209e-07,1.0996886423961225e-06
49,8.650540733450255e-07,9.63070271897675e-07,9.742433687585846e-07
50,9.310957245290783e-07,1.014042240607808e-06,9.972876896594671e-07
51,9.535993329772886e-07,1.0915411483299469e-06,1.0453550931724085e-06
52,1.000314602755381e-06,1.0651747531690673e-06,1.035824403383438e-06
53,1.012059833304986e-06,1.066044363602715e-06,1.013416777439211e-06
54,9.322700826242817e-07,9.655311468751771e-07,9.67360618265382e-07
55,9.433140461000451e-07,9.825994186317571e-07,1.0398940856343354e-06
56,9.334637124456368e-07,9.675427536315618e-07,9.741452007027434e-07
57,1.0239862017514295e-06,1.086561607883116e-06,1.0956434534994205e-06
58,9.534268232153888e-07,9.085500691445279e-07,9.400535811629435e-07
59,9.406327717779411e-07,9.665654193302025e-07,1.0214778066831486e-06
60,9.015666144054362e-07,9.650664619001706e-07,8.914163949316912e-07
61,9.57205877753518e-07,9.766529663239797e-07,9.312953022755284e-07
62,1.0222846648152648e-06,1.0054415507359705e-06,9.938380146873242e-07
63,9.953808925260868e-07,9.779263332309276e-07,9.72143721225124e-07
64,8.786496163251859e-07,9.677286298881226e-07,9.859880099113128e-07
65,1.0055504838389673e-06,9.560494585460469e-07,9.591994098816388e-07
66,9.080606933829375e-07,1.0135275427727355e-06,9.464399057790639e-07
67,9.470177951716445e-07,9.243474020977848e-07,1.0503593229249733e-06
68,9.655353790497401e-07,1.006710864455757e-06,9.641773207632429e-07
69,9.192360735559575e-07,9.150920504337323e-07,9.184943362698108e-07
70,9.785865768145321e-07,9.224142277642023e-07,9.401549475476675e-07
71,9.52818939840469e-07,9.4797175147987e-07,9.310919494490992e-07
72,9.18034561197738e-07,9.624625648707518e-07,9.870752868715609e-07
73,1.0420565867315023e-06,9.803512766714437e-07,1.0135604093781024e-06
74,9.398788389690245e-07,9.840101453700728e-07,9.449777353247434e-07
75,9.902859950536195e-07,9.786840884258712e-07,9.684548298268931e-07
76,9.89279266095877e-07,1.0081407120490225e-06,9.988976728500553e-07
77,9.181742452334555e-07,9.517992188146031e-07,9.097807003219904e-07
78,9.939529679356899e-07,9.276124222611521e-07,9.387928819279043e-07
79,1.004377286516558e-06,9.673860292425664e-07,1.0144740111465348e-06
80,1.0420696676890845e-06,1.0715139581374873e-06,1.0175266179269705e-06
81,1.015101911597668e-06,1.0698168181098067e-06,9.88884909633259e-07
82,1.0153528241383584e-06,1.0010884397231816e-06,9.5616401954892e-07
83,9.642979431130288e-07,1.0003401344636765e-06,9.419826660395564e-07
84,9.169070816728648e-07,1.0561361061440645e-06,1.007444563139505e-06
85,9.356172684627108e-07,9.463040090521732e-07,9.295785367584635e-07
86,9.468995549202963e-07,9.69673404414587e-07,9.297728707475305e-07
87,9.27388417329344e-07,9.648890344444637e-07,9.569027022013244e-07
88,9.589945369208738e-07,9.8439662019555e-07,9.742535102070873e-07
89,9.518956745460867e-07,9.18927056817469e-07,9.208537350354136e-07
90,9.095030763533757e-07,9.467341674598504e-07,9.509438930185124e-07
91,9.449698070298415e-07,9.964098703397453e-07,9.764527338018559e-07
92,8.660802411402773e-07,9.14235907237796e-07,9.010970129097264e-07
93,9.565510501587149e-07,1.004968859933691e-06,9.579091504170821e-07
94,9.412990117259172e-07,9.230366097624638e-07,9.423611458526883e-07
95,9.960648044365723e-07,1.0177875960978663e-06,1.005203672900077e-06
96,9.048738863800291e-07,9.966971822163206e-07,9.198450965834423e-07
97,9.332876981897617e-07,9.726789409682866e-07,9.621285072838969e-07
98,9.773270307953277e-07,9.895579160344298e-07,9.411911009791811e-07
99,9.662529078650065e-07,9.7825496240995e-07,9.239744370789036e-07
100,9.296493191375255e-07,9.425753120775975e-07,9.626560440091214e-07
101,8.854804953154326e-07,9.473036698568794e-07,9.443277696445191e-07
102,8.923542688637386e-07,9.600592665144209e-07,9.301668135406132e-07
103,9.30398710269824e-07,1.0047469357549302e-06,9.410423482379094e-07
104,9.420242827453602e-07,9.562330388428228e-07,9.133708791684447e-07
105,9.639092718930773e-07,1.0674056666116596e-06,1.0642201352814585e-06
106,8.508966359742103e-07,9.672335991519482e-07,9.704055288314475e-07
107,8.640940116280953e-07,9.274928339761196e-07,9.511466299373063e-07
108,8.642320963775681e-07,9.255389503315733e-07,9.420855443947923e-07
109,8.729938646939409e-07,9.276457581430886e-07,8.891100298659214e-07
110,8.790191728132803e-07,9.178710640894436e-07,9.169689484825765e-07
111,9.528197296258101e-07,9.594322366115037e-07,1.000992182296643e-06
112,8.49062939784631e-07,9.341647934700912e-07,9.527809371598063e-07
113,9.111927540677556e-07,9.301685835369849e-07,9.803714362064049e-07
114,8.824545898285526e-07,9.345553090622545e-07,9.040624150559055e-07
115,8.308550617409889e-07,9.419249489696753e-07,9.393538428574123e-07
116,8.459686526095051e-07,9.255573566260757e-07,9.371564936976806e-07
117,8.878436457621558e-07,9.820493315782349e-07,9.336481280159136e-07
118,8.488698891752294e-07,9.64314887744607e-07,9.23767459223008e-07
119,8.748866975160366e-07,9.282453836543055e-07,9.84862814504902e-07
120,8.863248786771158e-07,9.869229578175672e-07,9.42562140904273e-07
121,8.938561790958569e-07,9.87499042469096e-07,9.62208214874532e-07
122,8.347205288404344e-07,9.435122085602035e-07,8.734616906099918e-07
123,8.337888141042382e-07,9.068647272118166e-07,9.699672003756679e-07
124,8.557095805447605e-07,9.158992777814029e-07,9.186535267780007e-07
125,8.630316736767335e-07,9.51667327501179e-07,9.80276264615868e-07
126,8.981683494614232e-07,1.015067230592525e-06,1.0122469408472714e-06
127,8.781348396090744e-07,1.011651365836887e-06,9.987594163466815e-07
128,8.604429312428104e-07,9.79873071272671e-07,9.843254729049555e-07
129,8.572021879445027e-07,9.852399543469498e-07,1.0110562225266228e-06
130,8.575205199942898e-07,9.069646809698211e-07,9.333614455401951e-07
131,8.654073405281181e-07,9.139924199553307e-07,9.142060244422373e-07
132,8.540585491967252e-07,9.495823587070026e-07,9.404287288070161e-07
133,8.364410119701995e-07,9.267180897191524e-07,9.035547360335521e-07
134,9.042394525088505e-07,9.133130506386038e-07,1.0028724524186102e-06
135,8.899176084293934e-07,9.239731190695403e-07,9.18733255889845e-07
136,8.755758516367294e-07,9.443622702856291e-07,9.585343162651069e-07
137,8.888776963065689e-07,9.245200496978692e-07,9.666540191266329e-07
138,8.653420933537175e-07,9.699225036171277e-07,9.877109451101836e-07
139,8.687982792443132e-07,9.724208852777259e-07,9.060755775263345e-07
140,8.89822907123343e-07,9.420372121557191e-07,9.894355139835859e-07
141,8.658272897890148e-07,9.343672439424996e-07,9.763545039119744e-07
142,8.229607409288693e-07,9.224204281298879e-07,9.092785981177016e-07
143,8.043932507446122e-07,9.416314524404464e-07,9.250825528682334e-07
144,9.280901204630563e-07,1.0121806942263082e-06,9.49776169476778e-07
145,9.197391837054688e-07,9.604387189173657e-07,9.534356441903044e-07
146,9.212098395188524e-07,9.148571715002909e-07,9.711574552710622e-07
147,8.930184448591804e-07,9.705731946438056e-07,9.182189168118629e-07
148,8.81913679621249e-07,9.920373418941896e-07,9.857410341167789e-07
149,8.813340533092082e-07,9.050256814296275e-07,9.79025215778969e-07
150,9.567779201666085e-07,9.309987072816335e-07,9.672945769420049e-07
151,9.014678568445571e-07,9.369162013749356e-07,8.913549036536881e-07
152,8.68716047611875e-07,9.769981259812856e-07,9.562285509756764e-07
153,9.314822113284828e-07,9.12009419197118e-07,9.286209742419389e-07
154,8.157997811787671e-07,9.655952390380935e-07,9.606199976264194e-07
155,9.177578685084905e-07,9.327426935285543e-07,9.733307134602404e-07
156,9.048586789286552e-07,9.53866489066426e-07,9.86529991613054e-07
157,9.205819029426244e-07,9.063045231287327e-07,9.714516459843706e-07
158,8.975632729411108e-07,9.59212479082588e-07,9.761033671023789e-07
159,8.798443454642878e-07,9.444726083241457e-07,9.55731503951217e-07
160,8.964982918350987e-07,9.250001074429376e-07,9.134250593092234e-07
161,9.082526047510964e-07,9.706167834974852e-07,8.973174485086971e-07
162,9.314903691918507e-07,9.419897262636738e-07,9.374460247399559e-07
163,9.135524585945358e-07,8.721819752761854e-07,9.442243805123368e-07
164,9.253872681088547e-07,8.833555059553818e-07,9.203920272348064e-07
165,9.450490057163279e-07,1.003698228039865e-06,9.074245834565884e-07
166,8.922989196081937e-07,9.169086455486199e-07,9.470910937004952e-07
167,8.985074041117716e-07,9.329498149044261e-07,9.386229727566141e-07
168,9.547663466301051e-07,9.370417996536476e-07,9.311871205925424e-07
169,9.7019251870134e-07,8.805506608191446e-07,9.125006588295806e-07
170,9.46695588315198e-07,8.827586531833132e-07,9.602634264312406e-07
171,8.538772527371971e-07,9.547499246042824e-07,8.874317442643076e-07
172,8.54722433203858e-07,8.985103043366815e-07,9.356947424788207e-07
173,9.096116985089631e-07,9.598988654905406e-07,9.745191446433022e-07
174,9.017232209937256e-07,8.870116339000908e-07,1.0112992142517169e-06
175,9.227552734459221e-07,9.374419614632345e-07,9.220915078630584e-07
176,8.804963141780904e-07,8.92175711450036e-07,9.1332548244971e-07
177,8.90129062698482e-07,9.526226678700597e-07,9.709501814403745e-07
178,8.471277659586411e-07,8.808827081315391e-07,8.998863421737399e-07
179,8.993689461003549e-07,9.63714169400722e-07,9.219213065378865e-07
180,9.408504369764164e-07,8.88053022372678e-07,9.20583913534081e-07
181,8.817781558404844e-07,9.428088277565571e-07,9.180320855984148e-07
182,8.804627082282788e-07,9.588856630247764e-07,9.093179813225753e-07
183,8.786438598497797e-07,8.605681439683827e-07,9.112831196922608e-07
184,9.157009783910135e-07,9.102939669962868e-07,9.176255019577322e-07
185,8.707328114783387e-07,9.468219100085926e-07,9.55667002893874e-07
186,9.349649751009657e-07,9.473277361913356e-07,9.030952579193764e-07
187,8.781860685322886e-07,9.381812543687576e-07,9.216947327127041e-07
188,9.093687711066684e-07,9.14394998505122e-07,9.502007319730185e-07
189,9.072175103862491e-07,9.950187523005822e-07,8.917119272495958e-07
190,9.120923361196463e-07,9.082550871140244e-07,9.340700535480172e-07
191,8.811058530840548e-07,8.561843217248595e-07,9.075187075117707e-07
192,9.109800171715761e-07,9.464094545390688e-07,8.935985241117418e-07
193,9.119252463195538e-07,9.271485393299464e-07,9.624026079146369e-07
194,8.236457383568932e-07,8.300851707819272e-07,8.510944148416973e-07
195,8.981069490081028e-07,9.55535213898375e-07,9.049082937318528e-07
196,9.419157280891823e-07,9.057817779792829e-07,8.939641061351343e-07
197,8.777259496426909e-07,9.031105418104106e-07,9.470173937346771e-07
198,9.515401529877472e-07,8.958708455436772e-07,9.121253545249692e-07
