step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/cooldown_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/cooldown_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/cooldown_step
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,1,0
13,0,1,1
14,0,1,1
15,0,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,0,1
21,1,0,1
22,0,0,0
23,0,0,0
24,0,1,0
25,0,1,0
26,0,1,0
27,0,1,0
28,0,0,0
29,0,0,0
30,1,0,1
31,1,0,1
32,1,0,1
33,1,1,1
34,0,1,0
35,0,1,0
36,0,1,0
37,0,0,0
38,0,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,0,1,0
44,0,1,0
45,1,1,0
46,1,1,1
47,1,0,1
48,1,0,1
49,1,1,1
50,0,1,1
51,0,1,1
52,0,1,1
53,0,0,1
54,1,0,0
55,1,0,0
56,1,0,0
57,1,0,0
58,0,0,0
59,0,0,0
60,0,0,1
61,0,1,1
62,0,1,1
63,0,1,1
64,0,1,0
65,0,0,0
66,1,0,0
67,1,0,0
68,1,0,1
69,1,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,1,1
74,0,1,1
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,1
79,1,1,1
80,1,1,1
81,1,0,1
82,1,0,1
83,1,0,1
84,1,0,1
85,0,0,1
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,1,0,0
91,1,0,0
92,1,0,0
93,1,1,1
94,0,1,1
95,0,1,1
96,0,1,1
97,0,0,0
98,0,0,0
99,0,1,0
100,0,1,0
101,0,1,0
102,0,1,0
103,0,1,0
104,0,1,1
105,0,1,1
106,0,1,1
107,0,1,1
108,0,1,1
109,0,0,1
110,0,0,1
111,0,0,1
112,0,0,1
113,1,0,0
114,1,1,0
115,1,1,0
116,1,1,0
117,1,1,0
118,0,0,0
119,1,0,0
120,1,1,0
121,1,1,0
122,1,1,0
123,0,1,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,1
128,0,0,1
129,0,0,1
130,1,0,1
131,1,0,0
132,1,1,0
133,1,1,0
134,0,1,0
135,0,1,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,1,0,0
141,1,0,0
142,1,0,0
143,1,0,0
144,0,0,0
145,0,1,0
146,1,1,0
147,1,1,0
148,1,1,0
149,1,1,1
150,1,0,1
151,1,0,1
152,1,0,1
153,1,0,0
154,1,0,0
155,1,0,1
156,0,0,1
157,0,0,1
158,0,1,1
159,1,1,0
160,1,1,0
161,1,1,0
162,1,1,0
163,1,1,0
164,0,1,0
165,0,1,1
166,0,1,1
167,0,1,1
168,0,1,1
169,0,1,0
170,0,1,0
171,0,0,0
172,0,1,0
173,0,1,0
174,0,1,0
175,0,1,0
176,1,1,0
177,1,0,0
178,1,0,0
179,1,0,0
180,1,0,1
181,1,0,1
182,0,0,1
183,0,0,1
184,0,0,0
185,0,0,1
186,0,0,1
187,0,0,1
188,0,0,1
189,1,0,0
190,1,0,1
191,1,0,1
192,1,0,1
193,1,0,1
194,1,0,0
195,1,0,0
196,1,0,0
197,1,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,1
204,0,0,1
205,0,0,1
206,0,0,1
207,0,1,1
208,0,1,1
209,0,1,1
210,0,1,1
211,0,0,1
212,0,0,1
213,1,0,0
214,1,0,0
215,1,0,0
216,1,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,1
227,0,0,1
228,0,0,1
229,0,0,1
230,0,0,0
231,0,0,0
232,1,0,1
233,1,0,1
234,1,0,1
235,1,0,1
236,1,0,0
237,1,0,0
238,1,0,0
239,1,0,0
240,1,0,0
241,1,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,1,1
248,0,1,1
249,0,1,1
250,1,1,1
251,1,1,0
252,1,1,0
253,1,0,0
254,0,0,0
255,0,0,0
256,0,0,1
257,0,0,1
258,0,0,1
259,1,0,1
260,1,0,1
261,1,0,1
262,1,0,1
263,1,1,0
264,1,1,0
265,1,1,0
266,1,1,0
267,0,0,0
268,0,1,0
269,1,1,0
270,1,1,0
271,1,1,0
272,1,0,0
273,0,0,1
274,0,0,1
275,0,0,1
276,0,0,1
277,0,0,1
278,0,0,1
279,0,0,1
280,0,0,1
281,0,0,1
282,0,0,1
283,0,0,1
284,0,0,1
285,0,0,1
286,0,1,0
287,0,1,0
288,0,1,0
289,1,1,0
290,1,0,1
291,1,0,1
292,1,0,1
293,1,1,1
294,0,1,0
295,0,1,0
296,0,1,0
297,0,0,1
298,0,0,1
299,0,0,1
300,0,0,1
