step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/g_rms_ema_step
1,7.145121407336873e-07,6.814502191729314e-07,7.198129634533556e-07
2,7.126883749742633e-07,6.832098895774223e-07,7.198227469573199e-07
3,7.133106956593001e-07,6.846681881765675e-07,7.192355937031592e-07
4,7.138898339882922e-07,6.856423709284736e-07,7.193198398016752e-07
5,7.154276005878514e-07,6.887379948889079e-07,7.218705212049494e-07
6,7.154273942325622e-07,6.902916439319217e-07,7.210104635317799e-07
7,7.163850212706512e-07,6.951395767290845e-07,7.221233763215335e-07
8,7.248888453327174e-07,7.077414788051249e-07,7.269482156341512e-07
9,7.37595188630987e-07,7.20633955769e-07,7.347572964544943e-07
10,7.480242125043152e-07,7.301145226069358e-07,7.41094516194831e-07
11,7.6015439831175e-07,7.401369601953073e-07,7.468868815706349e-07
12,7.754231890688829e-07,7.545278647402298e-07,7.575487075466217e-07
13,7.912890992483036e-07,7.664291269546423e-07,7.666247108078102e-07
14,8.059282134426336e-07,7.840945567957255e-07,7.78395694259564e-07
15,8.264910875302991e-07,8.026035020684796e-07,7.900783531801743e-07
16,8.442865187554998e-07,8.223281893859628e-07,8.021071738074857e-07
17,8.579747396572234e-07,8.415303255867522e-07,8.152224098845007e-07
18,8.711886137328312e-07,8.616262338277982e-07,8.321702137883497e-07
19,8.799374157602015e-07,8.742504054379616e-07,8.420505377605444e-07
20,8.806017337511016e-07,8.792426417980475e-07,8.505638310862806e-07
21,8.870273553150639e-07,8.93645392432999e-07,8.657405183194942e-07
22,8.946372089963807e-07,9.075157571457098e-07,8.799471674468284e-07
23,9.028459534477101e-07,9.162719752599187e-07,8.898522426031728e-07
24,9.094248056622955e-07,9.276352728984301e-07,8.998933127280711e-07
25,9.118020482717646e-07,9.300038887091147e-07,9.085346999014868e-07
26,9.173542884251082e-07,9.342388174133984e-07,9.13046591966086e-07
27,9.203564169200859e-07,9.40705377801826e-07,9.181771903639139e-07
28,9.237267817147648e-07,9.452157825799576e-07,9.238172583549804e-07
29,9.300240062584052e-07,9.5212407401096e-07,9.330038084192384e-07
30,9.339709105731351e-07,9.570801523998295e-07,9.368120472760157e-07
31,9.350888814551959e-07,9.615153964098354e-07,9.383659005688621e-07
32,9.34458933327158e-07,9.61332236520739e-07,9.410787140621453e-07
33,9.403968577266989e-07,9.625972564258472e-07,9.459364622868468e-07
34,9.468880161440069e-07,9.678032859471891e-07,9.504325974013865e-07
35,9.487065204364084e-07,9.711076076238053e-07,9.55845039228616e-07
36,9.509656921846007e-07,9.740545021472305e-07,9.616804734015415e-07
37,9.550523060477252e-07,9.80333407311274e-07,9.630610592027052e-07
38,9.613961169329942e-07,9.81703003787835e-07,9.713818063924579e-07
39,9.627665645153295e-07,9.85339934419798e-07,9.780395016605913e-07
40,9.624616026831382e-07,9.87075753393298e-07,9.83708597000498e-07
41,9.650916116211365e-07,9.89202968969411e-07,9.818862192100059e-07
42,9.666582847979788e-07,9.900708882252753e-07,9.867027724344105e-07
43,9.667606760251989e-07,9.922140560574159e-07,9.89547689727175e-07
44,9.679012311665936e-07,9.92306803114455e-07,9.934975508849613e-07
45,9.690089927926617e-07,9.89831256435286e-07,9.95705108366902e-07
46,9.67442145477799e-07,9.91910520459495e-07,9.937079132613958e-07
47,9.697094824268522e-07,9.962636273380955e-07,9.940749600436459e-07
48,9.691154448066658e-07,9.964393477795767e-07,9.993556441612695e-07
49,9.639123762335835e-07,9.947708939854815e-07,9.981000303911354e-07
50,9.622715436483585e-07,9.957344613165974e-07,9.98059413354552e-07
51,9.618379331148046e-07,1.0005247956672649e-06,1.0004241973454448e-06
52,9.637617665968334e-07,1.003757293542355e-06,1.0021942076473445e-06
53,9.66176669932241e-07,1.006871647045373e-06,1.0027553361369376e-06
54,9.644813405668428e-07,1.004804622036863e-06,1.0009856002433599e-06
55,9.634229758435031e-07,1.003694361866608e-06,1.0029310245129086e-06
56,9.619250126736097e-07,1.0018867814548555e-06,
57,9.650280721275003e-07,1.0061205227762683e-06,
58,9.64448009681895e-07,1.0012420000946817e-06,
59,9.632572477866973e-07,9.995081710564575e-07,
