step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-critic/score/mean_step
1,-1.0687146186828609,-1.0275540351867676,-1.0456795692443848
2,-1.1500964164733891,-1.1758339405059814,-1.1490588188171391
3,-1.1330599784851074,-1.1294431686401367,-1.0989751815795898
4,-1.133443832397461,-1.083303928375244,-1.0957856178283691
5,-0.9254374504089355,-0.9627182483673096,-0.9264841079711914
6,-1.0349247455596924,-1.0348517894744873,-1.1097619533538818
7,-1.0119893550872805,-0.9797489643096924,-1.1027321815490725
8,-0.596116304397583,-0.6751422882080078,-0.8155243396759033
9,-0.38727641105651855,-0.46160244941711426,-0.6173996925354004
10,-0.29381346702575684,-0.4356224536895752,-0.5992825031280518
11,-0.4458200931549072,-0.5172321796417236,-0.6763534545898438
12,-0.3251962661743164,-0.30788183212280273,-0.4992513656616211
13,-0.42675089836120605,-0.38536691665649414,-0.4429512023925781
14,-0.3684055805206299,-0.3756103515625,-0.4402890205383301
15,-0.3347501754760742,-0.3169424533843994,-0.3484368324279785
16,-0.32090020179748535,-0.30411577224731445,-0.3159816265106201
17,-0.2211318016052246,-0.2559366226196289,-0.21579575538635257
18,-0.18371343612670896,-0.1883406639099121,-0.20070791244506836
19,-0.2553391456604004,-0.2667086124420166,-0.3114583492279053
20,-0.3429982662200928,-0.364396333694458,-0.36965489387512207
21,-0.15563321113586426,-0.1617903709411621,-0.196533203125
22,-0.21509099006652832,-0.231231689453125,-0.21146893501281736
23,-0.25562238693237305,-0.2538902759552002,-0.3036653995513916
24,-0.21039056777954104,-0.2832050323486328,-0.2575814723968506
25,-0.20074868202209473,-0.19504928588867188,-0.2653181552886963
26,-0.19337058067321777,-0.2241227626800537,-0.25127625465393066
27,-0.15369939804077148,-0.22711420059204104,-0.282850980758667
28,-0.22462153434753415,-0.2761063575744629,-0.3118107318878174
29,-0.16527795791625977,-0.14640378952026367,-0.1746199131011963
30,-0.14165377616882324,-0.183260440826416,-0.2034916877746582
31,-0.2255308628082275,-0.25743532180786133,-0.2621176242828369
32,-0.3010520935058594,-0.272672176361084,-0.2942678928375244
33,-0.2015440464019775,-0.22780752182006836,-0.2857651710510254
34,-0.13446903228759766,-0.13066411018371582,-0.1965157985687256
35,-0.13379573822021484,-0.173370361328125,-0.18547677993774417
36,-0.1830575466156006,-0.1733074188232422,-0.18956327438354492
37,-0.09905743598937988,-0.12728357315063477,-0.17075634002685547
38,-0.04854941368103027,-0.06293725967407227,-0.08398938179016113
39,-0.12356948852539062,-0.1730515956878662,-0.20925307273864743
40,-0.0940866470336914,-0.0540006160736084,-0.11617517471313477
41,-0.16052889823913574,-0.23157763481140137,-0.21469902992248535
42,-0.10684537887573242,-0.11594676971435548,-0.14008665084838867
43,-0.08552193641662598,-0.08998847007751465,-0.08902692794799805
44,-0.10857295989990234,-0.11684703826904295,-0.199434757232666
45,-0.1767747402191162,-0.1904301643371582,-0.22478604316711423
46,-0.14148592948913574,-0.1534435749053955,-0.16221046447753906
47,-0.08175230026245117,-0.1115107536315918,-0.12041711807250977
48,-0.12044334411621094,-0.0943753719329834,-0.11146092414855956
49,-0.10734009742736816,-0.14842700958251953,-0.12995457649230957
50,-0.07059288024902344,-0.13866472244262695,-0.12006163597106934
51,0.09225010871887208,0.09652018547058104,0.017377138137817383
52,0.02222585678100586,0.02700066566467285,0.0024013519287109375
53,-0.0014448165893554688,-0.047942399978637695,-0.06983089447021484
54,-0.13342690467834473,-0.15732383728027344,-0.15151691436767578
55,-0.16944456100463867,-0.181225061416626,-0.21198725700378415
56,-0.138810396194458,-0.19022011756896973,-0.2415711879730225
57,0.010309696197509766,-0.0002574920654296875,-0.02199554443359375
58,-0.22254133224487305,-0.23836183547973633,-0.2016005516052246
59,-0.0666353702545166,-0.03647255897521973,-0.10191988945007324
60,-0.19192957878112793,-0.20426058769226071,-0.26076221466064453
61,-0.1689906120300293,-0.22220230102539065,-0.2421412467956543
62,-0.0833899974822998,-0.046526193618774414,-0.1248176097869873
63,-0.14663195610046387,-0.12639546394348145,-0.18198823928833008
64,-0.18541193008422852,-0.14856696128845215,-0.1687624454498291
65,-0.09360623359680176,-0.06289362907409668,-0.10266900062561037
66,-0.0906517505645752,-0.1047964096069336,-0.11576104164123537
67,-0.04587745666503906,-0.08993029594421387,-0.1404867172241211
68,0.03186631202697754,0.03278350830078125,0.0032558441162109375
69,-0.031851768493652344,-0.03460955619812012,-0.045140981674194336
70,-0.025644779205322266,-0.053389787673950195,-0.0671546459197998
71,-0.11951279640197754,-0.09768795967102052,-0.14765453338623047
72,-0.11587262153625488,-0.13065671920776367,-0.15186762809753418
73,-0.00805807113647461,-0.045351505279541016,-0.035100460052490234
74,-0.05035567283630371,-0.112105131149292,-0.10560083389282228
75,-0.03302717208862305,-0.09003996849060059,-0.11930251121520996
76,-0.01307082176208496,-0.05843138694763184,-0.09348750114440918
77,-0.11016225814819336,-0.13588190078735352,-0.15759801864624023
78,-0.17579102516174316,-0.17918992042541504,-0.1445627212524414
79,-0.07220125198364258,-0.12151384353637695,-0.05657505989074707
80,0.025449275970458984,0.01001906394958496,0.007678985595703125
81,0.07721662521362305,0.0233914852142334,0.012633085250854492
82,-0.010129928588867188,-0.08195185661315918,-0.012230873107910156
83,-0.011766910552978516,-0.06218838691711426,-0.11564207077026369
84,0.04718613624572754,0.04567193984985352,0.021306753158569336
85,-0.14501476287841797,-0.2267472743988037,-0.21876907348632812
86,-0.08531737327575684,-0.08966255187988281,-0.09888148307800292
87,-0.06014347076416016,-0.055983543395996094,-0.06344366073608398
88,-0.07487916946411133,-0.06013369560241699,-0.09505271911621094
89,-0.012764215469360352,-0.09969449043273926,-0.07523822784423828
90,-0.009154558181762695,-0.03455042839050293,-0.007593154907226563
91,0.029031753540039062,0.007435083389282227,-0.011047840118408205
92,-0.15300869941711426,-0.1716134548187256,-0.2155170440673828
93,0.04252862930297851,-0.0023086071014404297,0.021566390991210938
94,-0.09253621101379396,-0.15546131134033203,-0.2091808319091797
95,0.106689453125,0.01956963539123535,0.02411794662475586
96,0.12569975852966309,0.07257771492004395,0.05986809730529785
97,-0.001881122589111328,-0.10350346565246582,-0.05758047103881836
98,0.05869317054748535,0.07309770584106445,0.02981090545654297
99,-0.09714436531066896,-0.06971073150634766,-0.0906529426574707
