step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-critic/advantages/mean_step
1,-0.11854933202266692,-0.11261462420225143,-0.12224073708057404
2,-0.10952525585889816,-0.1171986684203148,-0.10913302004337312
3,-0.1088770180940628,-0.11474809050559998,-0.09775809943675996
4,-0.13109591603279114,-0.12116441130638124,-0.11922147870063782
5,-0.13677436113357544,-0.1212761327624321,-0.12958671152591705
6,-0.11625998467206956,-0.12611033022403717,-0.11792940646409988
7,-0.13149772584438324,-0.12923698127269745,-0.1229461207985878
8,-0.16402673721313477,-0.1694101840257645,-0.16066408157348633
9,-0.16856558620929718,-0.18649111688137057,-0.16450688242912292
10,-0.15970873832702637,-0.18054743111133575,-0.15225432813167572
11,-0.1796436905860901,-0.18189628422260284,-0.1894015222787857
12,-0.15325400233268738,-0.16768912971019745,-0.16801100969314575
13,-0.10548324137926102,-0.15243510901927948,-0.16706952452659607
14,-0.029081381857395172,-0.1496528685092926,-0.16686078906059265
15,-0.024567171931266785,-0.07166843116283417,-0.17393817007541656
16,-0.03298399969935417,-0.019008826464414597,-0.1182347536087036
17,-0.04903392493724823,-0.05670451745390892,-0.16232247650623322
18,-0.04368348047137261,-0.04064169526100159,-0.1338619738817215
19,-0.03385167196393013,-0.024512961506843567,-0.13308990001678467
20,-0.02557524666190147,-0.03981172665953636,-0.1198931410908699
21,-0.0379633791744709,-0.057068612426519394,-0.10147225856781006
22,-0.022861696779727936,-0.05896281078457832,-0.0815528854727745
23,-0.04962735250592232,-0.05497712641954422,-0.05382344499230385
24,-0.0373917892575264,-0.07169679552316666,-0.0675472617149353
25,-0.050071097910404205,-0.04570123553276062,-0.07783909142017365
26,-0.04237958788871765,-0.07084708660840988,-0.07693547010421753
27,-0.0331852100789547,-0.04826383665204048,-0.07165929675102234
28,-0.04754252731800079,-0.048981789499521255,-0.0865640640258789
29,-0.08413976430892944,-0.06029562279582024,-0.08400894701480865
30,-0.06347355246543884,-0.08779164403676987,-0.0816936045885086
31,-0.05802861601114273,-0.06624509394168854,-0.09487748146057128
32,-0.07694918662309647,-0.07135777175426483,-0.10731612890958786
33,-0.054520342499017715,-0.06565441191196442,-0.0785437524318695
34,-0.04469846934080124,-0.07764970511198044,-0.04802864044904709
35,-0.052951741963624954,-0.06491874903440475,-0.07966475188732147
36,-0.08371938019990921,-0.09779008477926254,-0.1178865283727646
37,-0.05735365301370621,-0.06999043375253677,-0.06015397608280182
38,-0.054101403802633286,-0.03392232581973076,-0.06809046119451523
39,-0.0702047124505043,-0.07576429098844528,-0.08703192323446274
40,-0.06769924610853195,-0.059409767389297485,-0.0938929244875908
41,-0.06598122417926788,-0.04453906789422035,-0.06454171240329742
42,-0.07130349427461624,-0.07526170462369919,-0.09070979058742525
43,-0.09564714133739471,-0.08408024907112122,-0.07012291997671127
44,-0.07720723003149033,-0.05995837599039078,-0.09361683577299118
45,-0.07526441663503647,-0.0718718096613884,-0.06610199809074402
46,-0.0422988086938858,-0.06005142256617546,-0.05707851797342301
47,-0.06787443906068802,-0.06272804737091064,-0.07047650963068008
48,-0.05930715426802635,-0.04789666086435318,-0.07729535549879074
49,-0.06007365509867668,-0.06315676122903824,-0.07726309448480606
50,-0.05504399910569191,-0.044824376702308655,-0.057453740388154984
51,-0.07294268906116486,-0.09339489042758942,-0.09184666723012924
52,-0.07450977712869644,-0.060512475669384,-0.07483890652656555
53,-0.05602685734629631,-0.06872764229774475,-0.08591576665639877
54,-0.06361903250217438,-0.051634155213832855,-0.07037996500730515
55,-0.06982064992189407,-0.0453609935939312,-0.0904732421040535
56,-0.06941442936658859,-0.06087786704301834,-0.07520760595798492
57,-0.06632785499095917,-0.07880973070859909,-0.08136321604251862
58,-0.060148756951093674,-0.045836467295885086,-0.06335390359163284
59,-0.048063408583402634,-0.0498230941593647,-0.08831224590539932
60,-0.07581742852926254,-0.04292583465576172,-0.07239656895399094
61,-0.05644134059548378,-0.036862362176179886,-0.04614812880754471
62,-0.06064689531922341,-0.07208286970853806,-0.07364664226770401
63,-0.07467968016862869,-0.07371864467859268,-0.07113295048475266
64,-0.05583953857421875,-0.057887908071279526,-0.058166567236185074
65,-0.05236612632870674,-0.04929344728589058,-0.04886936396360397
66,-0.06341628730297089,-0.06548020988702774,-0.06512905657291412
67,-0.06497013568878174,-0.05493590608239174,-0.07682813704013824
68,-0.07178456336259842,-0.08322057873010635,-0.06787089258432388
69,-0.058153875172138214,-0.04682356119155884,-0.07170132547616959
70,-0.054279875010252,-0.04925590008497238,-0.06185803934931755
71,-0.03916861116886139,-0.03835592791438103,-0.051828183233737946
72,-0.06131598353385925,-0.0536067932844162,-0.04694007709622383
73,-0.06459556519985199,-0.05244412645697594,-0.05683460831642151
74,-0.04220815375447273,-0.058808475732803345,-0.03478933498263359
75,-0.05437692627310753,-0.07343665510416031,-0.06776326894760132
76,-0.020510371774435043,-0.045090578496456146,-0.06072669476270676
77,-0.05523454397916794,-0.07674684375524521,-0.06645289063453674
78,-0.05569688603281975,-0.04673467576503754,-0.06105589121580124
79,-0.04593684896826744,-0.06437245011329651,-0.0493876188993454
80,-0.06507064402103424,-0.07699854671955109,-0.05108307674527168
81,-0.031743716448545456,-0.06001075357198715,-0.06257779151201248
82,-0.05205400660634041,-0.06316734850406647,-0.03747367113828659
83,-0.047994215041399,-0.0641486868262291,-0.059952493757009506
84,-0.03949567303061485,-0.04273426905274391,-0.05236420780420303
85,-0.0633876621723175,-0.07413893193006516,-0.06917400658130646
86,-0.03865392506122589,-0.0488407239317894,-0.0716765895485878
87,-0.041794221848249435,-0.05995796248316765,-0.04656314104795456
88,-0.057024795562028885,-0.05549737811088562,-0.05117198824882507
89,-0.04810722917318344,-0.06081004440784454,-0.05230750888586044
90,-0.04047568142414093,-0.05470727384090424,-0.0684380829334259
91,-0.05689220875501633,-0.06953667849302292,-0.06789565831422806
92,-0.04818866774439812,-0.064283087849617,-0.05749715492129326
93,-0.0470251739025116,-0.08218327164649963,-0.055914077907800674
94,-0.02120271883904934,-0.07638809084892273,-0.06653962284326553
95,-0.03821618482470512,-0.06894662976264954,-0.07329057157039642
96,-0.05791107565164566,-0.09113576263189316,-0.06990306824445724
97,-0.03281664475798607,-0.07246940582990646,-0.04735134169459343
98,-0.0415835976600647,-0.06028929352760315,-0.050138212740421295
99,-0.06764338165521622,-0.08394747972488403,-0.07784203439950943
100,-0.05043664947152138,-0.08139611780643463,-0.06054658442735672
