step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-response_length/mean_step
1,6194.3291015625,6157.7734375,6210.396484375
2,6397.458984375,6458.234375,6402.5
3,6358.5966796875,6419.8671875,6312.3740234375
4,6242.01953125,6140.1455078125,6134.03125
5,5664.443359375,5795.8095703125,5797.1279296875
6,6133.19921875,6163.23828125,6207.7294921875
7,6097.2744140625,6080.685546875,6319.498046875
8,5097.4482421875,5265.357421875,5590.1220703125
9,4527.7607421875,4633.8408203125,5102.029296875
10,4150.025390625,4327.5185546875,5015.4072265625
11,3884.3447265625,4203.5068359375,5291.384765625
12,3062.7978515625,3298.5908203125,4474.06640625
13,2315.3017578125,2974.9423828125,4108.744140625
14,1608.578125,2367.80078125,3453.3359375
15,1470.333984375,1853.2978515625,3176.0380859375
16,1447.357421875,1648.3828125,2789.1826171875
17,1521.0009765625,1552.9033203125,2592.1279296875
18,1529.740234375,1399.7978515625,2320.93359375
19,1734.84765625,1580.5888671875,2370.0244140625
20,1796.873046875,1628.734375,2337.7275390625
21,1723.205078125,1594.5185546875,2058.7099609375
22,1768.11328125,1618.1123046875,1951.169921875
23,1876.1962890625,1712.26953125,2115.87890625
24,1837.46875,1700.8583984375,1944.609375
25,1959.9013671875,1785.484375,2086.623046875
26,2038.34765625,1905.525390625,2054.21484375
27,2210.919921875,1963.87109375,2196.6533203125
28,2103.697265625,1846.765625,2099.3447265625
29,2107.8154296875,1910.078125,2053.1884765625
30,2195.396484375,2056.8427734375,2128.6064453125
31,2203.681640625,2042.8818359375,2100.625
32,2273.9931640625,2155.9033203125,2242.4248046875
33,2307.107421875,2202.6083984375,2194.9462890625
34,2239.0283203125,2162.7021484375,2139.3564453125
35,2293.111328125,2066.21875,2199.509765625
36,2550.9462890625,2332.9521484375,2298.3740234375
37,2290.3154296875,2140.4638671875,2106.79296875
38,2267.90234375,1980.033203125,2013.6416015625
39,2463.080078125,2172.8623046875,2218.4169921875
40,2450.7919921875,2185.0830078125,2226.453125
41,2485.9267578125,2183.166015625,2228.169921875
42,2494.1044921875,2181.455078125,2270.29296875
43,2616.625,2300.666015625,2332.572265625
44,2455.9716796875,2153.9384765625,2309.875
45,2614.228515625,2345.2958984375,2469.8115234375
46,2369.9931640625,2089.2275390625,2244.6318359375
47,2416.37109375,2162.40234375,2358.21484375
48,2402.6220703125,2081.533203125,2309.7626953125
49,2452.28515625,2110.7958984375,2353.2890625
50,2367.9140625,2078.9951171875,2257.6708984375
51,2379.3642578125,2102.333984375,2362.4970703125
52,2416.04296875,2096.3046875,2400.32421875
53,2345.478515625,2078.083984375,2325.85546875
54,2581.8310546875,2264.728515625,2458.5146484375
55,2456.84375,2140.130859375,2323.5517578125
56,2449.80859375,2191.734375,2364.98828125
57,2327.03125,2103.369140625,2319.6689453125
58,2660.048828125,2348.7001953125,2567.1005859375
59,2569.10546875,2309.109375,2494.6142578125
60,2532.0859375,2256.24609375,2483.3046875
61,2608.2431640625,2306.8505859375,2485.896484375
62,2327.6298828125,2131.650390625,2239.3046875
63,2523.439453125,2272.583984375,2415.1826171875
64,2334.3740234375,2078.875,2268.4384765625
65,2409.7470703125,2238.203125,2336.3037109375
66,2393.70703125,2248.7919921875,2322.21875
67,2369.884765625,2296.6103515625,2350.1572265625
68,2292.6435546875,2215.8310546875,2283.40625
69,2381.6826171875,2279.5908203125,2352.0166015625
70,2326.2880859375,2220.65625,2333.71484375
71,2338.8115234375,2248.087890625,2319.6240234375
72,2359.6552734375,2319.283203125,2342.998046875
73,2303.1220703125,2199.3212890625,2213.01171875
74,2396.830078125,2333.44921875,2372.912109375
75,2325.806640625,2357.7578125,2342.849609375
76,2293.029296875,2201.716796875,2206.4384765625
77,2475.044921875,2402.2568359375,2490.0625
78,2395.51171875,2291.345703125,2326.2412109375
79,2481.14453125,2349.724609375,2393.9287109375
80,2380.736328125,2266.271484375,2316.408203125
81,2496.3837890625,2378.8056640625,2474.9296875
82,2446.7587890625,2323.421875,2331.486328125
83,2395.2900390625,2313.150390625,2402.6708984375
84,2431.49609375,2246.1845703125,2287.6591796875
85,2620.21875,2526.205078125,2593.59765625
86,2482.1484375,2284.234375,2377.1455078125
87,2589.7294921875,2377.8193359375,2411.427734375
88,2491.53515625,2324.6357421875,2362.8212890625
89,2705.0712890625,2464.533203125,2528.525390625
90,2671.1318359375,2401.2275390625,2476.3642578125
91,2555.26171875,2303.169921875,2392.62109375
92,2754.2587890625,2525.23828125,2653.5078125
93,2483.5693359375,2297.564453125,2365.041015625
94,2598.634765625,2409.259765625,2431.0947265625
95,2428.1826171875,2243.6357421875,2305.884765625
96,2675.9755859375,2473.7861328125,2550.83984375
97,2555.798828125,2363.380859375,2409.31640625
98,2504.6171875,2346.5556640625,2403.73046875
99,2671.994140625,2496.3349609375,2538.3544921875
100,2534.48828125,2339.033203125,2417.814453125
101,2683.369140625,2479.7314453125,2471.0537109375
102,2631.4306640625,2438.10546875,2427.3310546875
103,2708.3154296875,2442.8525390625,2511.48828125
104,2492.4912109375,2200.576171875,2239.4033203125
105,2491.2861328125,2135.40625,2187.990234375
106,2837.1123046875,2604.080078125,2576.958984375
107,2908.51171875,2591.447265625,2575.669921875
108,2781.9482421875,2450.0927734375,2520.23046875
109,2843.7451171875,2543.8564453125,2527.732421875
110,2894.9208984375,2585.7548828125,2552.1708984375
111,2763.626953125,2548.080078125,2554.990234375
112,2637.8837890625,2317.8564453125,2382.138671875
113,2844.771484375,2668.89453125,2587.416015625
114,2801.2001953125,2556.533203125,2464.2978515625
115,2779.59765625,2488.8046875,2396.26953125
116,2903.2109375,2752.869140625,2678.7041015625
117,2761.8994140625,2571.390625,2449.4912109375
118,2795.8056640625,2611.6611328125,2523.5224609375
119,2979.01171875,2903.701171875,2736.2158203125
120,2897.05859375,2673.8798828125,2629.90625
121,2820.140625,2681.56640625,2564.1259765625
122,2827.5751953125,2541.9306640625,2466.5380859375
123,2745.708984375,2472.5654296875,2426.744140625
124,2947.890625,2776.6728515625,2721.0810546875
125,2762.2998046875,2595.6962890625,2570.845703125
126,2790.57421875,2619.7705078125,2594.697265625
127,2583.7119140625,2390.9326171875,2357.732421875
128,2585.2900390625,2455.857421875,2383.890625
129,2698.2294921875,2516.705078125,2444.4853515625
130,2977.0126953125,2735.1044921875,2780.65234375
131,2782.8994140625,2601.9833984375,2571.490234375
132,2811.142578125,2558.203125,2544.1640625
133,2793.10546875,2588.798828125,2550.1640625
134,2675.3681640625,2505.3583984375,2521.0654296875
135,2829.34765625,2682.390625,2705.0224609375
136,2776.5361328125,2646.4404296875,2664.5947265625
137,2658.6962890625,2559.8388671875,2569.927734375
138,2396.7822265625,2341.3134765625,2336.7431640625
139,2473.306640625,2503.9833984375,2529.4072265625
140,2520.72265625,2643.322265625,2609.7109375
141,2452.033203125,2531.0234375,2539.2587890625
142,2346.111328125,2464.0185546875,2528.958984375
143,2421.431640625,2564.2705078125,2525.7490234375
144,2358.28125,2489.2841796875,2472.298828125
145,2288.96875,2467.615234375,2423.1630859375
146,2494.318359375,2650.6630859375,2601.927734375
147,2498.4140625,2748.1728515625,2596.4384765625
148,2457.671875,2600.4638671875,2489.541015625
149,2483.9638671875,2591.626953125,2490.15234375
150,2388.798828125,2558.7216796875,2416.1572265625
151,2585.2578125,2802.4755859375,2593.759765625
152,2436.216796875,2502.150390625,2372.4453125
153,2563.6142578125,2721.646484375,2593.2509765625
154,2542.2939453125,2702.7431640625,2521.8408203125
155,2486.64453125,2600.5771484375,2495.41015625
156,2522.703125,2601.80078125,2524.0380859375
157,2544.9892578125,2674.15234375,2642.2724609375
158,2566.6455078125,2620.642578125,2542.8525390625
159,2462.4921875,2506.7568359375,2423.1875
160,2527.83984375,2612.9248046875,2520.8251953125
161,2555.0947265625,2660.6572265625,2551.525390625
162,2439.7099609375,2502.7900390625,2496.4658203125
163,2497.1884765625,2520.6064453125,2495.4609375
164,2488.30078125,2546.0625,2484.71484375
165,2338.3349609375,2433.1279296875,2393.1767578125
166,2464.23828125,2591.8017578125,2507.009765625
167,2524.6494140625,2571.298828125,2609.1591796875
168,2596.060546875,2619.7705078125,2642.166015625
169,2466.6083984375,2535.6826171875,2503.14453125
