step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/c_t_step
1,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
2,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
3,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
4,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
5,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
6,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
7,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
8,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
9,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
10,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
11,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
12,5.9399999999999994e-05,7.42e-05,0.00025
13,5.9399999999999994e-05,7.42e-05,0.00025
14,5.9399999999999994e-05,7.42e-05,0.00025
15,5.9399999999999994e-05,7.42e-05,0.00025
16,5.9399999999999994e-05,7.42e-05,0.00025
17,5.9399999999999994e-05,7.42e-05,0.00025
18,5.9399999999999994e-05,7.42e-05,0.00025
19,5.9399999999999994e-05,7.42e-05,0.00025
20,5.9399999999999994e-05,7.42e-05,0.00025
21,5.9399999999999994e-05,7.42e-05,0.00025
22,5.9399999999999994e-05,7.42e-05,0.00025
23,5.9399999999999994e-05,7.42e-05,0.00025
24,5.9399999999999994e-05,7.42e-05,0.00025
25,5.9399999999999994e-05,7.42e-05,0.00025
26,5.9399999999999994e-05,7.42e-05,0.00025
27,5.9399999999999994e-05,7.42e-05,0.00025
28,5.9399999999999994e-05,7.42e-05,0.00025
29,5.9399999999999994e-05,7.42e-05,0.00025
30,5.9399999999999994e-05,7.42e-05,0.00025
31,5.9399999999999994e-05,7.42e-05,0.00025
32,5.9399999999999994e-05,7.42e-05,0.00025
33,5.9399999999999994e-05,7.42e-05,0.00025
34,5.9399999999999994e-05,7.42e-05,0.00025
35,5.9399999999999994e-05,7.42e-05,0.00025
36,5.9399999999999994e-05,7.42e-05,0.00025
37,5.9399999999999994e-05,7.42e-05,0.00025
38,5.9399999999999994e-05,7.42e-05,0.00025
39,5.9399999999999994e-05,7.42e-05,0.00025
40,5.9399999999999994e-05,7.42e-05,0.00025
41,5.9399999999999994e-05,7.42e-05,0.00025
42,5.9399999999999994e-05,7.42e-05,0.00025
43,5.9399999999999994e-05,7.42e-05,0.00025
44,5.9399999999999994e-05,7.42e-05,0.00025
45,5.9399999999999994e-05,7.42e-05,0.00025
46,5.9399999999999994e-05,7.42e-05,0.00025
47,5.9399999999999994e-05,7.42e-05,0.00025
48,5.9399999999999994e-05,7.42e-05,0.00025
49,5.9399999999999994e-05,7.42e-05,0.00025
50,5.9399999999999994e-05,7.42e-05,0.00025
51,5.9399999999999994e-05,7.42e-05,0.00025
52,5.9399999999999994e-05,7.42e-05,0.00025
53,5.9399999999999994e-05,7.42e-05,0.00025
54,5.9399999999999994e-05,7.42e-05,0.00025
55,5.9399999999999994e-05,7.42e-05,0.00025
56,5.9399999999999994e-05,7.42e-05,0.00025
57,5.9399999999999994e-05,7.42e-05,0.00025
58,5.9399999999999994e-05,7.42e-05,0.00025
59,5.9399999999999994e-05,7.42e-05,0.00025
60,5.9399999999999994e-05,7.42e-05,0.00025
