step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/alpha_t_step
1,2.9699999999999997e-07,2.9699999999999997e-07,1.2499999999999999e-06
2,2.9699999999999997e-07,2.9699999999999997e-07,1.2499999999999999e-06
3,5.939999999999999e-07,5.939999999999999e-07,2.4999999999999998e-06
4,8.909999999999998e-07,8.909999999999998e-07,3.7499999999999997e-06
5,1.1879999999999999e-06,1.1879999999999999e-06,4.9999999999999996e-06
6,1.4849999999999998e-06,1.4849999999999998e-06,6.2499999999999995e-06
7,1.7819999999999996e-06,1.7819999999999996e-06,7.499999999999999e-06
8,2.079e-06,2.079e-06,8.75e-06
9,2.3759999999999998e-06,2.3759999999999998e-06,1e-05
10,2.673e-06,2.673e-06,1.125e-05
11,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
12,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
13,2.9699999999999995e-06,3.044e-06,1.174563692364359e-05
14,2.9700000000000004e-06,3.118e-06,1.099127384728718e-05
15,2.9699999999999995e-06,3.192e-06,1.056427863594214e-05
16,2.9699999999999995e-06,3.2659999999999993e-06,8.5e-06
17,2.9699999999999995e-06,2.4124999999999998e-06,7.499999999999999e-06
18,2.9699999999999995e-06,3.414e-06,6.5e-06
19,2.9699999999999995e-06,3.488e-06,5.500000000000001e-06
20,2.9699999999999995e-06,3.562e-06,4.499999999999999e-06
21,2.9699999999999995e-06,1.9664999999999997e-06,3.4999999999999995e-06
22,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
23,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
24,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
25,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
26,2.9699999999999995e-06,1.8549999999999998e-06,2.6309364601441576e-06
27,2.9699999999999995e-06,3.7099999999999996e-06,2.6309364601441576e-06
28,2.9699999999999995e-06,3.7099999999999996e-06,2.6309364601441576e-06
29,2.9699999999999995e-06,1.8549999999999998e-06,2.969368544646434e-06
30,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
31,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
32,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
33,2.9699999999999995e-06,3.7099999999999996e-06,4.312790679740314e-06
34,2.9699999999999995e-06,1.8549999999999998e-06,5.2443250457061655e-06
35,2.9699999999999995e-06,1.8549999999999998e-06,5.2443250457061655e-06
36,2.9699999999999995e-06,1.8549999999999998e-06,5.3708905980776895e-06
37,2.9699999999999995e-06,3.7099999999999996e-06,5.3708905980776895e-06
38,2.9699999999999995e-06,1.8549999999999998e-06,5.3708905980776895e-06
39,2.9699999999999995e-06,3.7099999999999996e-06,3.500908982632543e-06
40,2.9699999999999995e-06,1.8549999999999998e-06,4.585373267188382e-06
41,2.9699999999999995e-06,3.7099999999999996e-06,4.7315910742064035e-06
42,2.9699999999999995e-06,1.8549999999999998e-06,5.481134544754125e-06
43,2.9699999999999995e-06,1.8549999999999998e-06,5.481134544754125e-06
44,2.9699999999999995e-06,3.7099999999999996e-06,4.126465129181415e-06
45,2.9699999999999995e-06,1.8549999999999998e-06,2.9929847151187804e-06
46,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
47,2.9699999999999995e-06,3.7099999999999996e-06,2.52350835016901e-06
48,2.9699999999999995e-06,1.8549999999999998e-06,2.52350835016901e-06
49,2.9699999999999995e-06,1.8549999999999998e-06,2.52350835016901e-06
50,2.9699999999999995e-06,1.8549999999999998e-06,2.52350835016901e-06
51,2.9699999999999995e-06,3.7099999999999996e-06,2.52350835016901e-06
52,2.9699999999999995e-06,3.7099999999999996e-06,2.762169819068702e-06
53,2.9699999999999995e-06,1.8549999999999998e-06,3.267148918380452e-06
54,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
