step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_A1_dot_A2_step
1,0.00014912667442559306,0.00018322339731863152,4.546624741656104e-05
2,0.00013501211268796177,2.7775899445932655e-05,-2.9045959188415924e-05
3,-7.321564630860361e-07,9.950172950130337e-07,9.36513434608803e-05
4,-3.950142145401007e-06,4.694444844907248e-06,1.955692515475827e-05
5,2.203990167987591e-05,8.238091468514312e-05,2.4516719062425617e-05
6,5.38536597869729e-05,6.410950684063621e-05,-1.8109043149885587e-05
7,0.00010166708076864762,0.00011635160359873832,-3.793444678416792e-05
8,0.00013506703035935292,8.5426790086487e-05,-2.6533817280596313e-05
9,-1.4269753787923736e-05,8.685961738479519e-05,1.2684048886185863e-05
10,0.00016069692481672965,-5.34592352901178e-05,-0.00012576153162558376
11,4.365897869068307e-05,3.441418179594289e-05,4.121374043270984e-05
12,4.749769470682922e-05,7.105170088145729e-05,0.00011155234654153286
13,1.5169804819883914e-05,0.00012333402040425948,0.0001015306686485832
14,-1.7353831481705873e-05,0.00011085279345347042,-3.548726011322757e-05
15,3.641011893402815e-05,2.7080057025729792e-05,0.0003142859670082752
16,-8.19961712472928e-05,0.00010287828255622684,3.6561388637995894e-06
17,0.000192043286568623,-0.0002076881424112764,4.387302314694034e-05
18,0.000146866112821937,0.00013762336695537426,6.991312114073468e-06
19,2.1228762704013045e-05,2.9569819743959288e-05,9.072906595637432e-05
20,0.00019989129533015343,1.263015769504634e-05,-0.0001002075305139477
21,6.383129929706e-05,-0.0001478964798548652,2.600610832634143e-05
22,0.0001329090004634331,6.842717705980702e-05,2.7915798500109708e-05
23,0.00012573823405952488,-1.8783026259081955e-05,9.406711015913423e-05
24,0.00016539756811038931,0.00017905885865877769,-0.0001058213863503996
25,7.207406163300853e-05,-0.00012774884489299252,3.833187708479882e-05
26,-0.00014093867658371374,-6.138077653181145e-05,7.361832126517695e-05
27,2.80746213126745e-05,0.0001224645589972352,-9.991920540392267e-05
28,-8.441897154854672e-05,8.46517280934935e-05,-2.049539171280841e-05
29,-0.00013584705811074018,-4.0871667176108145e-05,9.20097658338248e-05
30,-2.5366030492140995e-05,0.0001491115305956329,2.489000795230175e-05
31,-5.118107644462118e-05,1.9453211315130465e-05,4.644025427341886e-05
32,-5.938889873860407e-05,0.00010114842347688908,-2.378978658721753e-05
33,4.576539109295536e-05,5.259706016001415e-05,0.00030319173976964996
34,-8.544181932666686e-06,-5.498454456729376e-05,0.00021044069964748903
35,2.658555144097526e-05,-4.947695786141602e-05,-0.00032073377844441046
36,-0.0001618905161461051,-3.641534492435084e-05,8.910272164637056e-05
37,1.689203835125912e-05,0.00027564669951850155,-1.401434839265302e-05
38,0.00023151366911867567,-3.5654948685759895e-05,-0.00012896626240875743
39,-8.644802370656262e-05,5.150392894577237e-05,4.7991199998951125e-05
40,9.317473351621192e-05,-0.00014301009973013726,7.537715092625292e-05
41,8.473777646514847e-06,9.773672283728725e-05,8.649337244917031e-05
42,0.0001610903024567214,-7.067787403564497e-05,0.0001645400469816537
43,-7.323127689302105e-05,-1.5042381100369596e-05,-0.00012231865907985902
44,-5.730957704537535e-05,1.8312702411706595e-05,5.651475239318796e-05
45,-2.5057332901421115e-05,-3.107006293121468e-05,4.1214960655338646e-05
46,-1.2825985678913171e-05,6.305287367039191e-05,1.4291839327007995e-05
47,0.00012385865678602934,7.61497708392461e-05,-6.629990528695494e-08
48,-3.774809700582071e-05,-0.00021097900454613075,-0.00015806273447465912
49,-4.464038696755138e-05,-6.279411211159587e-05,-2.588409924876305e-05
50,0.00011608187325795748,-5.485839197078005e-05,-3.468092970980169e-05
51,-0.00015492428710910358,0.0002282383342306775,-0.00019417833783884176
