step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step
1,7.279855281772347e-07,7.556164724392737e-07,7.145121407336873e-07
2,7.238945988529e-07,6.645503029439647e-07,6.780368255452069e-07
3,7.235518004786812e-07,7.151291850076761e-07,7.251347886750018e-07
4,6.944222393485226e-07,6.877411201748082e-07,7.248934622391453e-07
5,7.424955860898528e-07,8.054936200257733e-07,7.446451659794744e-07
6,6.949953214672224e-07,7.117579093561569e-07,7.154234734820697e-07
7,7.396421991595466e-07,7.320649127419413e-07,7.345799349943387e-07
8,7.796487303547052e-07,7.706335922487811e-07,8.864615025119755e-07
9,7.864198490204238e-07,8.158500387635497e-07,9.7901571129811e-07
10,8.026405808156413e-07,7.742958703530073e-07,9.46175666097552e-07
11,7.348559533768106e-07,7.213423036214791e-07,9.906279286530103e-07
12,7.454204918785e-07,7.638545558797638e-07,1.06553021345441e-06
13,7.264339647465621e-07,7.694789398525211e-07,1.092741392657297e-06
14,7.246549380311591e-07,7.806363569293231e-07,1.0840713831349046e-06
15,7.615513423108376e-07,7.8604625731301e-07,1.2171856951959459e-06
16,7.57156670477976e-07,8.140547024292469e-07,1.1823997120343124e-06
17,9.268354826272533e-07,8.879924186270926e-07,1.1180509367899722e-06
18,9.127515281845035e-07,9.248066348176244e-07,1.1222522211693823e-06
19,8.429688844151677e-07,8.813068239464729e-07,1.0461646542802418e-06
20,9.52423633889286e-07,9.316063573340749e-07,8.932237755782042e-07
21,9.473878290407198e-07,9.25059657110626e-07,1.009114165030347e-06
22,9.999241228806955e-07,9.76858034986193e-07,1.039224428941401e-06
23,9.889274688242368e-07,9.678232927757605e-07,1.0588120980229669e-06
24,1.0342225801922436e-06,9.800206187719509e-07,1.0344229977394215e-06
25,1.0186129009777186e-06,9.83735621918258e-07,9.569696578516788e-07
26,9.810386523406555e-07,9.67781129433815e-07,1.0228468513386389e-06
27,9.994775070930258e-07,9.399574864074075e-07,9.773968583246628e-07
28,9.973389597016124e-07,9.979486426892318e-07,9.877637128136664e-07
29,1.0118121843935929e-06,9.964437068184111e-07,1.049671272587572e-06
30,1.0551620699629261e-06,1.0653855838820771e-06,1.008962092553007e-06
31,9.626381872692856e-07,9.60770123560762e-07,9.563303282143476e-07
32,9.830769950173505e-07,9.91694130971825e-07,9.224899188944419e-07
33,1.0734459931936722e-06,9.958182644164218e-07,1.0532174213179742e-06
34,1.0839932917079536e-06,1.1294729598206157e-06,1.0702200260728594e-06
35,1.035509775984379e-06,1.0611882730653658e-06,9.832581019920394e-07
36,1.0337829288749241e-06,1.0726272199944267e-06,9.938899554002557e-07
