step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_ctrl_step
1,0.060793695122476,0.06477538479321687,0.04271033075644433
2,0.06600252557368794,0.050747185289947296,0.04271033075644433
3,0.06600252557368794,0.03568734641417433,0.04572377993576392
4,0.06600252557368794,0.025821242569812355,0.035181371954126975
5,0.049614615654655546,0.029189204555986142,0.028406008877219547
6,0.04444596859885555,0.031508507639715806,0.028406008877219547
7,0.04766388131272418,0.041573680189108314,0.028406008877219547
8,0.053371223352546085,0.04175543718240822,0.028406008877219547
9,0.053371223352546085,0.040663520017748825,0.021005400734024016
10,0.060003678947365593,0.040663520017748825,0.021005400734024016
11,0.0489856158895601,0.03415292435618513,0.018291062591314917
12,0.05,0.05,0.019304997459995844
13,0.05,0.05,0.01982547694574356
14,0.05,0.05,0.01982547694574356
15,0.05,0.05,0.024190381812561872
16,0.05,0.05,0.01
17,0.05,0.025,0.01
18,0.05,0.05,0.01
19,0.05,0.05,0.01
20,0.05,0.05,0.01
21,0.05,0.025,0.01
22,0.05,0.05,0.01
23,0.05,0.025,0.01
24,0.05,0.05,0.01
25,0.05,0.025,0.01
26,0.05,0.025,0.01052374584057663
27,0.05,0.05,0.01052374584057663
28,0.05,0.05,0.01052374584057663
29,0.05,0.025,0.011877474178585735
30,0.05,0.05,0.01
31,0.05,0.05,0.01
32,0.05,0.05,0.01
33,0.05,0.05,0.017251162718961256
34,0.05,0.025,0.020977300182824662
35,0.05,0.025,0.020977300182824662
36,0.05,0.025,0.02148356239231076
37,0.05,0.05,0.02148356239231076
38,0.05,0.025,0.02148356239231076
39,0.05,0.05,0.014003635930530172
40,0.05,0.025,0.01834149306875353
41,0.05,0.05,0.018926364296825617
42,0.05,0.025,0.0219245381790165
43,0.05,0.025,0.0219245381790165
44,0.05,0.05,0.01650586051672566
45,0.05,0.025,0.01197193886047512
46,0.05,0.05,0.01
47,0.05,0.05,0.01009403340067604
48,0.05,0.025,0.01009403340067604
49,0.05,0.025,0.01009403340067604
50,0.05,0.025,0.01009403340067604
51,0.05,0.05,0.01009403340067604
52,0.05,0.05,0.011048679276274807
53,0.05,0.025,0.013068595673521808
54,0.05,0.05,0.01
55,0.05,0.05,0.01
56,0.05,0.05,0.01
57,0.05,0.025,0.01
58,0.05,0.05,0.01
59,0.05,0.05,0.01
60,0.05,0.025,0.01
61,0.05,0.025,0.0103465420829829
62,0.05,0.05,0.0103465420829829
63,0.05,0.05,0.010378450196168612
64,0.05,0.025,0.010378450196168612
65,0.05,0.025,0.01
66,0.05,0.05,0.01
67,0.05,0.025,0.01
68,0.05,0.025,0.01
69,0.05,0.05,0.01
70,0.05,0.05,0.01
71,0.05,0.05,0.01025175834027544
72,0.05,0.025,0.01025175834027544
73,0.05,0.05,0.01279223728402915
74,0.05,0.05,0.01279223728402915
75,0.05,0.05,0.01333772652489922
76,0.05,0.05,0.01333772652489922
77,0.05,0.025,0.01333772652489922
78,0.05,0.025,0.015560900440978251
79,0.05,0.05,0.01
80,0.05,0.025,0.01
81,0.05,0.05,0.01
82,0.05,0.05,0.01
83,0.05,0.05,0.01
84,0.05,0.025,0.01
85,0.05,0.05,0.01
86,0.05,0.05,0.012777517167641094
87,0.05,0.05,0.01350262863369752
88,0.05,0.025,0.01632810905002974
89,0.05,0.05,0.01632810905002974
90,0.05,0.025,0.01009129230105476
91,0.05,0.025,0.010379809072373625
92,0.05,0.05,0.014365586625398157
93,0.05,0.025,0.014864451596773765
94,0.05,0.05,0.014864451596773765
95,0.05,0.05,0.014864451596773765
96,0.05,0.05,0.014864451596773765
97,0.05,,0.014864451596773765
98,0.05,0.025,0.014864451596773765
99,0.05,0.05,0.018613299727776
100,0.05,0.025,0.019000047746679863
101,0.05,0.025,0.019000047746679863
102,0.05,0.025,0.019000047746679863
103,0.05,0.05,0.019000047746679863
104,0.05,0.05,0.019000047746679863
105,0.05,0.05,0.019000047746679863
106,0.05,0.05,0.019000047746679863
107,0.05,0.05,0.019000047746679863
108,0.05,0.05,0.013613549950232604
109,0.05,0.05,0.016306798848456237
110,0.05,0.025,0.02027763844100846
111,0.05,0.05,0.01673900021883415
112,0.05,0.025,0.018508319329921304
113,0.05,0.025,0.01
