step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_ema_step
1,7.279855281772347e-07,7.556164724392737e-07,7.145121407336873e-07
2,7.277809817110181e-07,7.510631639645083e-07,7.126883749742633e-07
3,7.275695226494011e-07,7.492664650166665e-07,7.133106956593001e-07
4,7.259121584843572e-07,7.461901977745737e-07,7.138898339882922e-07
5,7.267413298646319e-07,7.491553688871337e-07,7.154276005878514e-07
6,7.251540294447616e-07,7.472854959105848e-07,7.154273942325622e-07
7,7.258784379305009e-07,7.465244667521525e-07,7.163850212706512e-07
8,7.285669525517111e-07,7.47729923026984e-07,7.248888453327174e-07
9,7.314595973751466e-07,7.511359288138122e-07,7.37595188630987e-07
10,7.350186465471715e-07,7.52293925890772e-07,7.480242125043152e-07
11,7.350105118886534e-07,7.507463447773073e-07,7.6015439831175e-07
12,7.355310108881455e-07,7.5140175533243e-07,7.754231890688829e-07
13,7.350761585810664e-07,7.523056145584343e-07,7.912890992483036e-07
14,7.345550975535711e-07,7.537221516769789e-07,8.059282134426336e-07
15,7.359049097914344e-07,7.553383569587803e-07,8.264910875302991e-07
16,7.369674978257614e-07,7.582741742323037e-07,8.442865187554998e-07
17,7.46460897065836e-07,7.647600864520431e-07,8.579747396572234e-07
18,7.547754286217692e-07,7.727624138703222e-07,8.711886137328312e-07
19,7.591851014114391e-07,7.781896343741297e-07,8.799374157602015e-07
20,7.688470280353312e-07,7.858604705221268e-07,8.806017337511016e-07
21,7.777740680856007e-07,7.928204298515519e-07,8.870273553150639e-07
22,7.888815708253553e-07,8.020223101082839e-07,8.946372089963807e-07
23,7.988838657252993e-07,8.103123592416576e-07,9.028459534477101e-07
24,8.106508014486465e-07,8.187977722181724e-07,9.094248056622955e-07
25,8.210489064251e-07,8.270446647031766e-07,9.118020482717646e-07
26,8.290483937208778e-07,8.340814879397086e-07,9.173542884251082e-07
27,8.375698493894852e-07,8.393752878630934e-07,9.203564169200859e-07
28,8.455583049050913e-07,8.473039556044001e-07,9.237267817147648e-07
29,8.538709988795165e-07,8.547609431651007e-07,9.300240062584052e-07
30,8.639355524336869e-07,8.652921752009496e-07,9.339709105731351e-07
31,8.688706841754667e-07,8.700660726189401e-07,9.350888814551959e-07
32,8.745809997175607e-07,8.761474755365844e-07,9.34458933327158e-07
33,8.845242493913664e-07,8.821310149805761e-07,9.403968577266989e-07
34,8.944977015071957e-07,8.944981122225781e-07,9.468880161440069e-07
35,9.01548305231055e-07,9.028326202647173e-07,9.487065204364084e-07
36,9.081600364132483e-07,9.113223502512028e-07,9.509656921846007e-07
37,9.147147429128536e-07,9.221010105866245e-07,9.550523060477252e-07
38,9.273537592513523e-07,9.310325109984486e-07,9.613961169329942e-07
39,9.344435714723916e-07,9.392361883351627e-07,9.627665645153295e-07
40,9.44812401206784e-07,9.437159247893751e-07,9.624616026831382e-07
41,9.503609211176023e-07,9.510201068841983e-07,9.650916116211365e-07
42,9.569850103058504e-07,9.558684499163489e-07,9.666582847979788e-07
43,9.63215142050911e-07,9.589547648243457e-07,9.667606760251989e-07
44,9.658909968913026e-07,9.638196680221319e-07,9.679012311665936e-07
45,9.654317321847769e-07,9.650437074781625e-07,9.690089927926617e-07
46,9.687421676470217e-07,9.68426500743001e-07,9.67442145477799e-07
47,9.762396614762145e-07,9.714409341656809e-07,9.697094824268522e-07
48,9.821570051176674e-07,9.705929742493292e-07,9.691154448066658e-07
49,9.811841630283452e-07,9.712880215990126e-07,9.639123762335835e-07
50,9.874286475077292e-07,9.6882062333089e-07,9.622715436483585e-07
51,9.90531737288859e-07,9.755010426047934e-07,9.618379331148046e-07
52,9.936030490535143e-07,9.775397577328288e-07,9.637617665968334e-07
53,9.964214399628108e-07,9.805472515842164e-07,9.66176669932241e-07
54,9.986608654477726e-07,9.802984202571426e-07,9.644813405668428e-07
55,9.97104876818314e-07,9.831677266724008e-07,9.634229758435031e-07
56,9.992551050316155e-07,9.840449956305731e-07,9.619250126736097e-07
57,1.0036110254848398e-06,9.866639855846974e-07,9.650280721275003e-07
58,1.003018364018316e-06,9.851030846928207e-07,9.64448009681895e-07
59,1.003677975936095e-06,9.848329315301999e-07,9.632572477866973e-07
60,9.999193380986664e-07,9.829399972680788e-07,9.601727161176343e-07
61,1.0003215703523446e-06,9.81437195810391e-07,9.600243741994282e-07
62,1.001521642771727e-06,9.809157344059148e-07,9.631373887302202e-07
63,1.000917461643391e-06,9.79790849646991e-07,9.647495639200137e-07
64,9.980802489783505e-07,9.787517254810378e-07,9.604445665402722e-07
65,9.99066784881999e-07,9.769524886091829e-07,9.626998624052066e-07
66,1.000527233626498e-06,9.748404558865105e-07,9.59967903954093e-07
67,1.0001585816871696e-06,9.75423940892096e-07,9.593203985149708e-07
68,1.00071976385447e-06,9.773874897280765e-07,9.596311475417092e-07
69,9.992349304554625e-07,9.773627886845179e-07,9.576113938424216e-07
70,9.985138616796466e-07,9.764076940949946e-07,9.58660152991027e-07
71,9.938215011437263e-07,9.74936692897789e-07,9.58368092333499e-07
72,9.929555513915705e-07,9.758539626531358e-07,9.56351415776711e-07
73,9.957171590775551e-07,9.794335570328585e-07,9.606366743244505e-07
74,9.934833734056757e-07,9.794991310295689e-07,9.595987825566789e-07
75,9.947483243194836e-07,9.82437528050937e-07,9.61133143181526e-07
76,9.968843276076599e-07,9.86202802668647e-07,9.625404493272433e-07
77,9.935366779257164e-07,9.854697288425295e-07,9.60322139122554e-07
78,9.880850484006469e-07,9.829134523094479e-07,9.62003680563211e-07
79,9.899272470966713e-07,9.861563621703672e-07,9.64122360860878e-07
80,9.914202321369458e-07,9.863429257197255e-07,9.680197262022885e-07
81,9.905823640796548e-07,9.886936348429699e-07,9.703738354720573e-07
82,9.930045671984691e-07,9.905001190302878e-07,9.726227849053726e-07
83,9.94808635013354e-07,9.885999591840504e-07,9.722065428157554e-07
84,9.950486418467318e-07,9.88296220076034e-07,9.694415697586109e-07
85,9.921432673591449e-07,9.87276454452202e-07,9.677503546938159e-07
86,9.913331147091853e-07,9.901078038844154e-07,9.6670781470514e-07
87,9.8964349725595e-07,9.900389829150573e-07,9.6474184483635e-07
88,9.921720621738458e-07,9.900651520806838e-07,9.64454479440576e-07
89,9.869718063838764e-07,9.86134716727477e-07,9.638265391958516e-07
90,9.84978148055223e-07,9.819631598652011e-07,9.611103660537278e-07
91,9.8460010817129e-07,9.840839785713146e-07,9.603033381025335e-07
92,9.86832863296733e-07,9.80203669960651e-07,9.555921832544209e-07
93,9.85750877175693e-07,9.812022140714805e-07,9.55640126599635e-07
94,9.839912623547775e-07,9.788379727739577e-07,9.54923070855949e-07
95,9.854653427349504e-07,9.82127320663306e-07,9.569801575349803e-07
96,9.853195467744633e-07,9.826837682473276e-07,9.543748439772327e-07
97,9.850365080311462e-07,,9.533204866878591e-07
98,9.875037018734289e-07,9.808431427756586e-07,9.545208138932324e-07
99,9.863887268000183e-07,9.790923606030484e-07,9.55107418591821e-07
100,9.862018519326858e-07,9.79193008394815e-07,9.53834513619106e-07
101,9.841692771111842e-07,9.777611965796442e-07,9.504168127039223e-07
102,9.837911494141838e-07,9.792154629004486e-07,9.475136855119132e-07
103,9.821652910479868e-07,9.774335158869609e-07,9.466579367498088e-07
104,9.820845351375205e-07,9.8222303863836e-07,9.464262540495865e-07
105,9.838055505506682e-07,9.869063557462493e-07,9.473004049417607e-07
106,9.847791261395414e-07,9.85979417815328e-07,9.424802164933831e-07
107,9.825827339742989e-07,9.832718717341572e-07,9.385609062501188e-07
108,9.789086400553003e-07,9.811510470021055e-07,9.348444657564911e-07
109,9.786414716898463e-07,9.790274998260689e-07,9.317519357033637e-07
110,9.742631014312755e-07,9.743115900627281e-07,9.291152975588595e-07
111,9.705956521140845e-07,9.74262208727024e-07,9.303005191622071e-07
112,9.709040854144496e-07,9.721506926875172e-07,9.262386401933284e-07
113,9.71559808012321e-07,9.728081804969412e-07,9.254863458870495e-07
114,9.70309646816491e-07,9.730255756502386e-07,9.233347580841247e-07
115,9.670625516472683e-07,9.726190977884633e-07,9.187107732669678e-07
116,9.614441740659777e-07,9.653433424591325e-07,9.150736672340945e-07
117,9.61928199208729e-07,9.620926113103396e-07,9.137121661604975e-07
118,9.647852550037583e-07,9.622874675897186e-07,9.104700523112342e-07
