step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_dot_positive_step
1,1,1
2,1,1
3,0,1
4,0,1
5,1,1
6,1,1
7,1,1
8,1,1
9,0,1
10,1,0
11,1,1
12,1,1
13,1,1
14,0,1
15,1,1
16,0,1
17,1,0
18,1,1
19,1,1
20,1,1
21,1,0
22,1,1
23,1,0
24,1,1
25,1,0
26,0,0
27,1,1
28,0,1
29,0,0
30,0,1
31,0,1
32,0,1
33,1,1
34,0,0
35,1,0
36,0,0
37,1,1
38,1,0
39,0,1
40,1,0
41,1,1
42,1,0
43,0,0
44,0,1
45,0,0
46,0,1
47,1,1
48,0,0
49,0,0
50,1,0
51,0,1
52,1,1
53,0,0
54,0,1
55,0,1
56,1,1
57,1,0
58,1,1
59,0,1
60,0,0
61,1,0
62,0,1
63,0,1
64,0,0
65,1,0
66,0,1
67,1,0
68,0,0
69,1,1
70,0,1
71,0,1
72,1,0
73,1,1
74,0,1
75,1,1
76,1,1
77,0,0
78,1,0
79,1,1
80,0,0
81,0,1
82,1,1
83,1,1
84,0,0
85,1,1
86,0,1
87,0,1
88,1,0
89,0,1
90,0,0
91,1,0
92,1,1
93,0,0
94,0,1
95,1,1
96,1,1
97,1,
98,0,0
99,0,1
100,0,0
101,0,0
102,1,0
103,1,1
104,0,1
105,0,1
106,0,1
107,0,1
108,0,1
109,1,1
110,0,0
111,1,1
112,1,0
113,1,0
114,0,1
115,0,1
116,0,0
117,1,0
118,0,1
119,1,1
120,1,0
121,1,0
122,1,1
123,1,1
124,1,1
125,0,0
126,1,1
127,1,0
128,1,1
129,0,1
130,1,1
131,1,0
132,1,1
133,1,1
134,0,1
135,0,1
136,1,1
137,1,0
138,1,1
139,1,0
140,1,1
141,0,1
142,1,1
143,1,0
144,1,1
145,0,1
146,1,1
147,1,1
148,0,1
149,0,0
150,1,0
151,1,1
152,1,0
153,0,1
154,1,0
155,0,0
156,0,1
157,0,1
158,1,1
159,0,0
160,1,0
161,1,1
162,1,0
163,0,1
164,0,1
165,1,0
166,1,1
167,0,0
168,0,1
169,0,0
170,1,1
171,0,1
172,1,1
173,0,1
174,0,1
175,1,1
176,0,0
177,1,1
178,0,0
179,1,0
180,0,0
181,1,0
182,0,0
183,0,0
184,0,0
185,1,0
186,1,1
187,1,1
188,0,1
189,1,1
190,0,1
191,0,0
192,0,0
193,0,0
194,0,1
195,1,1
196,0,0
197,0,1
198,0,1
199,1,1
200,0,0
201,1,1
202,1,1
203,1,0
204,1,0
205,1,1
206,0,0
207,0,0
208,1,0
209,1,0
210,0,0
211,1,0
212,1,0
213,1,0
214,0,0
215,1,1
216,0,1
217,0,0
218,1,0
219,1,1
220,1,0
221,0,1
222,0,0
223,0,1
224,1,0
225,0,0
226,1,1
227,0,0
228,0,1
229,1,1
230,0,1
231,0,0
232,0,1
233,0,0
234,0,1
235,1,1
236,1,1
237,0,1
238,1,1
239,0,0
240,0,1
241,0,1
242,1,1
243,0,1
244,1,1
245,0,0
246,1,1
247,1,0
248,0,1
249,0,0
250,1,1
251,1,1
252,1,1
253,1,1
254,1,0
255,1,0
256,1,0
257,0,0
258,1,1
259,0,0
260,1,0
261,0,1
262,1,0
263,1,0
264,0,0
265,0,0
266,1,1
267,0,1
268,1,1
269,0,0
270,1,1
271,0,1
272,0,0
273,1,1
274,1,1
275,1,1
276,1,1
277,0,1
278,0,1
279,1,1
280,1,1
281,0,0
282,0,0
283,0,0
284,0,1
285,1,0
286,0,1
287,1,0
288,1,1
289,1,1
290,1,0
291,0,0
292,1,0
293,0,0
294,1,0
295,0,1
296,1,1
297,0,1
298,0,0
299,1,0
300,0,0
