step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/rewards/mean_step
1,-1.034715175628662,-1.0411436557769775,-1.0687146186828609
2,-1.1745359897613523,-1.157182693481445,-1.1500964164733891
3,-1.1275153160095217,-1.1295380592346191,-1.1330599784851074
4,-1.1379871368408203,-1.1449358463287354,-1.133443832397461
5,-0.962111234664917,-0.9513072967529296,-0.9254374504089355
6,-1.1108293533325195,-1.107630491256714,-1.0349247455596924
7,-1.1419451236724854,-1.1528820991516109,-1.0119893550872805
8,-0.9634349346160888,-0.9568521976470948,-0.596116304397583
9,-0.8842382431030273,-0.8868539333343506,-0.38727641105651855
10,-0.8708899021148682,-0.8976480960845947,-0.29381346702575684
11,-1.0979976654052734,-1.0529367923736572,-0.4458200931549072
12,-0.9329304695129396,-0.9450573921203612,-0.3251962661743164
13,-0.894277811050415,-0.8832111358642578,-0.42675089836120605
14,-0.8315064907073975,-0.8082923889160156,-0.3684055805206299
15,-0.7923483848571777,-0.7701494693756104,-0.3347501754760742
16,-0.7415387630462646,-0.79408860206604,-0.32090020179748535
17,-0.6086318492889404,-0.5645606517791748,-0.2211318016052246
18,-0.5105078220367432,-0.5559060573577881,-0.18371343612670896
19,-0.6759505271911621,-0.6848163604736328,-0.2553391456604004
20,-0.6165621280670166,-0.5986320972442627,-0.3429982662200928
21,-0.4612762928009033,-0.4416022300720215,-0.15563321113586426
22,-0.35643577575683594,-0.3893115520477295,-0.21509099006652832
23,-0.5252718925476074,-0.4475290775299072,-0.25562238693237305
24,-0.3670659065246582,-0.35926270484924316,-0.21039056777954104
25,-0.35689830780029297,-0.29772424697875977,-0.20074868202209473
26,-0.3196392059326172,-0.315915584564209,-0.19337058067321777
27,-0.38022637367248535,-0.4023730754852295,-0.15369939804077148
28,-0.38517332077026367,-0.40563225746154785,-0.22462153434753415
29,-0.2571091651916504,-0.28967714309692383,-0.16527795791625977
30,-0.2726571559906006,-0.28412437438964844,-0.14165377616882324
31,-0.29700469970703125,-0.33139801025390625,-0.2255308628082275
32,-0.3619463443756103,-0.3794705867767334,-0.3010520935058594
33,-0.3620564937591553,-0.33460044860839844,-0.2015440464019775
34,-0.32470035552978516,-0.3093526363372803,-0.13446903228759766
35,-0.3143172264099121,-0.26323914527893066,-0.13379573822021484
36,-0.29878711700439453,-0.2886502742767334,-0.1830575466156006
37,-0.2931075096130371,-0.29280924797058105,-0.09905743598937988
38,-0.2121443748474121,-0.22639942169189453,-0.04854941368103027
39,-0.3032841682434082,-0.319652795791626,-0.12356948852539062
40,-0.15603899955749512,-0.1789722442626953,-0.0940866470336914
41,-0.28911519050598145,-0.2615776062011719,-0.16052889823913574
42,-0.2606539726257324,-0.2514362335205078,-0.10684537887573242
43,-0.18499326705932617,-0.16121292114257812,-0.08552193641662598
44,-0.18072938919067383,-0.23499107360839844,-0.10857295989990234
45,-0.29427075386047363,-0.29272985458374023,-0.1767747402191162
46,-0.21865224838256836,-0.19114303588867188,-0.14148592948913574
47,-0.16458702087402344,-0.16585063934326172,-0.08175230026245117
48,-0.13724708557128906,-0.1177980899810791,-0.12044334411621094
49,-0.22292447090148929,-0.21832036972045896,-0.10734009742736816
50,-0.13060879707336426,-0.15762925148010254,-0.07059288024902344
51,0.023026704788208008,0.0400843620300293,0.09225010871887208
52,-0.043582916259765625,-0.0635828971862793,0.02222585678100586
53,-0.1069638729095459,-0.1080329418182373,-0.0014448165893554688
54,-0.14399099349975586,-0.16811680793762207,-0.13342690467834473
55,-0.2472541332244873,-0.23508429527282715,-0.16944456100463867
56,-0.20142364501953125,-0.255173921585083,-0.138810396194458
57,0.005430936813354492,-0.008998870849609375,0.010309696197509766
58,-0.26160454750061035,-0.29456496238708496,-0.22254133224487305
59,-0.05295920372009277,-0.10866355895996094,-0.0666353702545166
60,-0.26108717918395996,-0.26311564445495605,-0.19192957878112793
61,-0.21857666969299316,-0.16464638710021973,-0.1689906120300293
62,-0.11020565032958984,-0.1262683868408203,-0.0833899974822998
63,-0.19030523300170896,-0.1985490322113037,-0.14663195610046387
64,-0.18758702278137207,-0.18129754066467285,-0.18541193008422852
