step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/advantages/mean_step
1,-0.12622593343257904,-0.1198130026459694,-0.11854933202266692
2,-0.1143893301486969,-0.08865304291248322,-0.10952525585889816
3,-0.10753990709781648,-0.10663590580224992,-0.1088770180940628
4,-0.120433010160923,-0.12813463807106018,-0.13109591603279114
5,-0.11825226992368698,-0.1314770132303238,-0.13677436113357544
6,-0.10818610340356828,-0.12050778418779372,-0.11625998467206956
7,-0.1098804920911789,-0.10969246178865431,-0.13149772584438324
8,-0.13288457691669464,-0.1295931339263916,-0.16402673721313477
9,-0.16327495872974396,-0.15115530788898468,-0.16856558620929718
10,-0.1477617621421814,-0.14080679416656494,-0.15970873832702637
11,-0.1297747939825058,-0.12362337857484818,-0.1796436905860901
12,-0.11900172382593156,-0.1372869312763214,-0.15325400233268738
13,-0.11396057903766632,-0.12956246733665466,-0.10548324137926102
14,-0.1273612380027771,-0.13307534158229828,-0.029081381857395172
15,-0.15989503264427185,-0.1663188636302948,-0.024567171931266785
16,-0.15564577281475067,-0.13835865259170532,-0.03298399969935417
17,-0.1809203326702118,-0.166823610663414,-0.04903392493724823
18,-0.14134594798088074,-0.15652260184288025,-0.04368348047137261
19,-0.16934946179389954,-0.1656557470560074,-0.03385167196393013
20,-0.14857937395572662,-0.16151587665081024,-0.02557524666190147
21,-0.19101114571094513,-0.19097450375556943,-0.0379633791744709
22,-0.16539789736270905,-0.175372913479805,-0.022861696779727936
23,-0.17301955819129944,-0.1745074838399887,-0.04962735250592232
24,-0.1547183394432068,-0.1824059933423996,-0.0373917892575264
25,-0.18565070629119873,-0.14594730734825134,-0.050071097910404205
26,-0.18463650345802307,-0.17162561416625977,-0.04237958788871765
27,-0.15941226482391355,-0.16563232243061066,-0.0331852100789547
28,-0.1573813408613205,-0.1782595068216324,-0.04754252731800079
29,-0.13189691305160522,-0.14154373109340668,-0.08413976430892944
30,-0.14633098244667053,-0.18516458570957184,-0.06347355246543884
31,-0.1358260214328766,-0.160660520195961,-0.05802861601114273
32,-0.14005355536937714,-0.1616414338350296,-0.07694918662309647
33,-0.09415963292121889,-0.12718884646892548,-0.054520342499017715
34,-0.08146099001169205,-0.08906862884759903,-0.04469846934080124
35,-0.08822513371706009,-0.0921902060508728,-0.052951741963624954
36,-0.12545305490493774,-0.12251491844654085,-0.08371938019990921
37,-0.11664631962776184,-0.11188293248414992,-0.05735365301370621
38,-0.09592775255441666,-0.08885567635297775,-0.054101403802633286
39,-0.051711369305849075,-0.06976646929979324,-0.0702047124505043
40,-0.07860776036977768,-0.08164318650960922,-0.06769924610853195
41,-0.051392726600170135,-0.07207491993904114,-0.06598122417926788
42,-0.06652269512414932,-0.10061899572610856,-0.07130349427461624
43,-0.09099439531564713,-0.11583787947893144,-0.09564714133739471
44,-0.0703941136598587,-0.10259690135717392,-0.07720723003149033
45,-0.08585835993289948,-0.09537692368030548,-0.07526441663503647
46,-0.07462940365076065,-0.04855426028370857,-0.0422988086938858
47,-0.08038477599620819,-0.10055030882358552,-0.06787443906068802
48,-0.0679541677236557,-0.05889715999364853,-0.05930715426802635
49,-0.06355847418308258,-0.065792977809906,-0.06007365509867668
50,-0.06876730918884277,-0.05486699566245079,-0.05504399910569191
51,-0.07325984537601471,-0.08082949370145798,-0.07294268906116486
52,-0.058051444590091705,-0.08196789771318436,-0.07450977712869644
53,-0.10235611349344254,-0.06749778985977173,-0.05602685734629631
54,-0.06984096765518188,-0.06340718269348145,-0.06361903250217438
55,-0.0994325652718544,-0.07038763910531998,-0.06982064992189407
56,-0.0951441377401352,-0.051578085869550705,-0.06941442936658859
57,-0.11654412746429443,-0.07229288667440414,-0.06632785499095917
58,-0.11436805874109268,-0.07498093694448471,-0.060148756951093674
59,-0.10285978019237518,-0.06990031898021698,-0.048063408583402634
60,-0.07689618319272995,-0.0939474031329155,-0.07581742852926254
61,-0.09357147663831712,-0.059537529945373535,-0.05644134059548378
62,-0.08380451798439026,-0.06037216633558273,-0.06064689531922341
