step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-response_length/mean_step
1,6146.5205078125,6124.84375,6194.3291015625
2,6377.111328125,6455.068359375,6397.458984375
3,6417.9951171875,6429.0927734375,6358.5966796875
4,6226.3857421875,6200.2626953125,6242.01953125
5,5879.7548828125,5803.3505859375,5664.443359375
6,6277.404296875,6243.767578125,6133.19921875
7,6313.7138671875,6427.1611328125,6097.2744140625
8,5877.5986328125,5898.458984375,5097.4482421875
9,5673.658203125,5685.1884765625,4527.7607421875
10,5732.7744140625,5798.501953125,4150.025390625
11,6291.5751953125,6177.6533203125,3884.3447265625
12,5964.26953125,5960.080078125,3062.7978515625
13,5939.9072265625,5909.1767578125,2315.3017578125
14,5495.0771484375,5509.373046875,1608.578125
15,5597.751953125,5458.685546875,1470.333984375
16,5469.0810546875,5529.8779296875,1447.357421875
17,5106.4755859375,5016.7607421875,1521.0009765625
18,4942.126953125,4835.26171875,1529.740234375
19,5107.751953125,4975.4326171875,1734.84765625
20,4877.71484375,4664.8916015625,1796.873046875
21,4331.8818359375,4201.9697265625,1723.205078125
22,4184.9658203125,4023.310546875,1768.11328125
23,4235.21484375,4025.37109375,1876.1962890625
24,3760.1162109375,3651.2353515625,1837.46875
25,3543.3173828125,3543.42578125,1959.9013671875
26,3551.1005859375,3448.1376953125,2038.34765625
27,3426.10546875,3495.7109375,2210.919921875
28,3128.083984375,3167.24609375,2103.697265625
29,2841.283203125,2909.3681640625,2107.8154296875
30,2918.3291015625,2947.638671875,2195.396484375
31,2740.8837890625,2819.8544921875,2203.681640625
32,2654.06640625,2728.4814453125,2273.9931640625
33,2504.298828125,2480.603515625,2307.107421875
34,2309.4375,2280.1640625,2239.0283203125
35,2297.392578125,2245.1611328125,2293.111328125
36,2434.20703125,2285.2431640625,2550.9462890625
37,2128.3623046875,2123.2802734375,2290.3154296875
38,1977.837890625,1930.2685546875,2267.90234375
39,2049.0673828125,2130.1357421875,2463.080078125
40,2053.390625,2194.6982421875,2450.7919921875
41,2067.8857421875,2100.4794921875,2485.9267578125
42,2119.8173828125,2230.513671875,2494.1044921875
43,2171.1484375,2333.96484375,2616.625
44,2126.8310546875,2285.41796875,2455.9716796875
45,2363.5986328125,2402.919921875,2614.228515625
46,2063.9365234375,2158.7744140625,2369.9931640625
47,2137.96484375,2264.6318359375,2416.37109375
48,2176.0029296875,2184.767578125,2402.6220703125
49,2308.6376953125,2302.7490234375,2452.28515625
50,2198.1728515625,2143.7578125,2367.9140625
51,2273.642578125,2182.7451171875,2379.3642578125
52,2346.9970703125,2325.7275390625,2416.04296875
53,2319.8564453125,2258.9912109375,2345.478515625
54,2466.05859375,2301.564453125,2581.8310546875
55,2410.6572265625,2286.7861328125,2456.84375
56,2544.275390625,2320.482421875,2449.80859375
57,2401.4375,2322.2646484375,2327.03125
58,2736.8525390625,2627.021484375,2660.048828125
59,2650.0986328125,2536.109375,2569.10546875
60,2700.46484375,2607.9921875,2532.0859375
61,2745.998046875,2577.3623046875,2608.2431640625
62,2544.4248046875,2392.109375,2327.6298828125
63,2717.0703125,2600.7529296875,2523.439453125
64,2472.5771484375,2393.0458984375,2334.3740234375
65,2639.6728515625,2471.744140625,2409.7470703125
66,2537.1962890625,2473.248046875,2393.70703125
67,2591.896484375,2518.2138671875,2369.884765625
68,2516.1708984375,2500.9580078125,2292.6435546875
69,2580.890625,2533.357421875,2381.6826171875
70,2510.01953125,2466.3916015625,2326.2880859375
71,2548.771484375,2401.4228515625,2338.8115234375
72,2484.8896484375,2401.173828125,2359.6552734375
73,2391.1640625,2287.9482421875,2303.1220703125
74,2592.4619140625,2470.6640625,2396.830078125
75,2452.810546875,2351.3876953125,2325.806640625
76,2372.7880859375,2179.6962890625,2293.029296875
77,2583.435546875,2474.1103515625,2475.044921875
78,2429.626953125,2291.53515625,2395.51171875
79,2484.142578125,2344.2880859375,2481.14453125
80,2290.5625,2307.3115234375,2380.736328125
81,2492.064453125,2372.7919921875,2496.3837890625
82,2353.3564453125,2322.71484375,2446.7587890625
83,2378.486328125,2386.3857421875,2395.2900390625
84,2262.1103515625,2291.0595703125,2431.49609375
85,2543.8662109375,2619.6416015625,2620.21875
86,2409.37109375,2455.162109375,2482.1484375
87,2380.810546875,2557.8310546875,2589.7294921875
88,2324.2490234375,2486.626953125,2491.53515625
89,2463.9501953125,2634.24609375,2705.0712890625
90,2393.001953125,2609.9267578125,2671.1318359375
91,2313.57421875,2470.8359375,2555.26171875
92,2508.302734375,2689.3330078125,2754.2587890625
93,2310.6689453125,2438.9130859375,2483.5693359375
94,2351.859375,2496.767578125,2598.634765625
95,2281.4921875,2418.060546875,2428.1826171875
96,2466.15625,2568.5595703125,2675.9755859375
97,,,2555.798828125
98,,,2504.6171875
99,,,2671.994140625
100,2423.9814453125,2407.919921875,2534.48828125
101,2515.1611328125,2522.1923828125,2683.369140625
102,2554.099609375,2449.408203125,2631.4306640625
103,2557.958984375,2460.1474609375,2708.3154296875
104,2317.001953125,2280.5732421875,2492.4912109375
105,2259.802734375,2149.591796875,2491.2861328125
106,2748.939453125,2560.912109375,2837.1123046875
107,2675.734375,2550.84375,2908.51171875
108,2549.01171875,2437.32421875,2781.9482421875
109,2692.306640625,2518.8427734375,2843.7451171875
110,2722.4287109375,2535.41015625,2894.9208984375
111,2643.5810546875,2435.37109375,2763.626953125
112,2391.669921875,2237.673828125,2637.8837890625
113,2688.439453125,2451.5380859375,2844.771484375
114,2578.458984375,2341.8330078125,2801.2001953125
115,2500.06640625,2308.7529296875,2779.59765625
116,2712.990234375,2537.68359375,2903.2109375
117,2517.66015625,2372.625,2761.8994140625
118,2497.443359375,2361.951171875,2795.8056640625
119,2621.5263671875,2553.8427734375,2979.01171875
120,2531.3564453125,2415.9833984375,2897.05859375
121,2489.455078125,2407.24609375,2820.140625
122,2447.7392578125,2315.4462890625,2827.5751953125
123,2379.7822265625,2241.9912109375,2745.708984375
124,2537.2529296875,2514.6162109375,2947.890625
125,2356.46484375,2330.80078125,2762.2998046875
126,2415.0751953125,2377.8916015625,2790.57421875
127,2214.8173828125,2152.474609375,2583.7119140625
128,2235.2099609375,2222.1142578125,2585.2900390625
129,2323.6318359375,2306.8125,2698.2294921875
130,2531.21484375,2565.1083984375,2977.0126953125
131,2345.501953125,2368.7470703125,2782.8994140625
132,2338.89453125,2434.279296875,2811.142578125
133,2410.3984375,2442.869140625,2793.10546875
134,2382.40234375,2421.443359375,2675.3681640625
135,2504.7607421875,2617.779296875,2829.34765625
136,2514.6328125,2590.634765625,2776.5361328125
137,2423.0224609375,2495.197265625,2658.6962890625
138,2290.986328125,2298.4697265625,2396.7822265625
139,2413.439453125,2477.9990234375,2473.306640625
140,2502.8193359375,2483.935546875,2520.72265625
141,2456.2041015625,2486.091796875,2452.033203125
142,2436.71875,2423.869140625,2346.111328125
143,2466.328125,2493.3203125,2421.431640625
144,2394.75390625,2410.1884765625,2358.28125
145,2389.08203125,2386.1533203125,2288.96875
146,2599.1865234375,2560.6650390625,2494.318359375
147,2661.53515625,2662.70703125,2498.4140625
148,2573.326171875,2566.16796875,2457.671875
149,2586.9267578125,2559.453125,2483.9638671875
150,2413.9140625,2432.02734375,2388.798828125
151,2718.3037109375,2645.0546875,2585.2578125
152,2463.9990234375,2423.6279296875,2436.216796875
153,2620.4638671875,2592.81640625,2563.6142578125
154,2617.833984375,2618.2998046875,2542.2939453125
155,2607.6240234375,2478.6484375,2486.64453125
156,2647.16015625,2544.517578125,2522.703125
157,2717.2646484375,2636.78515625,2544.9892578125
158,2637.6083984375,2553.81640625,2566.6455078125
159,2585.666015625,2495.8701171875,2462.4921875
160,2692.3916015625,2601.7119140625,2527.83984375
161,2624.1240234375,2535.6083984375,2555.0947265625
162,2474.6171875,2444.912109375,2439.7099609375
163,2538.60546875,2508.7041015625,2497.1884765625
164,2490.0107421875,2494.232421875,2488.30078125
165,2413.4599609375,2388.3759765625,2338.3349609375
166,2533.3779296875,2511.4013671875,2464.23828125
167,2576.41796875,2510.984375,2524.6494140625
168,2644.0908203125,2539.3681640625,2596.060546875
169,2519.0732421875,2376.2763671875,2466.6083984375
170,2623.802734375,2588.39453125,2644.1025390625
171,2680.947265625,2580.6357421875,2627.01953125
172,2791.8271484375,2621.2578125,2825.2646484375
173,2627.2412109375,2489.21875,2689.2841796875
174,2805.6611328125,2547.40234375,2831.189453125
175,2620.666015625,2416.74609375,2694.5546875
176,2701.30078125,2448.0751953125,2753.3056640625
177,2698.900390625,2434.626953125,2787.6220703125
178,2929.7890625,2652.28125,3020.7958984375
179,2799.69140625,2524.724609375,2897.4697265625
180,2654.701171875,2452.1845703125,2769.484375
181,2771.1083984375,2508.3193359375,2847.48046875
182,2869.6708984375,2652.78125,2930.228515625
183,2894.1796875,2687.5810546875,2961.134765625
184,2699.9755859375,2517.47265625,2798.3447265625
185,2759.5654296875,2572.6806640625,2857.1806640625
186,2626.56640625,2511.822265625,2806.7890625
187,2779.00390625,2673.0615234375,2822.306640625
188,3037.1826171875,2924.462890625,3049.1875
189,2817.1689453125,2844.2001953125,2856.0439453125
190,2832.87890625,2835.77734375,2884.240234375
191,2846.587890625,2899.2490234375,2937.0234375
192,2900.3359375,2920.173828125,2981.6591796875
193,2771.1953125,2844.04296875,2806.3369140625
194,2755.830078125,3009.759765625,2942.19140625
195,2626.7919921875,2836.91015625,2813.078125
196,2582.0087890625,2800.2705078125,2811.6044921875
197,2470.1748046875,2636.4599609375,2702.876953125
198,2603.5498046875,2961.5244140625,2906.2216796875
199,2538.5341796875,2876.208984375,2765.0400390625
200,2500.6220703125,2904.5703125,2743.29296875
201,2500.5810546875,2948.068359375,2842.6708984375
202,2533.2197265625,2901.0263671875,2799.619140625
