step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/lr_step
1,1.2499999999999999e-06,2.9699999999999997e-07,1.2499999999999999e-06,2.9699999999999997e-07,2.9699999999999997e-07,2.9699999999999997e-07,2.9699999999999997e-07,2.9699999999999997e-07,1.2499999999999999e-06
2,1.2499999999999999e-06,2.9699999999999997e-07,1.2499999999999999e-06,2.9699999999999997e-07,2.9699999999999997e-07,2.9699999999999997e-07,2.9699999999999997e-07,2.9699999999999997e-07,1.2499999999999999e-06
3,2.4999999999999998e-06,5.939999999999999e-07,2.4999999999999998e-06,5.939999999999999e-07,5.939999999999999e-07,5.939999999999999e-07,5.939999999999999e-07,5.939999999999999e-07,2.4999999999999998e-06
4,3.7499999999999997e-06,8.909999999999998e-07,3.7499999999999997e-06,8.909999999999998e-07,8.909999999999998e-07,8.909999999999998e-07,8.909999999999998e-07,8.909999999999998e-07,3.7499999999999997e-06
5,4.9999999999999996e-06,1.1879999999999999e-06,4.9999999999999996e-06,1.1879999999999999e-06,1.1879999999999999e-06,1.1879999999999999e-06,1.1879999999999999e-06,1.1879999999999999e-06,4.9999999999999996e-06
6,6.2499999999999995e-06,1.4849999999999998e-06,6.2499999999999995e-06,1.4849999999999998e-06,1.4849999999999998e-06,1.4849999999999998e-06,1.4849999999999998e-06,1.4849999999999998e-06,6.2499999999999995e-06
7,7.499999999999999e-06,1.7819999999999996e-06,7.499999999999999e-06,1.7819999999999996e-06,1.7819999999999996e-06,1.7819999999999996e-06,1.7819999999999996e-06,1.7819999999999996e-06,7.499999999999999e-06
8,8.75e-06,2.079e-06,8.75e-06,2.079e-06,2.079e-06,2.079e-06,2.079e-06,2.079e-06,8.75e-06
9,1e-05,2.3759999999999998e-06,1e-05,2.3759999999999998e-06,2.3759999999999998e-06,2.3759999999999998e-06,2.3759999999999998e-06,2.3759999999999998e-06,1e-05
10,1.125e-05,2.673e-06,1.125e-05,2.673e-06,2.673e-06,2.673e-06,2.673e-06,2.673e-06,1.125e-05
