step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/param_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/param_delta_norm_step
1,0.04127003625035286,0.009795764461159706,0.04119051247835159,0.00979530904442072,0.009817654266953468,0.00981641560792923,0.009753926657140257,0.00980740413069725,0.04120098054409027
2,0.030697541311383247,0.007253266405314207,0.030577225610613823,0.007314180489629507,0.007330354768782854,0.007393429521471262,0.007261337712407112,0.007245735265314579,0.030750537291169167
3,0.05187666788697243,0.012108595110476015,0.0510895699262619,0.012201670557260512,0.01225954946130514,0.012329943478107452,0.012222527526319029,0.012261145748198032,0.05092206597328186
4,0.06875848025083542,0.01614507846534252,0.06805415451526642,0.016261201351881027,0.016167206689715385,0.016142932698130608,0.01610438898205757,0.01611945964396,0.06765493750572205
5,0.08349698036909103,0.019814105704426765,0.08287413418292999,0.019910898059606552,0.019563352689146996,0.01970718614757061,0.019789904356002808,0.019725581631064415,0.08313701301813126
6,0.09622996300458908,0.02282179333269596,0.09675495326519012,0.02311418391764164,0.02283325605094433,0.023329870775341988,0.022827716544270515,0.022933222353458405,0.09699647128582
7,0.11010699719190598,0.02612966112792492,0.10954003036022186,0.026368405669927597,0.02585909143090248,0.026277724653482437,0.02573998831212521,0.0260204765945673,0.10819531232118608
8,0.12191296368837357,0.029191358014941216,0.12410318106412888,0.029432246461510655,0.028503436595201492,0.028975054621696472,0.028648128733038902,0.02906091697514057,0.12278126925230026
9,0.13422124087810516,0.03216251730918884,0.1366572380065918,0.03245355561375618,0.03148103877902031,0.03171217069029808,0.03183640167117119,0.032268960028886795,0.1353854387998581
10,0.14626367390155792,0.03457852825522423,0.149826318025589,0.03498796746134758,0.03413035720586777,0.03425159305334091,0.03515142574906349,0.035181742161512375,0.1461641490459442
11,0.1599179208278656,0.03669239580631256,0.1617564558982849,0.03750951960682869,0.03733489289879799,0.03744855895638466,0.03793582320213318,0.037717055529356,0.1586894392967224
12,0.15565769374370575,0.03551212698221207,0.15666483342647552,0.03699536621570587,0.03632080554962158,0.03677025064826012,0.03671520948410034,0.03726334869861603,0.1554360389709473
13,0.14573605358600616,0.03374258056282997,0.14051418006420135,0.036477189511060715,0.036617979407310486,0.03570927679538727,0.035493988543748856,0.03735097125172615,0.14206071197986603
14,0.1366853415966034,0.036684341728687286,0.1292908787727356,0.03609617054462433,0.03659744933247566,0.03538472577929497,0.03481163829565048,0.03762778267264366,0.13112467527389526
15,0.1313600093126297,0.0367610976099968,0.11070804297924042,0.03547720983624458,0.037294916808605194,0.03463652357459068,0.03410973399877548,0.03742906451225281,0.12585167586803436
16,0.12619023025035858,0.03694062680006027,0.10135499387979507,0.03448338806629181,0.028980927541851997,0.03421299532055855,0.033426739275455475,0.037816911935806274,0.09942178428173064
17,0.11745407432317734,0.027433857321739197,0.0924435704946518,0.0344058983027935,0.038565099239349365,0.03385685011744499,0.03387441858649254,0.027714483439922333,0.08603914082050323
18,0.11241082102060318,0.03846616670489311,0.08111760020256042,0.0337771475315094,0.026426315307617188,0.033288419246673584,0.03418466076254845,0.039514075964689255,0.07329713553190231
19,0.10310041904449464,0.038718342781066895,0.06914077699184418,0.03307114914059639,0.02492684870958328,0.033004797995090485,0.034266285598278046,0.039453886449337006,0.06046954169869423
20,0.05208833143115043,0.023167552426457405,0.04923649877309799,0.033192697912454605,0.02327526174485683,0.032993778586387634,0.034130245447158813,0.04033934697508812,0.047657836228609085
21,0.07157697528600693,0.021742504090070724,0.04433945566415787,0.033053357154130936,0.02196708507835865,0.03348129242658615,0.03423498198390007,0.022014932706952095,0.03637208789587021
22,0.07128135114908218,0.04071778059005737,0.031204713508486748,0.0328957661986351,0.02063576877117157,0.03327140212059021,0.03389068320393562,0.04117831215262413,0.025629347190260887
23,0.06917660683393478,0.020178155973553658,0.025398172438144684,0.0323694609105587,0.04095112159848213,0.03318289667367935,0.033420149236917496,0.020231110975146297,0.02540095336735249
24,0.0677843987941742,0.01989130489528179,0.030233019962906837,0.03234589844942093,0.04113190621137619,0.03255755826830864,0.03363360837101936,0.040307097136974335,0.025132721289992332
25,0.06860373169183731,0.039195988327264786,0.029564177617430687,0.03207189217209816,0.04057565703988075,0.03229118883609772,0.03323046490550041,0.019681598991155624,0.02455981820821762
26,0.06752985715866089,0.03915050998330116,0.03604936972260475,0.032008081674575806,0.040687195956707,0.03217777982354164,0.03253493458032608,0.01964486949145794,0.025248639285564423
27,0.06657238304615021,0.01960807666182518,0.04019378125667572,0.031938061118125916,0.04043522849678993,0.031767863780260086,0.03261943906545639,0.03868528828024864,0.02498319000005722
28,0.07277043908834457,0.019415507093071938,0.023746581748127937,0.031881384551525116,0.040011387318372726,0.031739380210638046,0.031853217631578445,0.03858235850930214,0.02460079826414585
29,0.03451228886842728,0.0387660413980484,0.023317765444517136,0.031525515019893646,0.020003315061330795,0.03186670318245888,0.03167199343442917,0.019170882180333138,0.027376271784305573
30,0.05379404500126839,0.03862002491950989,0.022752542048692703,0.031409818679094315,0.03958169370889664,0.03153052181005478,0.03178844600915909,0.03832237794995308,0.02279740758240223
31,0.05319906398653984,0.0381755493581295,0.022670377045869827,0.03089877776801586,0.03915194794535637,0.03115108422935009,0.031354017555713654,0.03810209780931473,0.02237546630203724
