step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/parameter_delta_norm_step
1,1.827662890718784e-05,4.338100097811548e-06,1.824141145334579e-05,4.3378981899877544e-06,4.347793947090395e-06,4.347245521785226e-06,4.31957187174703e-06,4.343254659033846e-06,1.8246046238346025e-05
2,1.359455200145021e-05,3.2121429285325576e-06,1.3541270163841546e-05,3.2391189961344935e-06,3.246281721658306e-06,3.2742148050601827e-06,3.215717242710525e-06,3.208807584087481e-06,1.361802151222946e-05
3,2.297383252880536e-05,5.362348019843921e-06,2.262526140839327e-05,5.403566774475621e-06,5.429198608908337e-06,5.460372904053656e-06,5.412803147919476e-06,5.429905741038965e-06,2.2551081201527268e-05
4,3.0450029953499325e-05,7.1499239311378915e-06,3.0138113288558088e-05,7.201349490060238e-06,7.159723736549495e-06,7.1489744186692405e-06,7.131904567359015e-06,7.138579348975327e-06,2.9961320251459256e-05
5,3.6977060517529026e-05,8.774771231401246e-06,3.670122896437533e-05,8.817635716695804e-06,8.663723747304175e-06,8.727421118237544e-06,8.764053745835554e-06,8.735567462281324e-06,3.681764428620227e-05
6,4.261594222043641e-05,1.0106740774062928e-05,4.2848438170040026e-05,1.0236227353743745e-05,1.0111817573488224e-05,1.033174521580804e-05,1.010936375678284e-05,1.0156088137591723e-05,4.295539474696852e-05
7,4.8761485231807455e-05,1.1571647519303951e-05,4.8510406486457214e-05,1.1677376278385054e-05,1.1451824320829472e-05,1.163721753982827e-05,1.1399079085094854e-05,1.1523294233484194e-05,4.791489118360914e-05
8,5.3989864682080224e-05,1.2927537682116965e-05,5.495982259162702e-05,1.3034215953666717e-05,1.2622887879842892e-05,1.2831746062147433e-05,1.2686965419561602e-05,1.2869771126133855e-05,5.437440631794743e-05
9,5.9440713812364265e-05,1.4243332771002317e-05,6.051951277186163e-05,1.4372220903169364e-05,1.3941535144113004e-05,1.404389513481874e-05,1.4098911378823686e-05,1.4290471881395206e-05,5.99562881689053e-05
10,6.477384158642963e-05,1.5313276890083216e-05,6.6351582063362e-05,1.5494599210796878e-05,1.511480240878882e-05,1.516849260951858e-05,1.556698771310039e-05,1.558041367388796e-05,6.472977111116052e-05
11,7.08208026480861e-05,1.6249417967628688e-05,7.163500413298607e-05,1.6611285900580697e-05,1.6533951566088945e-05,1.658428845985327e-05,1.680007881077472e-05,1.6703193978173658e-05,7.027676474535838e-05
12,6.893420504638925e-05,1.5726735000498593e-05,6.938023580005392e-05,1.6383595720981248e-05,1.6084863091236912e-05,1.628390236874111e-05,1.6259526091744192e-05,1.650227204663679e-05,6.883605237817392e-05
13,6.454041431425139e-05,1.4943087080609985e-05,6.222786760190502e-05,1.6154122931766324e-05,1.6216472431551665e-05,1.5814048310858198e-05,1.5718707800260745e-05,1.6541082004550844e-05,6.291276804404333e-05
14,6.053230390534736e-05,1.6245865481323563e-05,5.7257602747995406e-05,1.5985389836714603e-05,1.620738476049155e-05,1.5670322682126425e-05,1.541652818559669e-05,1.6663672795402817e-05,5.806971967103891e-05
15,5.8174002333544195e-05,1.6279864212265238e-05,4.9028076318791136e-05,1.5711286323494278e-05,1.6516267351107672e-05,1.5338982848334126e-05,1.510569200036116e-05,1.657567554502748e-05,5.5734581110300496e-05
16,5.588457133853808e-05,1.6359372239094228e-05,4.488603735808283e-05,1.5271170923369937e-05,1.2834373592340851e-05,1.5151425941439813e-05,1.4803227713855447e-05,1.674744089541491e-05,4.402990452945232e-05
17,5.201573731028475e-05,1.21492485050112e-05,4.093956158612855e-05,1.523685841675615e-05,1.7078784367186017e-05,1.4993709555710666e-05,1.5001489373389632e-05,1.227352549904026e-05,3.810330599662848e-05
18,4.9782334826886654e-05,1.703497582639102e-05,3.592377106542699e-05,1.4958415704313666e-05,1.1703054951794911e-05,1.4741981431143358e-05,1.513888764748117e-05,1.7499049135949463e-05,3.246040432713926e-05
19,4.565916970022954e-05,1.714665995677933e-05,3.0619732569903135e-05,1.4645766896137502e-05,1.1039011042157654e-05,1.4616382941312622e-05,1.5175040061876643e-05,1.747240276017692e-05,2.677958400454372e-05
20,2.306791793671437e-05,1.025990059133619e-05,2.180492265324574e-05,1.4699599887535442e-05,1.0307597221981268e-05,1.4611507140216418e-05,1.5114798770810012e-05,1.7864540495793335e-05,2.110579407599289e-05
21,3.169870615238324e-05,9.628808584238868e-06,1.9636223441921175e-05,1.4637895219493656e-05,9.728265467856543e-06,1.4827409358986188e-05,1.5161185729084536e-05,9.749457603902556e-06,1.6107785995700397e-05
22,3.156780803692527e-05,1.803213672246784e-05,1.3819360901834443e-05,1.456810969102662e-05,9.13868370844284e-06,1.4734462638443802e-05,1.5008715308795216e-05,1.823609090934042e-05,1.1350246495567262e-05
