step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/r_hat_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/r_hat_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/r_hat_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/r_hat_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/r_hat_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/r_hat_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_hat_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_hat_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_hat_step
1,0.05008845899954163,0.05621078166673159,0.05,0.05133901895961249,0.0512055431936138,0.05890053717823947,0.060793695122476,0.06477538479321687,0.04271033075644433
2,0.03820109383731352,0.05437742226659785,0.06129790442139015,0.05129196722336799,0.0556515897289104,0.05723624691218137,0.06600252557368794,0.050747185289947296,0.04271033075644433
3,0.05185168117921691,0.0445316466732904,0.04549285572376916,0.04488262724311435,0.05539640190078702,0.05723624691218137,0.06600252557368794,0.03568734641417433,0.04572377993576392
4,0.04163025641330126,0.05179549231798493,0.04302807712836518,0.04488262724311435,0.055989558980976586,0.06851483712019205,0.06600252557368794,0.025821242569812355,0.035181371954126975
5,0.0401630661388229,0.049197531855595694,0.044022400953961795,0.03311120730099768,0.04483204153799257,0.06810148016259668,0.049614615654655546,0.029189204555986142,0.028406008877219547
6,0.04488354546268131,0.049197531855595694,0.05259313924534423,0.03356454104374247,0.0470862052215161,0.061480246691232504,0.04444596859885555,0.031508507639715806,0.028406008877219547
7,0.04488354546268131,0.04663143585297793,0.04070524280212683,0.03918866978930431,0.04903588366937916,0.04352204057807193,0.04766388131272418,0.041573680189108314,0.028406008877219547
8,0.03691896744629672,0.04340554031499572,0.04054660185192156,0.04088367514817353,0.05287420139183542,0.03866167519468738,0.053371223352546085,0.04175543718240822,0.028406008877219547
9,0.04896317698471645,0.0387069393686714,0.03540865817717145,0.04088367514817353,0.04893573662893521,0.031720051100224536,0.053371223352546085,0.040663520017748825,0.021005400734024016
10,0.03885100546211365,0.04162536702854552,0.037048523077219675,0.03690722727653128,0.038091767386564536,0.033322764474418294,0.060003678947365593,0.040663520017748825,0.021005400734024016
