step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/c_t_step
1,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
2,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
3,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
4,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
5,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
6,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
7,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
8,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
9,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
10,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
11,1.25e-05,2.9699999999999995e-06,1.25e-05,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.25e-05
12,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
13,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
14,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
15,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
16,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
17,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
18,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
19,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
20,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
21,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
22,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
23,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
24,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
25,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
26,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
27,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
28,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
29,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
30,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
31,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
32,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
33,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
34,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
35,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
36,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
37,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
38,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
39,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
40,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
41,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
42,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
43,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
44,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
45,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
46,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
47,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
48,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
49,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
50,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
51,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
52,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
53,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
