step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_A1_dot_A2_step
1,9.794021750396052e-05,0.0001403759821444257,-2.9927276191007683e-05,0.00010212829951890972,0.00010339571233444774,0.00014628860128666,0.00014912667442559306,0.00018322339731863152,4.546624741656104e-05
2,2.0222797207069195e-05,8.919448364562061e-05,0.00016001248792104828,9.648423357736615e-05,0.00012909194145694673,0.00011340973837075906,0.00013501211268796177,2.7775899445932655e-05,-2.9045959188415924e-05
3,0.00018094084437226895,3.451880745440511e-05,1.5445516149373735e-05,4.785246326285112e-05,0.00010325800029368548,-1.3681428050777134e-05,-7.321564630860361e-07,9.950172950130337e-07,9.36513434608803e-05
4,3.423384873112921e-05,0.0001310519875887331,7.417285975882843e-05,-7.749227529490782e-06,9.923491806010924e-05,0.00017027505317109183,-3.950142145401007e-06,4.694444844907248e-06,1.955692515475827e-05
5,6.609465915427685e-05,8.004408129294916e-05,9.057496036528746e-05,1.1163972639009945e-05,3.029357032147678e-05,0.00011581841758130015,2.203990167987591e-05,8.238091468514312e-05,2.4516719062425617e-05
6,0.00011196808216679532,-6.446076291575166e-06,0.00013793632086382332,6.196763929277507e-05,0.00010724423659387925,8.926989698438454e-05,5.38536597869729e-05,6.410950684063621e-05,-1.8109043149885587e-05
7,-0.00010276070093593076,8.172576399007065e-05,2.7482659802922356e-05,9.672198088630272e-05,9.333961328634084e-05,2.7943402881608703e-06,0.00010166708076864762,0.00011635160359873832,-3.793444678416792e-05
8,3.5705582145027094e-05,6.610004079069987e-05,9.562928585583228e-05,8.569188420425329e-05,9.709756585981676e-05,4.719290604530261e-05,0.00013506703035935292,8.5426790086487e-05,-2.6533817280596313e-05
9,0.00025178468613853804,5.033266206806256e-05,6.80428205508053e-05,-1.259919460680314e-05,7.338265703606182e-05,2.827651594876533e-05,-1.4269753787923736e-05,8.685961738479519e-05,1.2684048886185863e-05
10,4.7799609794839136e-05,8.01586748534982e-05,0.00013180291055513347,4.782398742792806e-05,2.386802223082176e-05,6.99061227345777e-05,0.00016069692481672965,-5.34592352901178e-05,-0.00012576153162558376
11,0.00014018667313598282,-1.3519840620315836e-05,0.0002003692559832625,1.0798608104833357e-05,4.826474413137842e-05,7.098049143931611e-05,4.365897869068307e-05,3.441418179594289e-05,4.121374043270984e-05
