step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step
1,7.585860653449925e-07,7.733812685953117e-07,7.328373078133067e-07,7.458765752681351e-07,7.534158158713528e-07,7.468575416409786e-07,7.279855281772347e-07,7.556164724392737e-07,7.145121407336873e-07
2,7.412497753314458e-07,7.252666474561108e-07,7.474016180429351e-07,7.466865109796017e-07,7.657860071058675e-07,7.937132326212886e-07,7.238945988529e-07,6.645503029439647e-07,6.780368255452069e-07
3,8.118640945227947e-07,6.78397150519096e-07,7.13315370131701e-07,6.80692200327924e-07,7.477966932648374e-07,7.137221328404105e-07,7.235518004786812e-07,7.151291850076761e-07,7.251347886750018e-07
4,7.425338927676716e-07,7.571299047689317e-07,7.620445185112426e-07,7.239471236675487e-07,7.17333296788072e-07,7.437093965808877e-07,6.944222393485226e-07,6.877411201748082e-07,7.248934622391453e-07
5,7.244046211550127e-07,7.379849101438715e-07,7.58545871885615e-07,7.480783461128371e-07,6.796664803531397e-07,7.196950559936092e-07,7.424955860898528e-07,8.054936200257733e-07,7.446451659794744e-07
6,7.714193065035814e-07,6.65501062109007e-07,7.572583208825235e-07,7.218148952185262e-07,7.788527292757302e-07,7.554947625943592e-07,6.949953214672224e-07,7.117579093561569e-07,7.154234734820697e-07
7,7.890248750335516e-07,7.672970237004133e-07,7.772143527397424e-07,7.398882777360594e-07,7.185817465599474e-07,6.973055049906282e-07,7.396421991595466e-07,7.320649127419413e-07,7.345799349943387e-07
8,7.46971477223181e-07,7.327721349987635e-07,8.346295657327505e-07,7.495464399807021e-07,6.849543886470597e-07,7.066022941048246e-07,7.796487303547052e-07,7.706335922487811e-07,8.864615025119755e-07
9,9.950251646110369e-07,7.242974156388717e-07,9.146481754670947e-07,6.984409633073578e-07,7.349270472982429e-07,7.2144215314923e-07,7.864198490204238e-07,8.158500387635497e-07,9.7901571129811e-07
10,9.46043284636233e-07,6.987096722190837e-07,9.717713152906742e-07,7.074408984267625e-07,7.292510164145387e-07,7.418628818038911e-07,8.026405808156413e-07,7.742958703530073e-07,9.46175666097552e-07
11,1.0761039570499322e-06,7.037712312730065e-07,1.0655978007542929e-06,7.517339490147437e-07,7.646206408653946e-07,7.69298276920301e-07,7.348559533768106e-07,7.213423036214791e-07,9.906279286530103e-07
12,1.1172259086526152e-06,7.2328070079926e-07,1.1494044306347457e-06,7.617573018256659e-07,7.430913023282546e-07,7.425125517610729e-07,7.454204918785e-07,7.638545558797638e-07,1.06553021345441e-06
13,1.092724598649383e-06,8.088097681520236e-07,1.0587416901337615e-06,7.846125692754015e-07,7.901389441282035e-07,7.718335604429355e-07,7.264339647465621e-07,7.694789398525211e-07,1.092741392657297e-06
14,1.131150266622285e-06,8.070330585281751e-07,1.0924514368892397e-06,8.144488483130219e-07,7.622429217060643e-07,7.736214600613379e-07,7.246549380311591e-07,7.806363569293231e-07,1.0840713831349046e-06
15,1.2116435332311716e-06,7.605973394910093e-07,1.099159799983265e-06,7.794503667223781e-07,7.813079280250164e-07,7.569484756959591e-07,7.615513423108376e-07,7.8604625731301e-07,1.2171856951959459e-06
16,1.222839842912291e-06,7.878411696235015e-07,1.124725927077712e-06,8.360445873477678e-07,7.899848209310546e-07,8.281504193055948e-07,7.57156670477976e-07,8.140547024292469e-07,1.1823997120343124e-06
17,1.236433769787336e-06,8.938763630299554e-07,1.3033521437576841e-06,9.486431905824572e-07,9.07686430301775e-07,8.774960449297168e-07,9.268354826272533e-07,8.879924186270926e-07,1.1180509367899722e-06
18,1.2375043328996433e-06,8.241128745081043e-07,1.1442576626737109e-06,8.324092412941441e-07,8.756281368742013e-07,8.676217224611694e-07,9.127515281845035e-07,9.248066348176244e-07,1.1222522211693823e-06
19,1.0441486052905491e-06,8.427700049675478e-07,1.039631125953228e-06,8.056405785465889e-07,8.241367560203203e-07,8.548361123759731e-07,8.429688844151677e-07,8.813068239464729e-07,1.0461646542802418e-06
20,1.149282078705702e-06,9.206661926243052e-07,1.1201258553758876e-06,9.073213952916774e-07,8.911237367239502e-07,9.57303568286146e-07,9.52423633889286e-07,9.316063573340749e-07,8.932237755782042e-07
21,1.2149257655665297e-06,8.963006151870107e-07,1.0833480799449772e-06,9.311692234479556e-07,9.309545824868967e-07,1.0107498696629872e-06,9.473878290407198e-07,9.25059657110626e-07,1.009114165030347e-06
22,1.2278174708567848e-06,9.51706951768965e-07,1.0412908631871838e-06,9.555686847788353e-07,9.276727369368575e-07,9.688311006114694e-07,9.999241228806955e-07,9.76858034986193e-07,1.039224428941401e-06
23,1.0733098551290722e-06,9.101582586834679e-07,9.71278497149845e-07,9.823647730815071e-07,8.840359221812846e-07,9.428992063008612e-07,9.889274688242368e-07,9.678232927757605e-07,1.0588120980229669e-06
24,1.1682004609128972e-06,9.585049487618144e-07,1.1481611023625333e-06,9.9237237138467e-07,9.539912939890772e-07,9.650523473060183e-07,1.0342225801922436e-06,9.800206187719509e-07,1.0344229977394215e-06
25,1.1506348510974943e-06,9.582974240200664e-07,1.0571440816345678e-06,9.995027523966153e-07,9.225272428138038e-07,9.782537455799754e-07,1.0186129009777186e-06,9.83735621918258e-07,9.569696578516788e-07
26,1.0754948307055456e-06,1.0314965244144493e-06,1.113120771585107e-06,1.06336552165703e-06,1.0025657594038229e-06,1.0301203335693337e-06,9.810386523406555e-07,9.67781129433815e-07,1.0228468513386389e-06
