step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_ema_step
1,7.585860653449925e-07,7.733812685953117e-07,7.328373078133067e-07,7.458765752681351e-07,7.534158158713528e-07,7.468575416409786e-07,7.279855281772347e-07,7.556164724392737e-07,7.145121407336873e-07
2,7.577192508443152e-07,7.709755375383516e-07,7.335655233247879e-07,7.459170720537086e-07,7.540343254330784e-07,7.49200326189994e-07,7.277809817110181e-07,7.510631639645083e-07,7.126883749742633e-07
3,7.60426493028239e-07,7.663466181873888e-07,7.325530156651337e-07,7.426558284674192e-07,7.537224438246663e-07,7.474264165225148e-07,7.275695226494011e-07,7.492664650166665e-07,7.133106956593001e-07
4,7.595318630152108e-07,7.658857825164658e-07,7.34027590807439e-07,7.417203932274258e-07,7.519029864728364e-07,7.472405655254334e-07,7.259121584843572e-07,7.461901977745737e-07,7.138898339882922e-07
5,7.577755009222007e-07,7.644907388978362e-07,7.352535048613479e-07,7.420382908716964e-07,7.482911611668517e-07,7.458632900488421e-07,7.267413298646319e-07,7.491553688871337e-07,7.154276005878514e-07
6,7.584576912012698e-07,7.595412550583947e-07,7.363537456624065e-07,7.410271210890378e-07,7.498192395722956e-07,7.463448636761179e-07,7.251540294447616e-07,7.472854959105848e-07,7.154273942325622e-07
7,7.599860503928839e-07,7.599290434904956e-07,7.383967760162734e-07,7.409701789213888e-07,7.482573649216782e-07,7.438928957418433e-07,7.258784379305009e-07,7.465244667521525e-07,7.163850212706512e-07
8,7.593353217343986e-07,7.58571198065909e-07,7.432084155020972e-07,7.413989919743544e-07,7.450922161079472e-07,7.420283656599922e-07,7.285669525517111e-07,7.47729923026984e-07,7.248888453327174e-07
9,7.711198138782304e-07,7.568575089445571e-07,7.51780403500347e-07,7.392510905410045e-07,7.445839576674618e-07,7.409990550344541e-07,7.314595973751466e-07,7.511359288138122e-07,7.37595188630987e-07
10,7.798659874161307e-07,7.539501171082833e-07,7.627799490898633e-07,7.376605809352923e-07,7.438173106048156e-07,7.410422463729259e-07,7.350186465471715e-07,7.52293925890772e-07,7.480242125043152e-07
11,7.946778858978206e-07,7.514411728165195e-07,7.779208416730848e-07,7.383642493392649e-07,7.448574771178446e-07,7.424550479002946e-07,7.350105118886534e-07,7.507463447773073e-07,7.6015439831175e-07
12,8.108052870355603e-07,7.500331492156566e-07,7.964950211211678e-07,7.395339019635849e-07,7.44769168378365e-07,7.424579230933334e-07,7.355310108881455e-07,7.5140175533243e-07,7.754231890688829e-07
13,8.249012526162513e-07,7.529719801624748e-07,8.096073545717974e-07,7.417878353291756e-07,7.470376571658569e-07,7.439267049608135e-07,7.350761585810664e-07,7.523056145584343e-07,7.912890992483036e-07
14,8.40213703316553e-07,7.556750340807599e-07,8.237495586876696e-07,7.45420885978368e-07,7.477979203928673e-07,7.454114427158397e-07,7.345550975535711e-07,7.537221516769789e-07,8.059282134426336e-07
15,8.587851948122839e-07,7.559211493512724e-07,8.375200707524491e-07,7.471223600155685e-07,7.494734207744746e-07,7.459882943648456e-07,7.359049097914344e-07,7.553383569587803e-07,8.264910875302991e-07
16,8.769879272172841e-07,7.575171503648838e-07,8.518803635687124e-07,7.515684713821784e-07,7.514989907823037e-07,7.500964006118829e-07,7.369674978257614e-07,7.582741742323037e-07,8.442865187554998e-07
17,8.949602193457867e-07,7.643351109981373e-07,8.74453952578161e-07,7.614222073421922e-07,7.593083627582773e-07,7.564663828277747e-07,7.46460897065836e-07,7.647600864520431e-07,8.579747396572234e-07
18,9.120874250234795e-07,7.673239991736356e-07,8.879441380829383e-07,7.649715590397898e-07,7.651243514640734e-07,7.620241498094445e-07,7.547754286217692e-07,7.727624138703222e-07,8.711886137328312e-07
