step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_dot_positive_step
1,1,1,0,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,0,0,1
4,1,1,1,0,1,1,0,1
5,1,1,1,1,1,1,1,1
6,1,0,1,1,1,1,1,1
7,0,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,0,1,1,0,1
10,1,1,1,1,1,1,1,0
11,1,0,1,1,1,1,1,1
12,1,0,0,1,1,1,1,1
13,0,0,1,0,1,0,1,1
14,0,1,1,1,1,1,0,1
15,1,1,1,1,1,0,1,1
16,1,1,1,1,0,1,0,1
17,1,0,1,1,1,0,1,0
18,0,1,1,1,0,0,1,1
19,0,1,0,1,0,1,1,1
20,1,0,1,1,0,1,1,1
21,1,0,1,1,0,1,1,0
22,1,1,1,1,0,1,1,1
23,0,0,1,1,1,0,1,0
24,0,0,1,1,1,1,1,1
25,1,1,0,1,1,0,1,0
26,0,1,1,1,1,0,0,0
27,0,0,1,1,1,0,1,1
28,1,0,1,1,1,1,0,1
29,1,1,1,0,0,0,0,0
30,1,1,1,1,1,0,0,1
31,0,1,1,0,1,0,0,1
32,0,1,1,1,1,1,0,1
33,0,0,0,1,1,1,1,1
34,0,0,0,1,1,0,0,0
35,1,1,0,1,0,1,1,0
36,0,0,0,1,1,0,0,0
37,1,0,1,0,1,1,1,1
38,0,1,0,1,1,1,1,0
39,1,0,0,0,1,0,0,1
40,0,1,0,0,0,1,1,0
41,0,1,1,1,0,1,1,1
42,0,1,0,1,1,1,1,0
43,0,0,1,1,1,0,0,0
44,1,0,1,1,0,0,0,1
45,1,0,1,0,0,1,0,0
46,1,0,0,0,0,1,0,1
47,1,1,1,0,1,1,1,1
48,1,1,0,1,1,1,0,0
49,1,1,1,0,0,1,0,0
50,0,1,0,0,0,0,1,0
51,1,0,0,0,1,1,0,1
52,0,1,1,0,1,0,1,1
53,1,1,1,1,0,1,0,0
54,0,0,0,1,0,1,0,1
55,1,0,1,1,1,0,0,1
56,1,0,0,0,1,0,1,1
57,1,1,1,1,0,0,1,0
58,1,0,0,1,0,0,1,1
59,1,0,1,1,1,0,0,1
60,0,1,1,0,1,0,0,0
61,0,1,1,0,0,0,1,0
62,1,1,0,0,0,0,0,1
63,0,0,0,0,0,1,0,1
64,0,0,1,0,1,1,0,0
65,0,1,1,1,0,0,1,0
66,0,1,0,0,0,1,0,1
67,1,0,1,0,0,0,1,0
68,1,1,0,0,1,1,0,0
69,1,1,1,1,1,1,1,1
70,1,1,1,0,1,1,0,1
71,1,0,0,1,0,0,0,1
72,1,1,1,1,1,0,1,0
73,0,0,1,1,0,1,1,1
74,1,0,0,0,1,1,0,1
75,1,1,0,1,1,0,1,1
76,1,1,0,1,0,1,1,1
77,1,0,0,0,1,0,0,0
78,1,1,0,1,0,1,1,0
79,1,0,1,0,1,1,1,1
80,1,0,1,0,0,0,0,0
81,1,1,0,1,1,0,0,1
82,0,1,0,0,0,1,1,1
83,0,1,1,0,0,1,1,1
84,0,0,1,1,0,0,0,0
85,1,0,1,1,1,0,1,1
86,1,0,1,0,1,0,0,1
87,1,1,1,0,1,1,0,1
88,0,0,0,1,1,1,1,0
89,1,1,1,0,1,0,0,1
90,0,1,0,0,0,1,0,0
91,1,1,0,1,0,1,1,0
92,1,0,0,0,1,1,1,1
93,1,1,0,1,0,1,0,0
