step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/score/mean_step
1,-0.937143325805664,-0.9216575622558594,-0.946505069732666,-0.9405245780944824,-0.9704558849334716,-0.945955753326416,-1.034715175628662,-1.0411436557769775,-1.0687146186828609
2,-0.9887640476226808,-1.048686981201172,-1.0886189937591553,-1.0780832767486572,-1.0406780242919922,-0.9993305206298828,-1.1745359897613523,-1.157182693481445,-1.1500964164733891
3,-1.0307679176330566,-1.1090188026428225,-1.1286253929138184,-1.106701374053955,-1.0339839458465576,-1.0271446704864502,-1.1275153160095217,-1.1295380592346191,-1.1330599784851074
4,-1.0979952812194824,-1.018115758895874,-0.9819276332855223,-0.9759237766265868,-1.1092808246612549,-1.1497106552124023,-1.1379871368408203,-1.1449358463287354,-1.133443832397461
5,-1.134202480316162,-1.0546472072601318,-1.018991470336914,-1.041386604309082,-1.179335117340088,-1.201833724975586,-0.962111234664917,-0.9513072967529296,-0.9254374504089355
6,-0.8407058715820312,-1.111354112625122,-1.0187296867370603,-1.1059114933013916,-0.9718117713928224,-1.0186591148376465,-1.1108293533325195,-1.107630491256714,-1.0349247455596924
7,-0.7449476718902588,-1.0608150959014893,-0.8003263473510742,-1.0560052394866943,-0.970099687576294,-0.9853482246398926,-1.1419451236724854,-1.1528820991516109,-1.0119893550872805
8,-0.738114595413208,-1.0238230228424072,-0.7489044666290283,-1.0684022903442385,-1.0619776248931885,-1.059593677520752,-0.9634349346160888,-0.9568521976470948,-0.596116304397583
9,-0.5903110504150391,-1.0937352180480957,-0.5942087173461914,-1.065915584564209,-1.039256572723389,-1.0231044292449951,-0.8842382431030273,-0.8868539333343506,-0.38727641105651855
10,-0.4614980220794678,-1.068394660949707,-0.5660970211029053,-1.0449151992797852,-1.017994403839111,-1.0292565822601318,-0.8708899021148682,-0.8976480960845947,-0.29381346702575684
11,-0.24514269828796387,-0.878882884979248,-0.3080441951751709,-0.8740565776824951,-0.8784751892089844,-0.9172646999359132,-1.0979976654052734,-1.0529367923736572,-0.4458200931549072
12,-0.2988591194152832,-0.9054925441741944,-0.2538025379180908,-0.8608577251434326,-0.9354941844940186,-0.9798433780670166,-0.9329304695129396,-0.9450573921203612,-0.3251962661743164
13,-0.43657445907592773,-0.8232369422912598,-0.2617921829223633,-0.8098666667938232,-0.94870924949646,-0.9275927543640136,-0.894277811050415,-0.8832111358642578,-0.42675089836120605
14,-0.41364026069641113,-0.8457837104797363,-0.314486026763916,-0.770033597946167,-0.9143548011779784,-0.9091639518737792,-0.8315064907073975,-0.8082923889160156,-0.3684055805206299
15,-0.3947608470916748,-0.8588218688964844,-0.30520105361938477,-0.833853006362915,-0.8771612644195557,-0.8487024307250977,-0.7923483848571777,-0.7701494693756104,-0.3347501754760742
16,-0.3268423080444336,-0.7936279773712158,-0.40613722801208496,-0.7617769241333008,-0.6225836277008057,-0.6188018321990967,-0.7415387630462646,-0.79408860206604,-0.32090020179748535
17,-0.2799341678619385,-0.5464749336242676,-0.17774295806884766,-0.47957682609558105,-0.5816464424133301,-0.532233715057373,-0.6086318492889404,-0.5645606517791748,-0.2211318016052246
18,-0.2800722122192383,-0.6159822940826416,-0.255206823348999,-0.6153452396392822,-0.5993838310241699,-0.6588191986083984,-0.5105078220367432,-0.5559060573577881,-0.18371343612670896
19,-0.27942728996276855,-0.6050443649291992,-0.2841508388519287,-0.6294739246368408,-0.6832587718963623,-0.6503665447235107,-0.6759505271911621,-0.6848163604736328,-0.2553391456604004
20,-0.26400160789489746,-0.5668528079986572,-0.29366111755371094,-0.5236029624938965,-0.647197961807251,-0.5937955379486084,-0.6165621280670166,-0.5986320972442627,-0.3429982662200928
21,-0.19454503059387207,-0.5615978240966797,-0.22417497634887695,-0.5222411155700684,-0.5353870391845703,-0.48646068572998047,-0.4612762928009033,-0.4416022300720215,-0.15563321113586426
22,-0.1938939094543457,-0.5793721675872803,-0.29732561111450195,-0.5728054046630859,-0.5777907371520996,-0.4803018569946289,-0.35643577575683594,-0.3893115520477295,-0.21509099006652832
23,-0.34119677543640137,-0.446333646774292,-0.23447346687316897,-0.4281034469604492,-0.6284682750701904,-0.5852608680725098,-0.5252718925476074,-0.4475290775299072,-0.25562238693237305
24,-0.22318482398986816,-0.41472840309143066,-0.1817758083343506,-0.40692687034606934,-0.4925727844238281,-0.3909897804260254,-0.3670659065246582,-0.35926270484924316,-0.21039056777954104
25,-0.204113245010376,-0.40901708602905273,-0.2227299213409424,-0.3393261432647705,-0.49985814094543457,-0.4578664302825928,-0.35689830780029297,-0.29772424697875977,-0.20074868202209473
26,-0.22715997695922852,-0.2779726982116699,-0.14395904541015625,-0.2827737331390381,-0.4487438201904297,-0.41004371643066406,-0.3196392059326172,-0.315915584564209,-0.19337058067321777
27,-0.21733427047729492,-0.4638240337371826,-0.23847579956054688,-0.4226377010345459,-0.4548370838165283,-0.435368299484253,-0.38022637367248535,-0.4023730754852295,-0.15369939804077148
28,-0.1660597324371338,-0.403933048248291,-0.20073366165161133,-0.3856942653656006,-0.28813624382019043,-0.3475644588470459,-0.38517332077026367,-0.40563225746154785,-0.22462153434753415
29,-0.05238151550292969,-0.45424461364746094,-0.25872206687927246,-0.3964881896972656,-0.24259138107299805,-0.24649405479431152,-0.2571091651916504,-0.28967714309692383,-0.16527795791625977
