step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-critic/returns/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-critic/returns/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-critic/returns/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/returns/mean_step
1,-0.12906640768051147,-0.1401500701904297,-0.13484616577625275,-0.11749334633350372,-0.13190917670726776,-0.12099451571702956,-0.12622593343257904,-0.1198130026459694,-0.11854933202266692
2,-0.13874945044517517,-0.1210511401295662,-0.1130569651722908,-0.11870379745960236,-0.1377463340759277,-0.1347737014293671,-0.1143893301486969,-0.08865304291248322,-0.10952525585889816
3,-0.12867149710655212,-0.11708308011293413,-0.10199128836393356,-0.10239921510219574,-0.12377075850963593,-0.13586848974227905,-0.10753990709781648,-0.10663590580224992,-0.1088770180940628
4,-0.12319693714380264,-0.10510507225990295,-0.11831220239400864,-0.12383317947387695,-0.12990973889827728,-0.126715287566185,-0.120433010160923,-0.12813463807106018,-0.13109591603279114
5,-0.11010847985744476,-0.1268482804298401,-0.13499268889427185,-0.14644934237003326,-0.11848414689302444,-0.11230050027370451,-0.11825226992368698,-0.1314770132303238,-0.13677436113357544
6,-0.13368123769760132,-0.10750243067741394,-0.13036419451236725,-0.11530779302120207,-0.13503028452396393,-0.12635713815689087,-0.10818610340356828,-0.12050778418779372,-0.11625998467206956
7,-0.13621236383914948,-0.12253406643867493,-0.1484164446592331,-0.1330048441886902,-0.10573472827672958,-0.11289943754673004,-0.1098804920911789,-0.10969246178865431,-0.13149772584438324
8,-0.14362439513206482,-0.1132008656859398,-0.14227546751499176,-0.10411171615123747,-0.11889903247356416,-0.1071080043911934,-0.13288457691669464,-0.1295931339263916,-0.16402673721313477
9,-0.16737385094165802,-0.12767647206783295,-0.14458702504634857,-0.1199984923005104,-0.11371393501758575,-0.11523311585187912,-0.16327495872974396,-0.15115530788898468,-0.16856558620929718
10,-0.19640052318573,-0.12022694945335388,-0.15859834849834442,-0.11242250353097916,-0.12686704099178314,-0.12377516180276872,-0.1477617621421814,-0.14080679416656494,-0.15970873832702637
11,-0.16087380051612854,-0.12722446024417877,-0.13901124894618988,-0.12796570360660553,-0.1191362515091896,-0.13049936294555664,-0.1297747939825058,-0.12362337857484818,-0.1796436905860901
12,-0.11401060968637466,-0.1350971162319183,-0.12703129649162292,-0.13230445981025696,-0.12130619585514069,-0.12479527294635771,-0.11900172382593156,-0.1372869312763214,-0.15325400233268738
13,-0.09256815165281296,-0.13209067285060885,-0.06386473029851913,-0.14060726761817932,-0.14201436936855316,-0.1478743553161621,-0.11396057903766632,-0.12956246733665466,-0.10548324137926102
14,-0.054067183285951614,-0.13774585723876953,-0.05897440388798714,-0.11807325482368468,-0.13483494520187378,-0.15051712095737457,-0.1273612380027771,-0.13307534158229828,-0.029081381857395172
15,-0.017637120559811592,-0.14564308524131775,-0.022775428369641304,-0.14072862267494202,-0.12812069058418274,-0.14277996122837067,-0.15989503264427185,-0.1663188636302948,-0.024567171931266785
16,-0.01962495595216751,-0.14617228507995603,-0.0629611685872078,-0.14249886572360992,-0.14025664329528809,-0.16693367063999176,-0.15564577281475067,-0.13835865259170532,-0.03298399969935417
17,-0.03132835030555725,-0.14464519917964935,-0.03306005150079727,-0.18076568841934204,-0.14950412511825562,-0.1612635850906372,-0.1809203326702118,-0.166823610663414,-0.04903392493724823
18,-0.03206463158130646,-0.1547575294971466,-0.04435307905077934,-0.15301795303821564,-0.15975311398506165,-0.15387971699237823,-0.14134594798088074,-0.15652260184288025,-0.04368348047137261
19,-0.0512135848402977,-0.1545058935880661,-0.04803040623664856,-0.15958444774150848,-0.1548881083726883,-0.17653590440750122,-0.16934946179389954,-0.1656557470560074,-0.03385167196393013
20,-0.04963773488998413,-0.17147107422351837,-0.059894267469644547,-0.17708681523799896,-0.1628011167049408,-0.15237250924110413,-0.14857937395572662,-0.16151587665081024,-0.02557524666190147
21,-0.05054722726345062,-0.15954066812992096,-0.05429459363222122,-0.1717081367969513,-0.18190497159957889,-0.19005408883094788,-0.19101114571094513,-0.19097450375556943,-0.0379633791744709
22,-0.07771573960781097,-0.1890956908464432,-0.047072604298591614,-0.19184713065624237,-0.17741087079048157,-0.18885622918605804,-0.16539789736270905,-0.175372913479805,-0.022861696779727936
23,-0.047209762036800385,-0.1647757738828659,-0.045259471982717514,-0.17328479886054993,-0.16838763654232025,-0.17415568232536316,-0.17301955819129944,-0.1745074838399887,-0.04962735250592232
24,-0.05876430124044418,-0.18848223984241488,-0.04698295518755913,-0.17488670349121094,-0.1931936889886856,-0.18619076907634735,-0.1547183394432068,-0.1824059933423996,-0.0373917892575264
25,-0.07151084393262863,-0.17730632424354553,-0.0536184161901474,-0.14844456315040588,-0.1688593626022339,-0.17203141748905182,-0.18565070629119873,-0.14594730734825134,-0.050071097910404205
26,-0.06622286140918732,-0.17847317457199097,-0.05911070853471756,-0.169528990983963,-0.18572081625461576,-0.15789549052715302,-0.18463650345802307,-0.17162561416625977,-0.04237958788871765
27,-0.09011829644441605,-0.18509165942668915,-0.06235615164041519,-0.17225944995880127,-0.2055377960205078,-0.19093917310237885,-0.15941226482391355,-0.16563232243061066,-0.0331852100789547
28,-0.11521971225738524,-0.16702018678188324,-0.06188087537884712,-0.1746981143951416,-0.1814577579498291,-0.18762581050395968,-0.1573813408613205,-0.1782595068216324,-0.04754252731800079
29,-0.05628383904695511,-0.1820996254682541,-0.05539865791797638,-0.18158558011054993,-0.1513102501630783,-0.1204393431544304,-0.13189691305160522,-0.14154373109340668,-0.08413976430892944
30,-0.07198528200387955,-0.1487175226211548,-0.05901181697845459,-0.15432821214199066,-0.1457650065422058,-0.14368394017219543,-0.14633098244667053,-0.18516458570957184,-0.06347355246543884
31,-0.04677607864141464,-0.16781185567378998,-0.060505956411361694,-0.15529777109622955,-0.12064508348703384,-0.1317986100912094,-0.1358260214328766,-0.160660520195961,-0.05802861601114273
32,-0.07414896786212921,-0.17119427025318146,-0.0501473993062973,-0.149447962641716,-0.13827084004878998,-0.11907953768968582,-0.14005355536937714,-0.1616414338350296,-0.07694918662309647
33,-0.06833846122026443,-0.12802453339099884,-0.06618934869766235,-0.1217597872018814,-0.10897501558065414,-0.13258762657642365,-0.09415963292121889,-0.12718884646892548,-0.054520342499017715
34,-0.08392718434333801,-0.11560599505901337,-0.07141105085611343,-0.11830062419176102,-0.10438823699951172,-0.11070308089256288,-0.08146099001169205,-0.08906862884759903,-0.04469846934080124
35,-0.056857991963624954,-0.1288328617811203,-0.07260121405124664,-0.13641910254955292,-0.10784467309713364,-0.10678418725728989,-0.08822513371706009,-0.0921902060508728,-0.052951741963624954
36,-0.07567231357097626,-0.15552854537963867,-0.08509387075901031,-0.14212168753147125,-0.06161239743232727,-0.08980687707662582,-0.12545305490493774,-0.12251491844654085,-0.08371938019990921
37,-0.07474878430366516,-0.1070949360728264,-0.07112910598516464,-0.10658035427331924,-0.08986595273017883,-0.13279275596141815,-0.11664631962776184,-0.11188293248414992,-0.05735365301370621
38,-0.0656871348619461,-0.115700826048851,-0.10436498373746872,-0.12653987109661102,-0.08102992922067642,-0.07200197875499725,-0.09592775255441666,-0.08885567635297775,-0.054101403802633286
39,-0.07604076713323593,-0.10743551701307295,-0.10039693117141724,-0.12303213775157928,-0.08513408154249191,-0.07665736228227615,-0.051711369305849075,-0.06976646929979324,-0.0702047124505043
40,-0.04917728155851364,-0.12460010498762132,-0.04103962332010269,-0.09109659492969512,-0.06964027136564255,-0.08131986111402512,-0.07860776036977768,-0.08164318650960922,-0.06769924610853195
41,-0.09505470842123032,-0.1213497444987297,-0.059601377695798874,-0.11821848899126051,-0.06361910700798035,-0.038577497005462646,-0.051392726600170135,-0.07207491993904114,-0.06598122417926788
42,-0.09815964102745056,-0.0994097739458084,-0.055572811514139175,-0.0860704556107521,-0.07323406636714935,-0.07004959136247635,-0.06652269512414932,-0.10061899572610856,-0.07130349427461624
43,-0.04875651001930237,-0.11933643370866776,-0.061288416385650635,-0.06632024049758911,-0.04625604674220085,-0.09188784658908844,-0.09099439531564713,-0.11583787947893144,-0.09564714133739471
44,-0.06962327659130096,-0.06910962611436844,-0.06170530989766121,-0.08946151286363602,-0.08187307417392731,-0.07777728885412216,-0.0703941136598587,-0.10259690135717392,-0.07720723003149033
45,-0.055679477751255035,-0.08374594897031784,-0.07346329838037491,-0.06136297807097435,-0.07118397206068039,-0.07226210087537766,-0.08585835993289948,-0.09537692368030548,-0.07526441663503647
46,-0.05983054265379906,-0.11792246252298356,-0.07072864472866058,-0.09870767593383788,-0.08631916344165802,-0.08961352705955505,-0.07462940365076065,-0.04855426028370857,-0.0422988086938858
47,-0.06208766624331474,-0.06753864139318466,-0.07448288053274155,-0.09878186881542206,-0.05600677058100701,-0.06971396505832672,-0.08038477599620819,-0.10055030882358552,-0.06787443906068802
48,-0.04106348752975464,-0.09320994466543198,-0.05449562892317772,-0.06567218899726868,-0.07115231454372406,-0.0684356689453125,-0.0679541677236557,-0.05889715999364853,-0.05930715426802635
49,-0.0434822179377079,-0.0952419862151146,-0.08908427506685257,-0.08426833897829056,-0.08306445926427841,-0.0904129520058632,-0.06355847418308258,-0.065792977809906,-0.06007365509867668
50,-0.03511938080191612,-0.11351721733808516,-0.087148018181324,-0.07318364828824997,-0.08576075732707977,-0.07406415045261383,-0.06876730918884277,-0.05486699566245079,-0.05504399910569191
51,-0.06285151839256287,-0.11014842987060548,-0.10240639001131058,-0.07715681195259094,-0.08568133413791656,-0.06317941099405289,-0.07325984537601471,-0.08082949370145798,-0.07294268906116486
52,-0.05396879464387894,-0.09081947803497314,-0.08174893260002136,-0.060025669634342194,-0.07128861546516418,-0.10463858395814896,-0.058051444590091705,-0.08196789771318436,-0.07450977712869644
53,-0.033373162150382996,-0.08829174935817719,-0.0709969699382782,-0.05494052171707153,-0.07846914231777191,-0.06718587875366211,-0.10235611349344254,-0.06749778985977173,-0.05602685734629631
