step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-response_length/mean_step
1,5881.1572265625,5866.818359375,5905.529296875,5868.5146484375,5880.990234375,5839.373046875,6146.5205078125,6124.84375,6194.3291015625
2,5926.0029296875,6150.91015625,6226.6220703125,6232.984375,6082.521484375,6011.79296875,6377.111328125,6455.068359375,6397.458984375
3,6026.876953125,6270.736328125,6343.51171875,6297.30859375,6028.9638671875,6056.177734375,6417.9951171875,6429.0927734375,6358.5966796875
4,6261.4130859375,5979.384765625,5969.2138671875,6002.1455078125,6315.568359375,6325.4287109375,6226.3857421875,6200.2626953125,6242.01953125
5,6398.623046875,6153.7138671875,5960.1513671875,6124.96484375,6489.91015625,6473.9033203125,5879.7548828125,5803.3505859375,5664.443359375
6,5623.703125,6286.75390625,6089.0791015625,6257.501953125,5891.1640625,5921.6337890625,6277.404296875,6243.767578125,6133.19921875
7,5459.1181640625,6201.626953125,5726.03515625,6150.2021484375,5976.8203125,5917.2294921875,6313.7138671875,6427.1611328125,6097.2744140625
8,5450.1904296875,6126.0556640625,5479.8603515625,6168.4609375,6228.3994140625,6254.0927734375,5877.5986328125,5898.458984375,5097.4482421875
9,4695.455078125,6214.8671875,4938.064453125,6140.205078125,6080.5576171875,6024.83984375,5673.658203125,5685.1884765625,4527.7607421875
10,4176.2626953125,6101.6826171875,4381.3740234375,6157.1787109375,6179.3154296875,6153.3603515625,5732.7744140625,5798.501953125,4150.025390625
11,2954.7216796875,5733.6123046875,3270.8671875,5792.5576171875,5873.3037109375,5883.919921875,6291.5751953125,6177.6533203125,3884.3447265625
12,2536.1708984375,5830.91796875,2493.7138671875,5698.9716796875,6000.9599609375,5984.2880859375,5964.26953125,5960.080078125,3062.7978515625
13,1994.810546875,5701.9638671875,1835.99609375,5680.8486328125,6031.8056640625,5926.9248046875,5939.9072265625,5909.1767578125,2315.3017578125
14,1620.0869140625,5528.2509765625,1646.9091796875,5448.4111328125,5855.88671875,5830.5166015625,5495.0771484375,5509.373046875,1608.578125
15,1414.875,5650.2548828125,1605.17578125,5615.0576171875,5845.46484375,5739.455078125,5597.751953125,5458.685546875,1470.333984375
16,1321.2333984375,5619.822265625,1511.9970703125,5485.498046875,5210.7041015625,5167.6884765625,5469.0810546875,5529.8779296875,1447.357421875
17,1411.0751953125,4971.46875,1340.033203125,4866.9208984375,5071.1220703125,4888.3017578125,5106.4755859375,5016.7607421875,1521.0009765625
18,1543.1357421875,5263.0263671875,1513.73828125,5133.4501953125,5164.2646484375,5205.2509765625,4942.126953125,4835.26171875,1529.740234375
19,1861.1767578125,5209.0458984375,1767.8876953125,5194.841796875,5194.0751953125,5122.0546875,5107.751953125,4975.4326171875,1734.84765625
20,1916.107421875,4826.001953125,1754.625,4764.8515625,4987.03125,4779.685546875,4877.71484375,4664.8916015625,1796.873046875
21,1868.296875,4694.681640625,1868.3212890625,4529.28515625,4529.34765625,4199.931640625,4331.8818359375,4201.9697265625,1723.205078125
22,2144.0009765625,4649.740234375,1839.5078125,4370.453125,4793.59375,4342.427734375,4184.9658203125,4023.310546875,1768.11328125
23,2282.595703125,4479.5498046875,1948.251953125,4250.2412109375,4964.4970703125,4386.1044921875,4235.21484375,4025.37109375,1876.1962890625
24,2241.16796875,4057.294921875,1863.6005859375,3796.8251953125,4457.296875,3949.49609375,3760.1162109375,3651.2353515625,1837.46875
25,2149.681640625,4142.3330078125,2011.60546875,3759.1123046875,4105.333984375,3650.7412109375,3543.3173828125,3543.42578125,1959.9013671875
26,2397.04296875,3605.013671875,1916.9609375,3194.951171875,4067.953125,3646.0380859375,3551.1005859375,3448.1376953125,2038.34765625
27,2355.427734375,3794.443359375,2084.7158203125,3383.36328125,3611.955078125,3311.8173828125,3426.10546875,3495.7109375,2210.919921875
