step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/lr_step
1,1.2499999999999999e-06,1.2499999999999999e-06,1.2499999999999999e-06,3.1e-07,3.1e-07,3.1e-07
2,1.2499999999999999e-06,1.2499999999999999e-06,1.2499999999999999e-06,3.1e-07,3.1e-07,3.1e-07
3,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,6.2e-07,6.2e-07,6.2e-07
4,3.7499999999999997e-06,3.7499999999999997e-06,3.7499999999999997e-06,9.3e-07,9.3e-07,9.3e-07
5,4.9999999999999996e-06,4.9999999999999996e-06,4.9999999999999996e-06,1.24e-06,1.24e-06,1.24e-06
6,6.2499999999999995e-06,6.2499999999999995e-06,6.2499999999999995e-06,1.55e-06,1.55e-06,1.55e-06
7,7.499999999999999e-06,7.499999999999999e-06,7.499999999999999e-06,1.8599999999999998e-06,1.8599999999999998e-06,1.8599999999999998e-06
8,8.75e-06,8.75e-06,8.75e-06,2.17e-06,2.17e-06,2.17e-06
9,1e-05,1e-05,1e-05,2.48e-06,2.48e-06,2.48e-06
10,1.125e-05,1.125e-05,1.125e-05,2.79e-06,2.79e-06,2.79e-06
11,1.25e-05,1.25e-05,1.25e-05,3.1e-06,3.1e-06,3.1e-06
12,1.25e-05,1.25e-05,1.25e-05,3.1e-06,3.1e-06,3.1e-06
13,1.1560352323093392e-05,1.15e-05,1.1687537053615231e-05,3.1e-06,3.1e-06,3.1e-06
14,1.1060843537011736e-05,1.083632057777529e-05,1.1214539543252898e-05,3.1e-06,3.1e-06,3.1e-06
15,1.03412653055176e-05,1.0004480866662932e-05,1.0759363225980006e-05,3.1e-06,3.1e-06,3.1e-06
16,9.443924641918224e-06,9.310684129673272e-06,1.047880356976772e-05,3.1e-06,3.1e-06,3.1e-06
17,8.79100732246356e-06,8.51335516209159e-06,9.973504462209648e-06,3.1e-06,3.1e-06,3.1e-06
18,8.049208786956269e-06,7.716026194509908e-06,9.468205354651576e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
19,7.307410251448981e-06,6.993757378066017e-06,9.802735874717553e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
20,6.565611715941692e-06,6.2071512892183035e-06,9.417412428248632e-06,3.1e-06,3.1e-06,3.1e-06
21,5.8790300564592745e-06,5.420545200370593e-06,9.032088981779713e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
22,2.4999999999999998e-06,2.4999999999999998e-06,2.872722529571201e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
23,2.4999999999999998e-06,2.4999999999999998e-06,2.6309364601441576e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
24,2.645333007613161e-06,3.174734693398752e-06,2.872722529571201e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
25,4.3699870310694674e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
26,4.1042490996035575e-06,5.190231719839832e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
27,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
28,3.0462933247296358e-06,2.5562911240325515e-06,4.750011936669967e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
29,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
30,3.66033726241058e-06,2.4999999999999998e-06,2.6309364601441576e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
31,3.4503208991918978e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
32,2.4999999999999998e-06,3.2366147927833428e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
33,2.4999999999999998e-06,3.439655241915341e-06,4.638739180142066e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
34,3.66033726241058e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
35,3.585289947564337e-06,3.464968564240736e-06,2.7790346183628143e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
36,2.4999999999999998e-06,5.189358907318822e-06,5.0694096102521135e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
37,3.79279290901293e-06,2.4999999999999998e-06,4.689442892546231e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
38,2.6609594058067e-06,2.4999999999999998e-06,2.600427460540531e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
39,2.645333007613161e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
40,3.2516783357680497e-06,3.174734693398752e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
41,3.701199838139528e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
42,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
43,7.176541043110939e-06,2.4999999999999998e-06,3.3347151557337127e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
44,5.9279347489412966e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
45,4.636205746002382e-06,3.464968564240736e-06,2.56293958506886e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
46,2.4999999999999998e-06,3.595359206384562e-06,3.716112899193441e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
47,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
48,2.645333007613161e-06,3.8144942523450558e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
