step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_A1_dot_A2_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_A1_dot_A2_step
1,3.892780698511884e-05,1.0961715212102618e-05,6.524343861242e-05,0.00016358368893312091,0.00014073640539859263,0.00010542558243199082
2,5.714176089610828e-05,5.057417630045487e-05,0.00014765311487292495,5.703452582963091e-06,9.45592288906421e-05,7.806271543934716e-05
3,9.009812957785966e-05,1.7006044673993667e-05,2.7004905984285363e-05,-4.2540676956877356e-06,0.00011258913675663858,-6.3963804220775406e-06
4,5.196219150488917e-05,2.696843178434515e-05,4.4454684537919674e-05,7.644292831779164e-05,4.639169772401017e-05,-2.5145055717234097e-05
5,6.160802261927025e-05,3.9851672092845186e-05,4.5244312163277326e-05,0.0001285798871161477,8.986897303409469e-05,-1.6772676026294702e-05
6,0.00013043211619697838,-2.6587322137832897e-05,3.607996676709602e-05,3.457764488527106e-05,3.4548284864736483e-05,0.00014121152542284973
7,5.112981665205353e-05,0.00013776924473106003,0.0001281943633786695,0.00014549716297702404,3.5690856747491547e-08,-0.0001018472592538756
8,3.102071706258273e-05,-1.5680723815054218e-05,0.00018481310773468032,3.364645504417968e-05,6.928864351807488e-06,0.00018516542868856576
9,-4.1833826402052696e-05,0.00017589360340756,-2.6432647388997384e-05,0.0001560151055598292,0.00014072778561336166,5.1513430482205526e-06
10,-1.2587214547060847e-05,-6.712922230816649e-05,0.00013004498445003086,7.34928381764569e-05,7.401734885638267e-05,8.019916231821052e-06
11,-2.6171277460535227e-06,0.0001435558716586285,7.147748504731603e-05,6.978892578753061e-05,2.5514288546682987e-05,3.0355277155729112e-05
12,-0.0001916560481660741,9.32606585039758e-06,0.00022088312596097224,-6.389407179030279e-07,8.213283613672898e-05,3.620874040345536e-05
13,5.092096486007893e-05,1.2941110107502797e-06,6.302600055246945e-05,5.155118634088145e-05,6.968147000107441e-05,0.00013719527958438695
14,-3.837695717909194e-06,0.0002904829701449251,9.258498313688032e-05,5.770430025128815e-05,-8.122752003956961e-05,5.215379944394659e-05
15,-3.086888507554481e-05,-8.480632211559673e-05,0.00014229272432981526,2.2096420336911555e-05,0.00010657052733337904,-1.6968141742112436e-05
16,8.54934056546508e-05,0.00013778410216195731,0.00028762179863924594,0.00016876960319335207,-2.6448457718383887e-05,0.0002143283235120122
