step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_step
1,7.512435527883443e-07,7.262427186300539e-07,7.432493210950398e-07,7.717443799296751e-07,7.57761114082525e-07,7.424140248125378e-07
2,7.641156596328873e-07,7.055038139400511e-07,7.293454888470489e-07,7.208779688269155e-07,6.820945250977542e-07,7.073507943313851e-07
3,7.44158352235044e-07,6.576878535408935e-07,6.843025479605813e-07,6.959305745613787e-07,7.170517813572434e-07,6.733165677537227e-07
4,7.4521242812473e-07,7.147337479600594e-07,6.628287108869791e-07,7.016731299551682e-07,7.34048665655788e-07,6.971773492493083e-07
5,7.3540146310834e-07,7.612014839519509e-07,7.718997689901107e-07,7.388702459052169e-07,7.253023392449082e-07,7.355071067010493e-07
6,7.952560297871178e-07,6.938512796765534e-07,7.424586754208261e-07,7.192494866062762e-07,6.939211726399649e-07,7.443756477211229e-07
7,7.690587367306902e-07,7.772466505856063e-07,7.832549609844511e-07,7.713994391618412e-07,7.25798250761962e-07,6.772346313073168e-07
8,8.597604786268279e-07,8.124516782614041e-07,9.150581376841832e-07,6.967624623835174e-07,7.095483068390475e-07,7.991976396188015e-07
9,8.59754959120719e-07,9.146060757012072e-07,1.033866747260621e-06,7.651042995202288e-07,7.575622695901876e-07,8.048823782136279e-07
10,9.65056707379916e-07,9.384740678106316e-07,1.0180368718675858e-06,7.361085378193213e-07,7.120120808087451e-07,7.721082404845078e-07
11,1.041711829134079e-06,1.0725117996877779e-06,9.56128406720605e-07,7.619767479323501e-07,7.29379688630475e-07,7.020540382650088e-07
12,1.0767449658107397e-06,1.0454930206581572e-06,1.113273483995856e-06,7.280279146383991e-07,7.639374718446316e-07,7.318240964892804e-07
13,1.0809371342912166e-06,1.1005264388243363e-06,1.0153610842820106e-06,7.677515870019025e-07,7.806581712044352e-07,7.626321314137469e-07
14,1.1235941751620629e-06,1.1480265116097352e-06,1.0480731904519127e-06,7.805486127060752e-07,7.564244644846155e-07,7.816021016330495e-07
15,1.0695955949419013e-06,1.0823578507803668e-06,1.1567625385924565e-06,7.657435116701592e-07,7.575778704335594e-07,7.834359870536957e-07
16,1.1231501025421089e-06,1.1439106673042246e-06,1.2274960794202242e-06,9.07425224767134e-07,8.005238177506166e-07,8.324383435067778e-07
17,1.1555275329027005e-06,1.201584245540307e-06,1.2156066002114873e-06,8.958176922778032e-07,9.238395777717501e-07,8.900021665775877e-07
18,1.080339944832818e-06,1.0570577891224925e-06,1.2855502214590152e-06,8.748286596427641e-07,7.861416279767627e-07,9.04571021166662e-07
19,1.017036861525282e-06,1.0407238978818191e-06,1.1133212233981165e-06,8.658622369159255e-07,9.150621165316646e-07,8.705875148131697e-07
20,1.026205284556e-06,1.0020779066596843e-06,1.0689945243158498e-06,9.365139982722778e-07,9.008668563832449e-07,9.144850393490364e-07
21,1.128696478074111e-06,9.506733602828747e-07,1.0399093160135139e-06,8.836411137329808e-07,9.214937641781318e-07,9.601426545167342e-07
22,1.0173328030341285e-06,1.0039433449786978e-06,1.1264593091024239e-06,9.44685780152813e-07,9.558817715201946e-07,9.786060807061494e-07
23,1.0252739401660018e-06,1.0003248369281127e-06,1.164843656303076e-06,9.642890883867483e-07,9.348536189356661e-07,9.63766799540053e-07
24,1.0378181089054578e-06,1.0797164852097323e-06,1.2165096290018025e-06,9.499143621536127e-07,9.82055399736684e-07,1.0091959433248723e-06
25,1.034439951691418e-06,9.558795338564062e-07,1.155647877025141e-06,1.027939907714207e-06,1.0115812961233976e-06,9.702015166278651e-07
26,9.229053742072535e-07,1.0205454019829835e-06,1.0974345073491726e-06,1.004878234214792e-06,1.0274702221329345e-06,9.814539464937542e-07
27,9.898638756114449e-07,1.0890379853594955e-06,1.0963898076191942e-06,1.0078667070765588e-06,9.771819871094762e-07,9.834857909884772e-07
28,1.0498836691095104e-06,9.351315421950484e-07,1.0363458928841342e-06,1.0428315484899906e-06,1.042232456855678e-06,1.0663507399041158e-06
29,1.0311959559246464e-06,1.0215328867177786e-06,1.073013687956196e-06,1.0354310376122165e-06,9.987537255603394e-07,1.0349104639269511e-06
30,9.969352316245042e-07,1.0872574292092023e-06,1.1184793101214405e-06,9.854522383927682e-07,1.0123217478827532e-06,9.879923693026869e-07
31,1.0359228331673492e-06,9.630868138349406e-07,9.813124522744862e-07,1.0847858257933826e-06,9.91608122687016e-07,1.017422402486023e-06
32,9.960427052834059e-07,9.830265854519905e-07,1.0198899366628963e-06,1.1043000950054015e-06,1.072193852725693e-06,9.589268114388298e-07
33,9.552431935283589e-07,9.947136366137375e-07,1.120703700008149e-06,1.0368778459509541e-06,9.793859606063994e-07,1.0336998526880576e-06
34,1.017507300653798e-06,1.1426695057219062e-06,1.081281008971635e-06,1.0733518517814016e-06,1.0695499784406879e-06,9.958058216428276e-07
35,9.66441939228448e-07,9.327581081938796e-07,1.179264431681143e-06,1.0071253182177953e-06,1.025480428747407e-06,9.75716888862372e-07
36,1.0605089013648508e-06,1.0014900941931349e-06,1.066240350827804e-06,1.0537760379487368e-06,1.0427836301561854e-06,1.0313399153175298e-06
37,8.988815276453264e-07,9.566730554792024e-07,1.0449280670850535e-06,1.017010060544255e-06,1.0423275054601857e-06,1.10552876099179e-06
38,9.220913501245766e-07,1.0295445596275233e-06,1.1722194905061322e-06,1.072897554256577e-06,1.1156580568985233e-06,1.0790898949886845e-06
39,1.0100975580532209e-06,1.0093962018351553e-06,1.1296725718497709e-06,1.0615422621583006e-06,1.0583735139321651e-06,1.0494155103488755e-06
40,9.730287041726672e-07,1.0121875585936312e-06,1.0450660188644515e-06,1.0919988582475614e-06,1.0991180700005784e-06,1.038265242775326e-06
41,9.448628282925483e-07,9.880155517253485e-07,1.0348849315233646e-06,1.0805271018719755e-06,1.0516832690335e-06,1.0383704567744626e-06
42,9.42476648626169e-07,9.63676382488513e-07,1.196264159581281e-06,1.0529370921771646e-06,1.0732857481979227e-06,1.0340960300047135e-06
43,1.0195613604791155e-06,9.952623510585083e-07,1.2015438232344514e-06,1.1013267141769529e-06,9.707238356666544e-07,1.0254816943235463e-06
44,9.525117784624392e-07,9.178546598917986e-07,1.1360691485489317e-06,1.1118456978601712e-06,1.0276484292522826e-06,9.770935583544175e-07
45,9.753617415141575e-07,1.011202963371868e-06,1.0584816627517092e-06,9.96176766958337e-07,1.0750918449223538e-06,9.531317767283945e-07
46,9.296012474955928e-07,9.546987151866537e-07,1.1223025090013143e-06,1.0923962000927589e-06,1.0420374074713643e-06,9.968032067954134e-07
47,9.691635187160143e-07,1.0383425165278857e-06,1.18246103323042e-06,1.1224432593407653e-06,1.0980239128022072e-06,1.1321484787294589e-06
48,9.787994123483197e-07,1.0082779302884576e-06,1.1437392323800656e-06,1.1567854734228545e-06,1.0977123641161956e-06,1.0481547758600605e-06
49,9.535107954110866e-07,1.0087751201376862e-06,1.0298920745295884e-06,1.014795891369091e-06,9.949384737237415e-07,1.0069868385580778e-06
50,1.0211161339103004e-06,9.322895602733087e-07,1.1312138765466304e-06,1.1012276305408509e-06,9.709948371475732e-07,9.490774146064542e-07
51,1.0260888732063281e-06,1.0053084037218423e-06,1.1395861988235422e-06,1.0663377676237417e-06,9.115545789350034e-07,1.0052836166017837e-06
52,9.696957377815424e-07,9.697528300264882e-07,1.1286833806579199e-06,1.110529204969837e-06,1.0050092027601153e-06,1.026581890249354e-06
