step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/r_ctrl_step
1,0.04093734053192277,0.03676459180913006,0.0453116196569815,0.06012489912960368,0.05722062164250495,0.05206320328156387
2,0.037150760532940086,0.03456416592268951,0.057132150671272544,0.04301669486293165,0.05825019636953942,0.05021797308707445
3,0.04039740867140597,0.027550567291700134,0.0449405459831889,0.04301669486293165,0.06047189448058604,0.05021797308707445
4,0.03638959141161692,0.023808626232206996,0.040249430217168106,0.04381573177915709,0.049778038084917174,0.05021797308707445
5,0.035406581752844855,0.022585962029688017,0.03472403462864002,0.05196202442988179,0.04999233096400173,0.05021797308707445
6,0.04326514243316907,0.022585962029688017,0.029935110135128548,0.0421233625388688,0.0411754392465033,0.058325563179676285
7,0.037764391267308454,0.03637937350746048,0.03969414861166154,0.0516495757988701,0.028828526414916195,0.058325563179676285
8,0.03001964855673366,0.03637937350746048,0.047649665396036614,0.04212099432034014,0.021346147898062603,0.06747108128541959
9,0.03001964855673366,0.0443302373370113,0.047649665396036614,0.053804488623605554,0.03717399355379904,0.04790244021985544
10,0.03001964855673366,0.0443302373370113,0.044333659072451057,0.049565728173370634,0.03887342718648656,0.03467154506704148
11,0.03001964855673366,0.041948661662731104,0.03778163353544005,0.04519692136972436,0.03131493887503885,0.029560218777959574
12,0.03001964855673366,0.01,0.039282597624134614,0.05,0.05,0.05
13,0.012414092923735695,0.01,0.017501482144609257,0.05,0.05,0.05
14,0.02121687074023468,0.016726411555505784,0.024290790865057935,0.05,0.05,0.05
15,0.02121687074023468,0.016726411555505784,0.026791509679733424,0.05,0.05,0.05
16,0.019439246419182248,0.01810684129673272,0.029788035697677177,0.05,0.05,0.05
17,0.020328058579708465,0.01810684129673272,0.029788035697677177,0.05,0.05,0.05
18,0.020328058579708465,0.01810684129673272,0.029788035697677177,0.05,0.05,0.05
19,0.020328058579708465,0.01853575644609152,0.034587062141243165,0.05,0.05,0.05
