step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_ema_step
1,7.512435527883443e-07,7.262427186300539e-07,7.432493210950398e-07,7.717443799296751e-07,7.57761114082525e-07,7.424140248125378e-07
2,7.518871581305715e-07,7.252057733955536e-07,7.425541294826402e-07,7.69201059374537e-07,7.539777846332864e-07,7.4066086328848e-07
3,7.515007178357951e-07,7.218298774028207e-07,7.396415504065372e-07,7.655375351338792e-07,7.521314844694842e-07,7.372936485117422e-07
4,7.511863033502419e-07,7.214750709306825e-07,7.358009084305593e-07,7.623443148749434e-07,7.512273435287994e-07,7.352878335486205e-07
5,7.503970613381466e-07,7.234613915817458e-07,7.376058514585367e-07,7.611706114264572e-07,7.499310933146047e-07,7.352987972062419e-07
6,7.526400097605952e-07,7.219808859864863e-07,7.378484926566513e-07,7.590745551854481e-07,7.471305972808727e-07,7.357526397319858e-07
7,7.534609461090998e-07,7.247441742164422e-07,7.401188160730412e-07,7.596907993842677e-07,7.460639799549271e-07,7.328267393107524e-07
8,7.587759227349862e-07,7.291295494186903e-07,7.488657821535983e-07,7.565443825342301e-07,7.44238196299133e-07,7.361452843261548e-07
9,7.63824874554273e-07,7.38403375732816e-07,7.631158304089494e-07,7.5697237838353e-07,7.449043999636857e-07,7.395821390205285e-07
10,7.738864661955551e-07,7.484069103367067e-07,7.758618824818811e-07,7.559291863553197e-07,7.432597840059386e-07,7.412084440937274e-07
11,7.872777343424812e-07,7.646121548042603e-07,7.848752086938173e-07,7.56231564434171e-07,7.425657792371654e-07,7.392507238022913e-07
12,8.01751095915894e-07,7.786561980969551e-07,8.012951224589192e-07,7.548213819443825e-07,7.436343638675387e-07,7.388793924366409e-07
13,8.157103978346601e-07,7.947497101333243e-07,8.119984205500738e-07,7.554678921972583e-07,7.454855542343833e-07,7.400670293854961e-07
14,8.311045867010303e-07,8.124135502071446e-07,8.238021590451659e-07,7.567219282226993e-07,7.46032499746895e-07,7.421437829978738e-07
15,8.430291371130736e-07,8.259107652358057e-07,8.404501780225304e-07,7.571730073950721e-07,7.46609768281228e-07,7.442083932006648e-07
16,8.570351853845254e-07,8.418107603392266e-07,8.59802473092415e-07,7.646856182636753e-07,7.493054707546975e-07,7.486198907159703e-07
17,8.719598027604342e-07,8.597994345992805e-07,8.775926794483685e-07,7.712422219643816e-07,7.580321761055501e-07,7.556890045090513e-07
18,8.823788098640532e-07,8.696623523254412e-07,8.979905565489008e-07,7.764215438483007e-07,7.594376486991107e-07,7.631331053419317e-07
19,8.891117124471147e-07,8.782154296032599e-07,9.087570898913616e-07,7.80893578501682e-07,7.672188720907383e-07,7.685058258154936e-07
20,8.95966391052559e-07,8.844085534560811e-07,9.16768961612586e-07,7.886745994902118e-07,7.739012713053636e-07,7.758047864921707e-07
21,9.076028954036363e-07,8.877217937974208e-07,9.229259793326324e-07,7.934229252023502e-07,7.81280895949002e-07,7.850216798933988e-07
22,9.130893907851609e-07,8.935328713564846e-07,9.33102645821122e-07,8.009860679498732e-07,7.900109397275615e-07,7.947008999340362e-07
23,9.186986182542032e-07,8.98872469635066e-07,9.446896963452196e-07,8.091512189717171e-07,7.972530736879668e-07,8.031541949143372e-07
24,9.246545927867658e-07,9.079146704137992e-07,9.582806929780489e-07,8.16189376130812e-07,8.064931899904026e-07,8.134562823348639e-07
25,9.301438607319983e-07,9.103129135859296e-07,9.681490521804031e-07,8.267769027099815e-07,8.167475952970525e-07,8.21293544049514e-07
26,9.297819364057611e-07,9.158245380057822e-07,9.746133249388416e-07,8.356819692852222e-07,8.272837266388464e-07,8.293015641717259e-07
27,9.327860333660451e-07,9.244852103734678e-07,9.807021490728593e-07,8.442912061747888e-07,8.347786396623778e-07,8.370107755125636e-07
28,9.386409151532184e-07,9.250175269645467e-07,9.83484336263423e-07,8.542182232905489e-07,8.451513305220431e-07,8.48477773732141e-07
29,9.432686671917897e-07,9.298432949522084e-07,9.879608038480616e-07,8.632788640066321e-07,8.528314502739577e-07,8.577994082418815e-07
30,9.459519954134256e-07,9.37714001665058e-07,9.944867291617306e-07,8.69387532725939e-07,8.608059651543975e-07,8.643090562949218e-07
31,9.504505373011216e-07,9.38982642273552e-07,9.938280153173684e-07,8.801574473793112e-07,8.673460730310285e-07,8.719647236044769e-07
32,9.527301457002357e-07,9.41184839432474e-07,9.951311113846448e-07,8.913645797606156e-07,8.775884620157617e-07,8.763128279961945e-07
33,9.528557980916417e-07,9.438612792915369e-07,1.00140974081582e-06,8.986402430701325e-07,8.826783369452934e-07,8.841821792307876e-07
34,9.560883732197497e-07,9.538016906130554e-07,1.0054033042236108e-06,9.07375823505696e-07,8.920219190200631e-07,8.897633613513894e-07
35,9.566060515201846e-07,9.527495114920965e-07,1.0140963605964877e-06,9.123632982413008e-07,8.986948445064303e-07,8.940610377269387e-07
36,9.61801194012418e-07,9.551865406271486e-07,1.0167035601080534e-06,9.194339352266727e-07,9.058992837889179e-07,9.009249816064679e-07
37,9.586552106940632e-07,9.552608663697512e-07,1.018114785456903e-06,9.243127414925517e-07,9.127206948724815e-07,9.111551705757342e-07
38,9.568270176655887e-07,9.589750510326396e-07,1.0258200207093649e-06,9.317419821307529e-07,9.228675629737835e-07,9.195519067963816e-07
39,9.594905446849702e-07,9.614961085727657e-07,1.031012648266385e-06,9.382319961321304e-07,9.296428605217023e-07,9.260450869740061e-07
40,9.60167452659355e-07,9.640306810738086e-07,1.031715316796288e-06,9.459203392379018e-07,9.381166209956463e-07,9.31656094764072e-07
41,9.594022214410149e-07,9.652299246063856e-07,1.0318737975326418e-06,9.526506773696054e-07,9.437949533975388e-07,9.369918128645916e-07
42,9.585559428002724e-07,9.65152247500492e-07,1.0400933156350735e-06,9.576649981099832e-07,9.502694931375578e-07,9.418470237215976e-07
43,9.616062136842146e-07,9.666577526783928e-07,1.0481658410150423e-06,9.648480839133318e-07,9.512922102640129e-07,9.46028757251695e-07
44,9.611514919231258e-07,9.64217598039063e-07,1.0525610063917367e-06,9.721979646106735e-07,9.551100212134265e-07,9.475819973068311e-07
