step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_dot_positive_step
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,0,1,0
4,1,1,1,1,1,0
5,1,1,1,1,1,0
6,1,0,1,1,1,1
7,1,1,1,1,1,0
8,1,0,1,1,1,1
9,0,1,0,1,1,1
10,0,0,1,1,1,1
11,0,1,1,1,1,1
12,0,1,1,0,1,1
13,1,1,1,1,1,1
14,0,1,1,1,0,1
15,0,0,1,1,1,0
16,1,1,1,1,0,1
17,0,0,0,0,1,1
18,0,0,0,1,0,1
19,0,1,1,1,1,0
20,0,0,0,0,0,1
21,1,0,0,0,0,1
22,1,1,1,0,1,1
23,1,0,0,1,0,1
24,1,1,1,1,1,1
25,0,1,1,0,0,0
26,0,0,0,0,1,0
27,0,1,1,0,1,1
28,1,0,0,1,0,1
29,1,0,0,0,1,0
30,0,1,0,0,1,1
31,0,0,1,1,0,1
32,1,1,1,1,1,1
33,1,1,1,0,0,0
34,1,1,0,1,0,0
35,0,0,1,0,1,0
36,1,1,1,0,0,1
37,1,0,1,1,0,1
38,0,0,1,0,0,1
39,0,0,1,1,0,1
40,0,0,0,1,0,1
41,1,0,0,1,1,1
42,1,0,1,0,0,0
43,1,1,1,0,0,0
44,0,0,1,0,1,1
45,1,1,0,1,1,0
46,0,1,0,0,1,0
47,0,1,1,0,1,1
48,1,0,1,1,1,1
49,1,1,0,1,0,1
50,0,0,0,1,0,0
51,1,1,0,0,0,1
52,0,0,1,1,0,1
53,0,0,1,1,0,0
54,1,1,0,1,0,0
55,0,0,1,0,1,1
56,1,0,1,0,0,1
57,0,1,1,1,1,1
58,1,1,1,1,0,0
59,1,1,0,0,0,1
60,1,1,1,1,0,0
61,1,1,0,0,0,0
62,0,1,0,1,1,0
63,1,0,1,0,1,1
64,0,1,1,1,0,0
65,1,0,0,1,0,1
66,0,1,1,0,1,0
67,1,1,0,1,1,0
68,1,0,0,1,0,0
69,1,0,0,0,0,0
70,1,0,0,1,1,1
71,1,0,0,1,1,1
72,0,0,0,0,0,1
73,1,0,0,0,1,0
74,1,0,0,1,0,0
75,1,0,0,1,0,1
76,1,0,0,0,1,0
77,0,1,0,0,1,0
78,1,0,0,0,0,0
79,0,1,0,1,1,0
80,1,1,1,1,0,0
81,0,0,1,0,1,1
