step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-critic/score/mean_step
1,-0.9512653350830078,-0.9334394931793212,-1.025601148605347,-0.9801442623138428,-0.9270029067993164,-1.023956537246704
2,-0.9665408134460448,-1.069349765777588,-1.1137123107910156,-0.964303493499756,-1.0924487113952637,-1.153200626373291
3,-1.0562736988067627,-1.073940992355347,-1.152104139328003,-1.003143072128296,-1.093384027481079,-1.1260123252868652
4,-1.101139783859253,-0.9845688343048096,-1.133831262588501,-1.1539833545684814,-1.0147931575775146,-1.1140246391296391
5,-1.117684841156006,-1.0089731216430664,-0.8892078399658203,-1.178947687149048,-1.0796802043914795,-0.9144937992095948
6,-0.9068217277526855,-0.9987339973449708,-1.000915288925171,-0.9961340427398682,-1.134514570236206,-1.1073386669158936
7,-0.7703268527984619,-0.8318815231323242,-0.9500958919525146,-0.9956881999969482,-1.0906469821929932,-1.1647539138793943
8,-0.7486920356750488,-0.7288374900817871,-0.6211347579956055,-1.0573735237121582,-1.0193419456481934,-0.9673616886138916
9,-0.5800132751464844,-0.6332790851593018,-0.438129186630249,-0.982715368270874,-1.090243577957153,-0.8979692459106445
10,-0.42952513694763184,-0.5927793979644775,-0.33036208152770996,-1.0228571891784668,-1.0786240100860596,-0.9288265705108644
11,-0.27101802825927734,-0.29236793518066406,-0.460277795791626,-0.9317901134490968,-0.9135093688964844,-1.111398696899414
12,-0.2847120761871338,-0.31917238235473633,-0.26125597953796387,-0.9904351234436036,-0.8686208724975586,-0.9812500476837158
13,-0.4113600254058838,-0.33441591262817383,-0.3691596984863281,-0.9763944149017334,-0.8419296741485596,-0.9026203155517578
14,-0.3981165885925293,-0.3687732219696045,-0.35527825355529785,-0.8767127990722656,-0.8381235599517822,-0.8157138824462891
15,-0.39710187911987305,-0.34322214126586914,-0.2829153537750244,-0.8364160060882568,-0.825131893157959,-0.7914419174194336
16,-0.36826634407043457,-0.3606557846069336,-0.2427680492401123,-0.6126904487609863,-0.7839381694793701,-0.7927343845367432
17,-0.29642367362976074,-0.15243029594421387,-0.18575239181518555,-0.5796666145324707,-0.49806761741638184,-0.5410506725311279
18,-0.30693888664245605,-0.2259511947631836,-0.14327025413513184,-0.6107528209686279,-0.6417863368988037,-0.5224180221557617
19,-0.33836936950683594,-0.19333744049072263,-0.2177433967590332,-0.6448476314544678,-0.6095960140228271,-0.6538045406341553
20,-0.3299710750579834,-0.22557353973388672,-0.30646705627441406,-0.5821678638458252,-0.5854067802429199,-0.6160120964050293
21,-0.26030850410461426,-0.15838885307312012,-0.1448509693145752,-0.45711803436279297,-0.512352466583252,-0.45234155654907227
22,-0.24090361595153809,-0.23637032508850095,-0.1701185703277588,-0.5019831657409668,-0.5358364582061768,-0.38341593742370605
23,-0.3727695941925049,-0.1111924648284912,-0.2437734603881836,-0.556359052658081,-0.4648203849792481,-0.4357891082763672
24,-0.27619147300720215,-0.1306476593017578,-0.16592860221862793,-0.4508373737335205,-0.4071331024169922,-0.34209227561950684
25,-0.2919740676879883,-0.1764390468597412,-0.17096590995788574,-0.40326786041259766,-0.3839447498321533,-0.3385894298553467
26,-0.31079936027526855,-0.09805417060852052,-0.16059517860412598,-0.3991870880126953,-0.2878081798553467,-0.32358384132385254
27,-0.30072689056396484,-0.14449858665466309,-0.20817875862121585,-0.4220728874206543,-0.44009876251220703,-0.3831710815429687
28,-0.24364519119262695,-0.17769217491149902,-0.27011990547180176,-0.36888957023620605,-0.3790745735168457,-0.35475897789001465
29,-0.17438292503356934,-0.21651601791381836,-0.1406865119934082,-0.26699304580688477,-0.4477415084838867,-0.2749502658843994
30,-0.2533915042877197,-0.03758811950683594,-0.22467279434204104,-0.29459500312805176,-0.23771095275878903,-0.2536163330078125
31,-0.232837438583374,-0.19750046730041504,-0.2526569366455078,-0.3266947269439697,-0.3230156898498535,-0.3303248882293701
32,-0.15905022621154785,-0.1117229461669922,-0.2893409729003906,-0.19282197952270508,-0.29581642150878906,-0.3608081340789795
33,-0.19363045692443848,-0.13139963150024414,-0.2621915340423584,-0.2574648857116699,-0.2664916515350342,-0.3704850673675537
