step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-critic/advantages/mean_step
1,-0.1379559487104416,-0.12375149130821228,-0.12453020364046095,-0.12849865853786469,-0.11919610947370528,-0.1248992756009102
2,-0.12854717671871185,-0.12034963071346284,-0.10433431714773178,-0.13006943464279175,-0.1152004674077034,-0.11054124683141708
3,-0.13896794617176056,-0.1161867156624794,-0.1134115755558014,-0.12822936475276947,-0.10557039827108385,-0.112664632499218
4,-0.1296766996383667,-0.1283579170703888,-0.12912297248840332,-0.12081915140151978,-0.12219956517219543,-0.11174101382493971
5,-0.11526579409837724,-0.13073402643203735,-0.13006815314292908,-0.1181526854634285,-0.11875835806131364,-0.12936103343963623
6,-0.1457136869430542,-0.12242753803730012,-0.11493220925331116,-0.11471068859100342,-0.11735958606004716,-0.11603225767612456
7,-0.132658913731575,-0.14225630462169647,-0.13088473677635193,-0.118587926030159,-0.11781515181064606,-0.10934661328792572
8,-0.14170661568641665,-0.1616940796375275,-0.15407101809978485,-0.11579262465238573,-0.12107744812965392,-0.1417071968317032
9,-0.15575411915779114,-0.16003143787384033,-0.1924785822629929,-0.11944915354251862,-0.13099069893360138,-0.16036289930343628
10,-0.203092098236084,-0.16540290415287018,-0.1787499636411667,-0.11505776643753052,-0.11894851177930832,-0.1537398397922516
11,-0.16007839143276217,-0.15147177875041962,-0.15847907960414886,-0.13043758273124695,-0.1414652168750763,-0.11882505565881728
12,-0.14655564725399017,-0.13118498027324677,-0.15815432369709015,-0.1298302859067917,-0.142253577709198,-0.12239900231361388
13,-0.10006647557020187,-0.0669410228729248,-0.09938135743141174,-0.14674244821071625,-0.13888292014598846,-0.13622593879699707
14,-0.047135014086961746,-0.018873056396842003,-0.03553448244929314,-0.14874058961868286,-0.12635783851146698,-0.12072621285915376
15,-0.039068613201379776,-0.02940443716943264,-0.05206859111785889,-0.14838795363903046,-0.1492898166179657,-0.15425556898117063
16,-0.01970951445400715,-0.04782083258032799,-0.022125938907265663,-0.17083393037319183,-0.15346719324588776,-0.1453588306903839
17,-0.06465195119380951,-0.005702785681933165,-0.0257905051112175,-0.17806677520275116,-0.18569287657737732,-0.1623816192150116
18,-0.04616539925336838,-0.05783836916089058,-0.035628899931907654,-0.16151826083660126,-0.1487513780593872,-0.16232456266880035
19,-0.05994544178247452,-0.05451470986008644,-0.032771095633506775,-0.15872034430503845,-0.18170017004013064,-0.17251761257648468
20,-0.07687632739543915,-0.0364968441426754,-0.05523161217570305,-0.16564375162124634,-0.17740052938461304,-0.17980943620204926
21,-0.07365163415670395,-0.05952797085046768,-0.03353169560432434,-0.1676858514547348,-0.1689012348651886,-0.18516390025615692
