step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/training_ppl_step
1,1.9047566652297976,1.8923108577728271,1.9684752225875857,1.931729793548584,1.8853349685668943,1.962200403213501
2,1.951221704483032,1.9340699911117551,1.9660464525222776,1.944384813308716,1.9478436708450315,1.9740650653839111
3,1.9881725311279297,1.9777683019638064,2.0397634506225586,1.9668116569519043,1.9719789028167725,2.0564193725585938
4,1.9398019313812256,1.8897920846939087,1.9441161155700684,1.939822793006897,1.9063576459884644,1.9548978805541992
5,1.985392451286316,1.9179449081420896,1.9819532632827759,1.985753059387207,1.951270341873169,1.9898055791854856
6,1.9252914190292358,1.9257112741470337,1.8794052600860596,1.955344080924988,1.959631323814392,1.8964176177978516
7,1.8841960430145264,1.8468774557113647,1.9210681915283203,1.9271035194396973,1.8841310739517212,1.9569675922393799
8,1.852098822593689,1.890709400177002,1.902496576309204,1.929905652999878,1.9521253108978271,1.950163722038269
9,1.802450895309448,1.8335762023925781,1.9210448265075684,1.9497038125991821,1.940303087234497,1.983241081237793
10,1.7796354293823242,1.8585777282714844,1.8430631160736084,1.9851198196411133,2.0147392749786377,1.9154629707336424
11,1.7205203771591189,1.7170268297195437,1.8641841411590576,1.9555745124816897,1.8838993310928345,1.9580533504486084
12,1.6871137619018557,1.6901556253433228,1.856130599975586,1.9055100679397583,1.8606685400009155,1.9334840774536133
13,1.693293809890747,1.6941828727722168,1.8085094690322876,1.8979079723358152,1.921726107597351,1.842257499694824
14,1.7040791511535645,1.6323974132537842,1.8046993017196655,1.9223712682724,1.8792253732681272,1.8241907358169556
15,1.6305880546569824,1.5613658428192139,1.86650550365448,1.8194139003753664,1.8686225414276123,1.9274005889892576
16,1.6243869066238403,1.5736634731292725,1.969491958618164,1.7859749794006348,1.928025484085083,1.8843227624893188
17,1.612597107887268,1.5398340225219729,1.958632469177246,1.8552114963531496,1.8271808624267576,1.8592318296432495
18,1.6327191591262815,1.5571144819259644,1.937180995941162,1.8239414691925049,1.8553285598754885,1.8069385290145872
19,1.5759083032608032,1.5451152324676514,1.9638135433197021,1.7903695106506348,1.8443279266357424,1.843713641166687
20,1.6047604084014893,1.5642577409744265,2.138541460037231,1.809783935546875,1.8873406648635864,1.859963059425354
21,1.5646848678588867,1.5230995416641235,2.1620683670043945,1.7887896299362185,1.8289726972579956,1.8485908508300781
22,1.5483589172363281,1.5472447872161863,2.158778667449951,1.7908527851104736,1.8244147300720217,1.7303314208984375
23,1.5886402130126949,1.5330784320831299,2.271824836730957,1.8208305835723877,1.8143943548202517,1.8029156923294067
24,1.5712460279464722,1.56345534324646,2.262038230895996,1.7844260931015017,1.795348882675171,1.7642327547073364
25,1.5822802782058716,1.5580456256866455,2.228278875350952,1.8276476860046391,1.8024249076843264,1.6971522569656372
26,1.564449429512024,1.5439021587371826,2.285353183746338,1.7474398612976074,1.815859317779541,1.7042287588119511
27,1.5781500339508057,1.5776715278625488,2.296110153198242,1.8258272409439087,1.8852057456970217,1.7285531759262085
28,1.5442391633987431,1.5497938394546509,2.323103904724121,1.7985378503799438,1.8282673358917236,1.7187153100967407
29,1.5526930093765259,1.5491790771484375,2.285588502883911,1.7786375284194946,1.7740839719772339,1.6857188940048218
30,1.5322515964508057,1.5083353519439695,2.357570171356201,1.7308154106140137,1.721962332725525,1.655468225479126
31,1.52750825881958,1.546741247177124,2.4031901359558105,1.732150912284851,1.7920527458190918,1.6722350120544434
32,1.4864424467086792,1.5163850784301758,2.343482255935669,1.6815372705459597,1.7344088554382324,1.6570680141448977
33,1.5303256511688232,1.5002501010894775,2.3998966217041016,1.7430875301361084,1.6889132261276243,1.6574032306671145
34,1.5013880729675293,1.539204716682434,2.3998453617095947,1.7469255924224854,1.7235240936279297,1.6662801504135132
35,1.525583028793335,1.5267592668533323,2.29703140258789,1.7447336912155151,1.7341920137405396,1.6190383434295654
36,1.523292899131775,1.5374445915222168,2.4263916015625,1.7070269584655762,1.7467142343521118,1.6552917957305908
37,1.5084824562072754,1.5196837186813354,2.3321571350097656,1.736891746520996,1.6839189529418943,1.5918818712234497
38,1.5000524520874023,1.5330491065979004,2.302743673324585,1.7012017965316772,1.7094827890396118,1.6174757480621338
39,1.518415927886963,1.548661470413208,2.4232773780822754,1.7261345386505127,1.7341915369033811,1.6090737581253052
40,1.5290498733520508,1.5294630527496338,2.3398783206939697,1.716953992843628,1.6791561841964722,1.56302011013031
41,1.50600004196167,1.5119808912277222,2.466411590576172,1.6818089485168457,1.6490899324417114,1.6141891479492188
42,1.5110782384872437,1.5455491542816162,2.404390573501587,1.6882964372634888,1.7235612869262695,1.5648647546768188
43,1.5088136196136477,1.5195975303649902,2.352935552597046,1.648734450340271,1.6761054992675781,1.530566930770874
44,1.500694751739502,1.5053679943084717,2.394794464111328,1.6315890550613403,1.650037407875061,1.5562278032302856
45,1.5319606065750122,1.4979817867279053,2.480266571044922,1.636828064918518,1.6392138004302979,1.55689537525177
46,1.5275588035583496,1.503265380859375,2.405287504196167,1.6244211196899414,1.644338607788086,1.5325844287872314
47,1.5193088054656982,1.5508158206939695,2.401808977127075,1.6010304689407349,1.702353835105896,1.523665428161621
48,1.5434606075286863,1.5079467296600342,2.3861489295959473,1.6130918264389038,1.6528037786483765,1.5331568717956543
49,1.527892827987671,1.5050694942474363,2.3518452644348145,1.581324577331543,1.6585168838500977,1.5109766721725464
50,1.565475583076477,1.5192257165908811,2.3768417835235596,1.610050916671753,1.6836717128753662,1.518812894821167
51,1.5189775228500366,1.489229679107666,2.276085615158081,1.5625345706939695,1.634231686592102,1.4844579696655271
52,1.537338137626648,1.4765362739562988,2.2838170528411865,1.5682740211486816,1.6076247692108154,1.5013928413391109
53,1.5664105415344238,1.522727370262146,2.320927381515503,1.5767096281051636,1.6606391668319702,1.5156667232513428
54,1.5519013404846191,1.5096325874328609,2.4238054752349862,1.582733154296875,1.6498481035232544,1.5312626361846924
55,1.5803619623184204,1.4938392639160156,2.450265407562256,1.5903942584991455,1.6201856136322021,1.5575740337371826
56,1.544478416442871,1.485762596130371,2.4736545085906982,1.5586774349212646,1.6104744672775269,1.5598196983337402
57,1.5319714546203609,1.5041193962097168,2.3697690963745117,1.5408259630203247,1.6275253295898438,1.5348680019378662
58,1.605312705039978,1.4813669919967651,2.4432361125946045,1.5939781665802002,1.604295253753662,1.5422699451446529
59,1.5745991468429563,1.5157333612442017,2.4111080169677734,1.5618250370025637,1.6384799480438232,1.532499074935913
60,1.5869934558868408,1.4807490110397339,2.5472445487976074,1.5564157962799072,1.5973364114761353,1.6011278629302979
61,1.5893547534942627,1.5052694082260132,2.495584011077881,1.5646034479141235,1.6208508014678955,1.5635905265808103
62,1.572566270828247,1.548993468284607,2.4312984943389893,1.5426335334777832,1.6570786237716677,1.5536487102508545
63,1.6005470752716064,1.5228517055511477,2.3449931144714355,1.556293249130249,1.6162638664245603,1.5352498292922974
64,1.5878890752792358,1.5222194194793701,2.43667984008789,1.5516390800476074,1.6251697540283203,1.580704927444458
65,1.5808885097503662,1.517183542251587,2.3663170337677,1.539455771446228,1.6183578968048096,1.549328327178955
66,1.5922441482543943,1.5573759078979492,2.3510284423828125,1.5488569736480713,1.6618354320526123,1.5379433631896973
67,1.6388710737228394,1.5171775817871094,2.411447525024414,1.57218599319458,1.6161079406738281,1.569460391998291
68,1.6216450929641724,1.5657339096069336,2.2077620029449463,1.5711606740951538,1.6653012037277222,1.5189181566238403
69,1.6221297979354858,1.5551247596740725,2.27270770072937,1.5622835159301758,1.66288423538208,1.5369237661361694
70,1.6364216804504397,1.554181456565857,2.3009791374206543,1.5792882442474363,1.654815912246704,1.5611361265182495
71,1.6261179447174072,1.5285416841506958,2.375093936920166,1.5659559965133667,1.630328893661499,1.593780517578125
72,1.638407826423645,1.5410833358764648,2.4201250076293945,1.5725040435791016,1.640891432762146,1.616135835647583
73,1.6565632820129397,1.5304350852966309,2.282923460006714,1.5978392362594604,1.639099359512329,1.5726399421691897
74,1.6115373373031616,1.5820941925048828,2.2901058197021484,1.5536363124847412,1.6829850673675537,1.5658483505249023
75,1.6327519416809082,1.5476300716400146,2.2509355545043945,1.5797138214111328,1.6313180923461914,1.5649751424789429
76,1.6875526905059814,1.564279556274414,2.345844268798828,1.628570556640625,1.6693387031555176,1.6116268634796145
77,1.645689606666565,1.6001712083816528,2.2955827713012695,1.6002869606018066,1.6805496215820312,1.570788860321045
78,1.6298805475234983,1.5694518089294434,2.2827582359313965,1.5689722299575806,1.6616427898406982,1.5699632167816162
79,1.6309385299682615,1.5615599155426023,2.279752492904663,1.5763412714004517,1.6485117673873901,1.5773495435714722
80,1.6322550773620603,1.535267949104309,2.260430335998535,1.5670568943023682,1.6348731517791748,1.567335844039917
81,1.6217730045318604,1.5614559650421145,2.290945053100586,1.5699794292449951,1.6522789001464844,1.581420660018921
82,1.6359714269638062,1.5611785650253296,2.3291401863098145,1.5840144157409668,1.6648480892181396,1.6099859476089478
83,1.641491413116455,1.5655755996704102,2.297955274581909,1.5903784036636353,1.6607987880706787,1.6036537885665894
84,1.6592738628387451,1.5462303161621094,2.2483203411102295,1.6151751279830933,1.6508861780166626,1.5715161561965942
85,1.6321927309036257,1.5678191184997559,2.3120293617248535,1.5882902145385742,1.6821272373199463,1.5934803485870361
86,1.6394375562667851,1.5308330059051514,2.2496461868286133,1.5963150262832642,1.6355280876159668,1.5773062705993652
87,1.6016004085540771,1.5375521183013916,2.282801628112793,1.5590978860855105,1.6430087089538574,1.5798763036727903
88,1.6374802589416504,1.5794132947921753,2.2453389167785645,1.581514596939087,1.695170521736145,1.5722122192382812
89,1.637082815170288,1.5556154251098633,2.223372220993042,1.5740094184875488,1.6860374212265017,1.550363540649414
90,1.65395987033844,1.5597474575042725,2.2362637519836426,1.5949909687042236,1.6994602680206299,1.5666649341583252
91,1.6139798164367676,1.543603539466858,2.2960832118988037,1.5535938739776611,1.6873774528503418,1.578977108001709
92,1.61428964138031,1.5277948379516602,2.259049892425537,1.546041488647461,1.6706781387329102,1.5641975402832031
93,1.6618592739105225,1.5501558780670166,2.2843501567840576,1.5747954845428471,1.6928074359893799,1.576563835144043
94,1.6457675695419312,1.5599098205566406,2.3032732009887695,1.5489259958267212,1.698776364326477,1.5891892910003662
95,1.5820508003234863,1.554671049118042,2.203771591186523,1.5032029151916504,1.7064454555511477,1.545717477798462
96,1.582617163658142,1.5528151988983154,2.15079927444458,1.4986963272094729,1.6848944425582886,1.5218086242675781
97,1.6353285312652588,1.5029009580612185,2.235483407974243,1.5293365716934204,1.624941349029541,1.5656813383102417
98,1.655155897140503,1.5282484292984009,2.2683634757995605,1.5425375699996948,1.6595468521118164,1.5851072072982788
99,1.62334144115448,1.5161869525909424,2.1797678470611572,1.5068625211715698,1.6263718605041504,1.5439916849136353
100,1.6362587213516235,1.5622060298919678,2.194840431213379,1.5202445983886719,1.668506145477295,1.5632456541061401
101,1.6276429891586304,1.4963409900665283,2.2476537227630615,1.5023915767669678,1.590000033378601,1.5794408321380615
102,1.6354812383651731,1.512500524520874,2.273648262023926,1.502017855644226,1.5985147953033447,1.5863395929336548
103,1.6819276809692385,1.523034691810608,2.1779556274414062,1.5418732166290283,1.6007415056228638,1.5599219799041748
104,1.6397687196731567,1.547621250152588,2.208205461502075,1.5010175704956057,1.6365830898284912,1.5812917947769165
105,1.650856852531433,1.5609922409057615,2.211926221847534,1.5132678747177124,1.6370303630828855,1.5850521326065063
106,1.6820887327194214,1.5206791162490845,2.24023175239563,1.5316522121429443,1.591307282447815,1.5908246040344238
107,1.6266119480133057,1.564380407333374,2.2707183361053467,1.486785888671875,1.6395235061645508,1.6057770252227783
108,1.6420307159423828,1.5761218070983891,2.168757438659668,1.5027844905853271,1.6594034433364868,1.5709222555160522
109,1.6413755416870115,1.544143795967102,2.1549224853515625,1.498750925064087,1.6162956953048706,1.569385051727295
110,1.659466028213501,1.5498617887496948,2.1966631412506104,1.516869068145752,1.633202314376831,1.6033254861831665
111,1.6541856527328491,1.5390905141830444,2.2189183235168457,1.5170190334320068,1.6294864416122437,1.6143324375152588
112,1.6318597793579102,1.5465848445892334,2.180325746536255,1.4994977712631226,1.6436235904693604,1.5932072401046753
113,1.6349455118179321,1.5259416103363037,2.292605400085449,1.4920800924301147,1.6282392740249634,1.6317535638809204
114,1.6384040117263794,1.5599415302276611,2.198457956314087,1.496265172958374,1.678192377090454,1.596261978149414
115,1.6666713953018188,1.5358548164367676,2.216052293777466,1.5228335857391355,1.6480894088745115,1.596875548362732
116,1.6853052377700806,1.5299038887023926,2.2768125534057617,1.5356091260910034,1.6396737098693848,1.6210857629776
117,1.65099036693573,1.516160011291504,2.2164132595062256,1.507724404335022,1.6235047578811646,1.5781219005584717
118,1.653970718383789,1.5226918458938599,2.254538059234619,1.5053762197494511,1.6248022317886353,1.6301270723342896
119,1.6703588962554932,1.4862666130065918,2.256502151489258,1.5177156925201416,1.5909582376480105,1.6160109043121338
120,1.6974446773529053,1.5117380619049072,2.2158219814300537,1.5462658405303955,1.6243195533752441,1.599597692489624
121,1.684676170349121,1.4970494508743286,2.3147904872894287,1.5273553133010864,1.5970097780227661,1.6253807544708252
122,1.6592137813568115,1.562140941619873,2.2017159461975098,1.5285625457763672,1.6774762868881226,1.582991361618042
123,1.6774675846099854,1.5077338218688965,2.2488515377044678,1.5321074724197388,1.622527837753296,1.5993061065673828
124,1.6888618469238281,1.5019488334655762,2.2289764881134033,1.5497736930847168,1.6154705286026,1.6034103631973269
