step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/training_log_ppl_step
1,0.6136376857757568,0.6168702840805054,0.641356348991394,0.6247196793556213,0.6123538017272949,0.6378822326660156
2,0.6352503299713135,0.631672739982605,0.6453457474708557,0.6331586837768555,0.6377252340316772,0.6501930356025696
3,0.643735408782959,0.6499683856964111,0.6534993052482605,0.6345604658126831,0.6471294164657593,0.656234860420227
4,0.6305782198905945,0.607942521572113,0.6372359991073608,0.631364643573761,0.6178626418113708,0.6414186954498291
5,0.6564905047416687,0.6224600076675415,0.64894700050354,0.6576232314109802,0.6372101902961731,0.6511356830596924
6,0.6238207817077637,0.6282553672790527,0.6093859076499939,0.6372067332267761,0.6435194611549377,0.6184613704681396
7,0.5980401635169983,0.5881021022796631,0.6291210055351257,0.6191949844360352,0.6087061166763306,0.6445510983467102
8,0.5921481847763062,0.6104685664176941,0.6167656779289246,0.629288375377655,0.6412299871444702,0.638390839099884
9,0.5636772513389587,0.5832967162132263,0.6155292391777039,0.6360031366348267,0.6390082240104675,0.641223669052124
10,0.5477975606918335,0.5863037705421448,0.5825095772743225,0.6488645076751709,0.6606859564781189,0.6199159026145935
11,0.5197499990463257,0.5145857334136963,0.5964629650115967,0.6328324675559998,0.6034892797470093,0.6380694508552551
12,0.5023963451385498,0.5037699937820435,0.5911082625389099,0.6144671440124512,0.5961183309555054,0.6300166845321655
13,0.5071626305580139,0.5034642219543457,0.5751613974571228,0.6144067645072937,0.6227494478225708,0.5917414426803589
14,0.5095086097717285,0.4707569479942322,0.5735726356506348,0.6239094734191895,0.6025549173355103,0.5830184817314148
15,0.4748162627220154,0.42984122037887573,0.608807384967804,0.5784904956817627,0.5964872241020203,0.6225807070732117
16,0.4680395424365998,0.4392282366752625,0.6599169969558716,0.5607987642288208,0.6252695322036743,0.6081002950668335
17,0.4593059718608856,0.4192509353160858,0.6523173451423645,0.5829501152038574,0.5810551047325134,0.5866064429283142
18,0.47409725189208984,0.4319308400154114,0.6405524015426636,0.580068826675415,0.5883315801620483,0.5687697529792786
19,0.4415186643600464,0.4235831201076507,0.6542364358901978,0.5601499676704407,0.5870815515518188,0.5829213261604309
20,0.45906123518943787,0.4355386793613434,0.7330337166786194,0.5695513486862183,0.6032022833824158,0.5890557169914246
21,0.4313425123691559,0.411236971616745,0.7477300763130188,0.5524226427078247,0.5726768374443054,0.5864965915679932
22,0.423273503780365,0.4260790944099426,0.7445710897445679,0.5563737750053406,0.5736494660377502,0.5303663611412048
23,0.4475369453430176,0.4174753427505493,0.7987455129623413,0.5736203193664551,0.5705304145812988,0.5670406818389893
24,0.4390326142311096,0.4355591833591461,0.7900702953338623,0.5575808882713318,0.5609562397003174,0.5458664894104004
25,0.4445402920246124,0.4331345856189728,0.774388313293457,0.5749808549880981,0.5597203373908997,0.5114162564277649
26,0.4343444705009461,0.4235418140888214,0.8000505566596985,0.5403014421463013,0.5629674196243286,0.5168042182922363
