step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/rollout_ppl_step
1,1.9039194583892824,1.8914549350738523,1.967602014541626,1.9308953285217283,1.8845715522766109,1.961384892463684
2,1.9503693580627441,1.9332139492034912,1.9651789665222168,1.9434995651245115,1.9469540119171145,1.9731552600860596
3,1.9873453378677368,1.9768874645233152,2.0388541221618652,1.9659172296524048,1.9710527658462524,2.0554864406585693
4,1.939015507698059,1.888998746871948,1.9432696104049685,1.9389811754226685,1.9055384397506712,1.954014539718628
5,1.9844810962677,1.9171156883239744,1.981057286262512,1.9848991632461548,1.9503536224365232,1.988919258117676
6,1.924464464187622,1.9248472452163696,1.8785799741744995,1.9544614553451536,1.9588119983673096,1.895609736442566
7,1.883378028869629,1.8460779190063477,1.920192837715149,1.92626953125,1.8833808898925781,1.9561067819595337
8,1.8513052463531496,1.889870762825012,1.901615619659424,1.9290508031845093,1.9512560367584229,1.949279546737671
9,1.8017252683639529,1.8327560424804688,1.920155882835388,1.9488177299499512,1.9394232034683228,1.9823652505874632
10,1.7788764238357544,1.8577418327331543,1.8422801494598389,1.9841930866241455,2.013869285583496,1.9146473407745361
11,1.719818353652954,1.7163280248641968,1.8633562326431272,1.9546809196472168,1.8830351829528809,1.9571712017059328
12,1.6863627433776855,1.689442753791809,1.8553245067596436,1.9046437740325928,1.8598684072494511,1.9326223134994511
13,1.6925971508026123,1.6934572458267212,1.8077274560928345,1.897106647491455,1.920859456062317,1.841454029083252
14,1.7034317255020142,1.6316955089569092,1.8038932085037231,1.9214951992034912,1.8783550262451172,1.8234275579452517
15,1.6299206018447876,1.560760498046875,1.8657200336456299,1.818636178970337,1.867841362953186,1.9265226125717163
16,1.6237564086914062,1.5730798244476318,1.9686036109924316,1.7852330207824707,1.9270949363708496,1.8834459781646729
17,1.611964464187622,1.5392067432403564,1.9577507972717283,1.8544363975524905,1.8263870477676392,1.8584022521972656
18,1.632063627243042,1.5564441680908203,1.936251640319824,1.823115587234497,1.8545056581497192,1.8061859607696529
19,1.5752999782562256,1.544519066810608,1.9627952575683592,1.7895870208740234,1.8435856103897097,1.8429276943206787
20,1.6041313409805298,1.5635764598846436,2.137453556060791,1.8090192079544067,1.8865052461624143,1.859203577041626
21,1.5641049146652222,1.5224430561065674,2.160979747772217,1.7880749702453609,1.8281266689300537,1.8477579355239868
22,1.547745704650879,1.5466630458831787,2.1576337814331055,1.7900912761688232,1.8236241340637207,1.7295769453048706
23,1.5881004333496094,1.5324711799621582,2.2706611156463623,1.820028305053711,1.8135852813720703,1.8019964694976809
24,1.5706806182861328,1.5627944469451904,2.260824203491211,1.7835824489593506,1.794502854347229,1.763413906097412
25,1.5816296339035034,1.5574514865875244,2.227189779281616,1.8268122673034668,1.8016548156738281,1.6963937282562256
26,1.563881516456604,1.5433034896850586,2.2841761112213135,1.7466652393341064,1.815072774887085,1.7035983800888062
27,1.5774637460708618,1.576995849609375,2.2949440479278564,1.8249818086624143,1.8843438625335691,1.7278101444244385
28,1.5436571836471558,1.5491605997085571,2.3218729496002197,1.7977489233016968,1.827445149421692,1.7179871797561646
29,1.5520917177200315,1.5485345125198364,2.2845304012298584,1.77787184715271,1.7732033729553225,1.6850354671478271
30,1.531697392463684,1.5077707767486572,2.356379747390747,1.730046033859253,1.7212448120117188,1.654733419418335
31,1.527005672454834,1.5461580753326416,2.401944398880005,1.7313923835754397,1.7913179397583008,1.6715359687805176
32,1.4859371185302734,1.5158253908157349,2.342315673828125,1.6808792352676392,1.7336162328720093,1.656426191329956
33,1.5297924280166626,1.4996635913848877,2.398613929748535,1.742321491241455,1.6882268190383911,1.65671706199646
34,1.5008549690246582,1.538583755493164,2.3985838890075684,1.746206521987915,1.7228357791900637,1.6656033992767334
35,1.5250345468521118,1.5262186527252195,2.295804977416992,1.7440385818481443,1.733412742614746,1.6184018850326538
36,1.522728681564331,1.5368324518203735,2.4251413345336914,1.7062835693359375,1.7459157705307011,1.6545753479003906
37,1.5079526901245115,1.519132375717163,2.3309109210968018,1.73613703250885,1.683227777481079,1.591310739517212
38,1.4995064735412598,1.5324679613113403,2.301539421081543,1.700486421585083,1.7087277173995972,1.6167985200881958
39,1.517901062965393,1.5480115413665771,2.421889066696167,1.7253762483596802,1.7334129810333252,1.6084411144256592
40,1.5285053253173828,1.528892993927002,2.3386993408203125,1.7162383794784546,1.6785101890563965,1.562417984008789
41,1.505481243133545,1.5113980770111084,2.4650752544403076,1.6811199188232422,1.6484355926513672,1.6135127544403076
42,1.510502815246582,1.5449515581130981,2.4030771255493164,1.6874933242797852,1.72281813621521,1.564197063446045
43,1.5082579851150513,1.5190043449401855,2.3516438007354736,1.6480971574783323,1.6754305362701416,1.5299793481826782
44,1.500188946723938,1.5047860145568848,2.393549919128418,1.630940556526184,1.6493706703186035,1.5556386709213257
45,1.5314278602600098,1.4974873065948486,2.4788947105407715,1.6360821723937988,1.6385828256607056,1.5562461614608765
46,1.5270545482635498,1.5027016401290894,2.404095411300659,1.6237735748291016,1.6436517238616943,1.5319842100143433
47,1.518833041191101,1.550206184387207,2.400602340698242,1.600370168685913,1.7016624212265017,1.5231050252914429
