step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/ppl_ratio_step
1,1.0004241466522217,1.000433087348938,1.0004174709320068,1.000412106513977,1.0003912448883057,1.0003905296325684
2,1.0004205703735352,1.000423550605774,1.0004204511642456,1.0004329681396484,1.000433325767517,1.0004467964172363
3,1.0003947019577026,1.0004271268844604,1.0004196166992188,1.0004339218139648,1.000455617904663,1.0004225969314575
4,1.0003902912139893,1.0003997087478638,1.0004210472106934,1.0004106760025024,1.0004167556762695,1.0004336833953855
5,1.0004369020462036,1.000410556793213,1.000429630279541,1.0004111528396606,1.000449538230896,1.0004191398620603
6,1.0004122257232666,1.000434160232544,1.000424027442932,1.0004289150238037,1.0003989934921265,1.0004050731658936
7,1.0004208087921145,1.0004156827926636,1.000430464744568,1.0004183053970337,1.0003780126571655,1.000420331954956
8,1.000411868095398,1.0004289150238037,1.000438928604126,1.0004267692565918,1.0004328489303589,1.0004336833953855
9,1.0003842115402222,1.0004297494888306,1.0004392862319946,1.0004384517669678,1.000434637069702,1.0004193782806396
10,1.0003926753997805,1.0004351139068604,1.000411868095398,1.000439167022705,1.0004076957702637,1.0004080533981323
11,1.0003894567489624,1.0003901720046997,1.0004278421401978,1.0004371404647827,1.000436782836914,1.0004287958145142
12,1.000422716140747,1.0003907680511477,1.000424027442932,1.0004339218139648,1.0004132986068726,1.0004291534423828
13,1.0003923177719116,1.0004020929336548,1.0004149675369265,1.000410079956055,1.000421166419983,1.0004169940948486
14,1.0003559589385986,1.0004034042358398,1.000430703163147,1.0004324913024902,1.0004355907440186,1.0004045963287354
15,1.0003941059112549,1.0003712177276611,1.0004092454910278,1.000414490699768,1.0004072189331057,1.0004342794418335
16,1.000364899635315,1.0003609657287598,1.0004324913024902,1.000399827957153,1.0004714727401731,1.000444412231445
17,1.000377893447876,1.000392198562622,1.0004316568374634,1.0003951787948608,1.000418186187744,1.0004353523254397
18,1.0003821849822998,1.0004148483276367,1.000458598136902,1.0004386901855469,1.0004326105117798,1.0004005432128906
19,1.0003747940063477,1.0003706216812134,1.0004912614822388,1.000418186187744,1.000380277633667,1.000407576560974
20,1.000373125076294,1.000417947769165,1.000491738319397,1.000409483909607,1.000429630279541,1.0003849267959597
21,1.0003587007522583,1.000420331954956,1.0004838705062866,1.000380277633667,1.0004420280456543,1.0004302263259888
22,1.0003650188446045,1.0003565549850464,1.0005033016204834,1.000402331352234,1.0004147291183472,1.0004265308380127
23,1.0003153085708618,1.000382661819458,1.000484585762024,1.0004167556762695,1.0004256963729858,1.0004819631576538
24,1.0003511905670166,1.0004087686538696,1.0005170106887815,1.0004541873931885,1.0004522800445557,1.0004465579986572
25,1.000390887260437,1.0003716945648191,1.000476360321045,1.0004266500473022,1.0004103183746338,1.0004315376281738
26,1.0003448724746704,1.0003793239593506,1.0005050897598269,1.0004199743270874,1.00039541721344,1.0003544092178345
27,1.0004220008850098,1.0004068613052368,1.0004737377166748,1.0004355907440186,1.0004372596740725,1.0004137754440308
28,1.000356912612915,1.0003918409347534,1.0005018711090088,1.0004160404205322,1.0004349946975708,1.0004090070724487
29,1.0003644227981567,1.000402331352234,1.000442624092102,1.000403881072998,1.0004746913909912,1.0003684759140017
30,1.0003477334976196,1.0003620386123655,1.0004841089248655,1.0004253387451172,1.0003976821899414,1.0004124641418457
31,1.000316143035889,1.000364065170288,1.0004962682724,1.000419020652771,1.0003843307495115,1.0003912448883057
32,1.0003244876861572,1.0003570318222046,1.0004725456237793,1.0003745555877686,1.000441312789917,1.000374436378479
33,1.0003317594528198,1.0003741979599,1.00050950050354,1.0004310607910156,1.0003780126571655,1.0003981590270996
34,1.000340461730957,1.000386118888855,1.00049090385437,1.0003941059112549,1.0003764629364014,1.0003972053527832
35,1.0003420114517212,1.0003418922424316,1.000510573387146,1.0003793239593506,1.0004314184188845,1.0003741979599
36,1.0003535747528076,1.000388741493225,1.00050151348114,1.000416874885559,1.0004256963729858,1.000416278839111
37,1.0003377199172974,1.0003520250320437,1.0005159378051758,1.000409722328186,1.0003938674926758,1.0003427267074585
38,1.0003491640090942,1.0003689527511597,1.0004947185516355,1.0004149675369265,1.00041663646698,1.0003825426101685
39,1.0003273487091064,1.00040602684021,1.0005457401275637,1.0004231929779053,1.000420093536377,1.0003764629364014
40,1.0003458261489868,1.0003575086593628,1.0004786252975464,1.000399112701416,1.0003676414489746,1.000370979309082
41,1.0003275871276855,1.0003732442855835,1.000515341758728,1.0003983974456787,1.000377893447876,1.000400424003601
42,1.0003669261932373,1.0003693103790283,1.0005176067352295,1.000452160835266,1.0004072189331057,1.0004079341888428
43,1.000349998474121,1.000376582145691,1.000523567199707,1.0003658533096311,1.0003819465637207,1.0003695487976074
44,1.000319004058838,1.000369668006897,1.0004994869232178,1.0003741979599,1.0003807544708252,1.0003560781478882
45,1.000332593917847,1.0003199577331543,1.0005364418029783,1.0004305839538574,1.000373601913452,1.0003981590270996
46,1.0003204345703125,1.0003609657287598,1.0004642009735107,1.000393033027649,1.000396966934204,1.0003840923309326
47,1.0003035068511963,1.0003796815872192,1.0004923343658447,1.0003910064697266,1.0003798007965088,1.0003570318222046
48,1.000356912612915,1.000428318977356,1.0004892349243164,1.0004009008407593,1.0004072189331057,1.00039541721344
49,1.000368595123291,1.000357151031494,1.0005106925964355,1.000359058380127,1.000372290611267,1.0003830194473269
50,1.0003478527069092,1.0004006624221802,1.0004448890686035,1.000391721725464,1.0004112720489502,1.0003695487976074
51,1.000333547592163,1.0004005432128906,1.00044846534729,1.0003764629364014,1.0003831386566162,1.0003443956375122
52,1.0003435611724854,1.0003790855407717,1.0004615783691406,1.0003793239593506,1.000357747077942,1.0003377199172974
53,1.0003572702407837,1.0004018545150757,1.000501036643982,1.0003743171691897,1.0003719329833984,1.0003862380981443
54,1.000354290008545,1.000380039215088,1.0004708766937256,1.0003962516784668,1.000408411026001,1.0003254413604736
55,1.0003843307495115,1.000402569770813,1.000512719154358,1.0003774166107178,1.0004125833511353,1.0004329681396484
56,1.0003474950790403,1.0003585815429688,1.0005300045013428,1.0004115104675293,1.0003660917282104,1.000370979309082
57,1.0003271102905271,1.0003743171691897,1.0004668235778809,1.0003714561462402,1.000385046005249,1.0003604888916016
58,1.0003834962844849,1.0003750324249268,1.0004733800888062,1.0003952980041504,1.0003647804260254,1.000394344329834
