step,deepseek1.5b_fa_partial_lr1e-6-val-core/MINERVA/acc/mean@16_step,deepseek1.5b_fa_partial_lr1e-5-val-core/MINERVA/acc/mean@16_step,deepseek1.5b_sync_lr1e-5-val-core/MINERVA/acc/mean@16_step,deepseek1.5b_sync_lr1e-6-val-core/MINERVA/acc/mean@16_step
0,0.22625,0.219375,0.221875,0.225625
10,0.226875,0.248125,0.245625,0.21875
20,0.231875,0.2225,0.280625,0.22875
30,0.2525,0.154375,0.27375,0.24375
40,0.240625,0.135,0.265625,0.260625
50,0.256875,0.16625,0.27625,0.250625
60,0.26,0.14375,0.246875,0.253125
70,0.24625,0.15125,0.258125,0.255
80,0.259375,0.119375,0.248125,0.27
90,0.2675,0.11375,0.238125,0.265
100,0.266875,0.115,0.2475,0.273125
110,0.27,0.094375,0.21875,0.255
120,0.26125,0.0825,0.216875,0.255625
130,0.259375,0.0775,0.194375,0.26
140,0.2725,0.08125,0.231875,0.260625
150,0.260625,0.08375,0.229375,0.26375
160,0.270625,0.093125,0.1975,0.2675
170,0.25125,0.0925,0.166875,0.253125
180,0.26625,0.08375,0.151875,0.27
190,0.270625,0.08,0.136875,0.258125
200,0.27,0.03875,0.145,0.25875
210,0.27375,0.09375,0.15125,0.2725
220,0.2675,0.090625,0.17875,0.2675
230,0.26125,0.05125,0.15375,0.271875
240,0.269375,0.059375,0.1275,0.283125
250,0.271875,0.07875,0.12125,0.27875
260,0.269375,0.08,0.08375,0.2775
270,0.265,0.085625,0.0875,0.286875
280,0.2775,0.064375,0.070625,0.265625
290,0.2725,0.06875,0.091875,0.258125
300,0.274375,0.08,0.118125,0.281875
