step,deepseek1.5b_fa_partial_lr1e-6-val-core/OLYMPIAD_BENCH/acc/mean@16_step,deepseek1.5b_fa_partial_lr1e-5-val-core/OLYMPIAD_BENCH/acc/mean@16_step,deepseek1.5b_sync_lr1e-5-val-core/OLYMPIAD_BENCH/acc/mean@16_step,deepseek1.5b_sync_lr1e-6-val-core/OLYMPIAD_BENCH/acc/mean@16_step
0,0.361875,0.375,0.380625,0.37125
10,0.3725,0.4275,0.4475,0.368125
20,0.395,0.44625,0.4825,0.396875
30,0.41375,0.388125,0.483125,0.416875
40,0.434375,0.378125,0.466875,0.421875
50,0.426875,0.406875,0.47,0.446875
60,0.43625,0.3825,0.476875,0.44625
70,0.45625,0.3575,0.484375,0.445625
80,0.468125,0.321875,0.481875,0.45
90,0.436875,0.284375,0.483125,0.454375
100,0.45875,0.2975,0.473125,0.45
110,0.46625,0.2925,0.471875,0.46875
120,0.455625,0.24625,0.471875,0.46375
130,0.45875,0.225625,0.445625,0.4575
140,0.468125,0.194375,0.461875,0.4625
150,0.48625,0.273125,0.445625,0.46875
160,0.464375,0.31125,0.434375,0.463125
170,0.471875,0.265,0.4025,0.465
180,0.473125,0.26625,0.386875,0.46375
190,0.475625,0.198125,0.37875,0.4625
200,0.466875,0.131875,0.3975,0.47
210,0.47375,0.2225,0.406875,0.458125
220,0.476875,0.2775,0.4075,0.47
230,0.461875,0.17125,0.3775,0.46375
240,0.47625,0.16375,0.3525,0.47125
250,0.480625,0.18,0.3575,0.46375
260,0.476875,0.22,0.30125,0.47125
270,0.4825,0.2075,0.289375,0.484375
280,0.4825,0.144375,0.295625,0.485
290,0.475,0.163125,0.359375,0.473125
300,0.469375,0.213125,0.38125,0.475625
