step,deepseek1.5b_sync_8gpu_lr3e-6-actor/entropy_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/entropy_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/entropy_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/entropy_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/entropy_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/entropy_step,deepseek1.5b_fa_partial_lr1e-6-actor/entropy_step,deepseek1.5b_fa_partial_lr1e-5-actor/entropy_step,deepseek1.5b_sync_lr1e-5-actor/entropy_step,deepseek1.5b_sync_lr1e-6-actor/entropy_step
1,0.6823939085006714,0.677704393863678,,0.6815186142921448,,0.6769243478775024,,,,,0.6767533421516418,0.6742796897888184
2,0.6780807375907898,0.674487829208374,0.6862899661064148,0.6737163066864014,0.6891028881072998,0.6709302663803101,0.6838436126708984,0.6710556163401394,0.6809728741645813,0.6843172311782837,0.6710342168807983,0.6768369674682617
3,0.6733111143112183,0.6771946549415588,0.6604928374290466,0.6776642799377441,,,0.6698300838470459,,0.660111129283905,0.6570291519165039,0.6857251524925232,0.6812381148338318
4,0.6612757444381714,0.6677886247634888,0.6622477173805237,0.6595618724822998,0.6646760702133179,0.6626094579696655,0.6693229079246521,0.7319069005548954,0.6671752333641052,0.6678362488746643,0.6633748412132263,0.6672302484512329
5,0.6903331279754639,0.6923235058784485,,0.6868013739585876,,0.6954206228256226,,,0.6897472143173218,0.6841915249824524,0.6689273715019226,0.6888188719749451
6,,0.6460272669792175,0.6400384902954102,,,0.6416248679161072,,,0.6394097805023193,0.6279946565628052,0.6128280162811279,0.6464506983757019
7,0.6634811758995056,0.6609768867492676,,0.6255151033401489,,0.6608772873878479,0.7484690546989441,0.903605706296688,0.6989009976387024,0.6796173453330994,0.6190820336341858,0.6637741327285767
8,0.6674798727035522,,0.6371613144874573,,,0.6710463762283325,,0.9912950255368884,0.6509827971458435,0.6262003779411316,0.6052282452583313,0.673979640007019
9,0.6784180998802185,0.6871623992919922,0.671176552772522,,0.6828082799911499,0.6865084171295166,0.7932290434837341,1.0345874810043505,0.6906022429466248,0.655690610408783,0.5942760109901428,0.6861631870269775
10,,,0.6515676379203796,0.5709141492843628,0.6576940417289734,,,1.146133195827989,0.6867084503173828,0.6415258049964905,0.538553774356842,0.6600788235664368
11,0.6193234920501709,0.6511020064353943,0.6694430708885193,0.5637177228927612,,,0.8573071956634521,,0.6869701147079468,0.6518040895462036,0.5271108150482178,0.6638740301132202
12,0.6131862998008728,0.6590301394462585,0.6560516953468323,,0.6746472716331482,0.5942599177360535,,1.6731582470915534,0.7198968529701233,0.6504016518592834,0.5202596187591553,0.6644777059555054
13,,0.6062618494033813,0.5961641073226929,,,,,,0.6394191384315491,0.6033774614334106,0.49271324276924133,0.610430896282196
14,0.5453147292137146,0.608348548412323,,0.525664210319519,,0.533744752407074,0.8431373834609985,3.2057985443207953,0.6378868222236633,0.5677285194396973,0.4903949499130249,0.6266951560974121
15,0.5574166178703308,0.6241452693939209,0.6158304214477539,0.5145629048347473,0.5966391563415527,0.5526498556137085,0.8940185904502869,4.966288122090887,0.6374953985214233,0.584616482257843,0.4863191246986389,0.6554287672042847
16,0.5458284616470337,,0.6013787984848022,,0.594088077545166,,0.9637617468833924,,0.647983193397522,0.5760058164596558,0.489526629447937,0.649925172328949
17,0.5153232216835022,0.5900382399559021,0.6422233581542969,0.4808214604854584,0.6041779518127441,0.5067026615142822,1.015180587768555,,0.6368629336357117,0.5877066254615784,0.47551605105400085,0.6357526183128357
18,0.4921126365661621,0.5777003765106201,0.6259205937385559,0.472538024187088,,0.4910324811935425,,,0.655364990234375,0.5672758221626282,0.45310351252555847,0.6050736308097839
19,0.5062474608421326,0.6182575225830078,0.5937911868095398,0.4820968806743622,0.5560658574104309,,0.9996222853660583,7.51910558875118,0.616317629814148,0.5541714429855347,0.4760867655277252,0.6320509314537048
