step,deepseek1.5b_sync_8gpu_lr3e-6-actor/pg_loss_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/pg_loss_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/pg_loss_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/pg_loss_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/pg_loss_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/pg_loss_step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_loss_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_lr1e-6-actor/pg_loss_step
1,0.02642198547573571,-0.029873863603825157,,0.04334176112934074,,0.0032221650690189563,,,,,0.01126124486199842,0.05583372998444247
2,0.0390596364800615,-0.06581094798457343,0.0012755417210428277,-0.12376530517485662,-0.001770640569702664,-0.10474157975113484,-0.003890668133408326,-0.05484299641375401,0.003570713742647058,0.001235978370459634,0.06411021554959007,-0.06008992361603305
3,-0.004863894513619016,0.013450796133838594,0.001056942368734326,-0.0005418057662609499,,,-0.005563374530652254,,0.0015852600358812197,0.006524042146338616,0.03853940930832778,0.05245008316342137
4,0.04393994546990143,0.05324257434858737,0.010895796822296688,0.009947223741619382,0.025707816630074376,-0.09516370431038013,0.0036317497199434,-0.056338499452976976,0.009522333412860462,0.017466880709434918,0.020125832578287373,0.021985462703923982
5,-0.06502474680019077,-0.05480504609295167,,-0.028135046104580397,,-0.0688515151507545,,,0.006048473645932972,-0.015533557636899786,-0.13958109737177438,-0.03917621946493455
6,,-0.04581964544672701,-0.0015434748529514764,,,-0.0413865963172384,,,0.016950800399172294,0.012518553298832558,-0.08208234854464536,-0.019971393674950377
7,0.01257351867207035,-0.02804607487450994,,-0.1096707930773846,,0.007656488123757299,-0.007316090519907448,-0.037264558848619345,0.02318038441956105,-0.01589895016513765,-0.08861729413320063,0.040075898995382886
8,-0.032372167160247045,,-0.012343857935661616,,,0.052519385372306715,,-0.10476038686647372,-0.01680683080576273,0.002618940483444021,-0.06876193365314975,0.004568734876556846
9,-0.09697494115607697,-0.11306044406001092,-0.03738377370109447,,-0.023991632514707817,-0.06015357867727289,-0.01632577221266729,-0.17474927856164868,0.005418858362190804,-0.029160177191442926,-0.02373081685436773,-0.03186312362129229
10,,,-0.01823876597927665,-0.01646179222234423,-0.023818723392764696,,,-0.09482023498458148,0.038708016929376754,-0.02018615946326463,0.06483428972933325,0.05993987366491638
11,-0.15232337735244528,-0.06821691201184876,-0.008681445230649842,-0.0006058395283616846,,,-0.012068398011251702,,-0.0023606904868529455,-0.004502576122376922,-0.012138219619373558,0.03063642296638136
12,-0.02249621540681801,-0.138502746021004,0.012722677289275452,,-0.000335863878717646,-0.03878115914517366,,-0.06108303942892235,0.024339427262702884,-0.015972621510627505,0.028792004552087747,0.01216802932333394
13,,-0.11798660396698324,-0.00850404692997131,,,,,,-0.0011818772059086768,0.02668829657960714,0.05046818417667964,0.08434229613658317
14,-0.04753838348915451,-0.10789879819276392,,0.044847003047379985,,-0.027344494878889236,0.01912833229835087,-0.06763115063222358,0.003866110810122336,0.03742789948097425,-0.002162698284337239,-0.06421057681291131
15,-0.01494395594636444,-0.10755955095009996,-0.01544764169170776,0.05579590452634875,-0.01630699375328959,-0.003324607758258935,0.011524795385184916,-0.07764819159638137,-0.0049911736668946105,0.005913686205076374,0.08174810341915872,-0.08310536824956216
16,-0.06926601395753096,,0.02468890191812534,,0.006706021915988458,,0.0013077196817903314,,-0.0036185732251396985,0.034107394113561895,0.07675880170245364,-0.08316469443980168
17,0.046476807548060606,-0.056467965434421785,0.008475198147422702,0.09124477732666492,0.008796499109394063,0.08294226284488104,0.019766755808404923,,-0.019914946303060788,0.033975753856452684,0.06527890357097021,-0.05463905034230265
18,0.044800713505537715,-0.03770434693160496,0.019630980952626945,0.07891916491553275,,0.0049297398888938915,,,-0.015250437130816865,0.02981270024974947,0.052307105911495455,-0.08871702509713941
19,-0.037654124475011486,-0.05473721295015821,0.025312838442914657,0.09226880019559758,0.02458801336521077,,0.03467573684042691,-0.1764515539543936,-0.013433442953441954,0.034756561141875864,0.1663844927916216,-0.0923106511545484
20,,-0.07055263676011236,0.024856549866626665,0.06747845503196004,,0.09346073401957256,,-0.24495355259568896,-0.006149407614429947,0.042956132730978425,0.08318869320646627,-0.07960743232979439
21,0.11954928227441997,0.001583374160418316,,0.07513212321646279,0.041431001114688115,0.06573659300829604,0.04354681252016235,-0.2680678388569504,-0.002550642148435145,0.05329818172225487,0.09084803244059005,-0.16506969217280698
22,,-0.02208489844269934,0.003698262424563836,0.07284360776543508,0.010273496460285967,0.06058859390032012,0.02123392976272953,-0.3451493363681948,-0.025960158057159788,0.03033151566023662,0.07998166585775834,-0.09657278525082802
23,,-0.06338001756284939,0.05761268733385805,0.11142079264823224,,0.007113432008736709,0.030782007811367865,-0.4015229817596264,-0.0027614975560936728,0.03978390884185501,0.0707148760603502,-0.15757355857567745
24,0.07331363879347919,-0.008440214130587265,0.012442884194115322,0.020947825167354495,0.04600964664905405,0.03520422422457159,0.052707663975525065,-0.26045086517115124,-0.0305376155220074,0.06680152600044664,0.0738101582892341,-0.04782658181193256
25,0.07003470723111604,0.05585639768787587,0.020540049248666037,0.04512460764635762,,,0.05036186766642459,-0.35743162836297415,-0.02883192337003493,0.023913162371897556,0.038190608666127446,-0.10687317077827174
26,0.06925312151179241,-0.038534405422979034,0.05150427091621168,0.04557647707770229,,,,-0.3633485695754643,0.009748560481057211,0.0539087438446586,0.03659748639256577,-0.0979578186074832
27,0.03910139082290698,-0.06383879050554242,,,,,,,0.0035593920165410964,0.04091958507160598,0.0238426247078678,-0.15535259495663922
28,0.04138920002890245,,0.011381081302261007,0.05931153930396249,0.04022978631837759,0.04977126802754128,0.06949757932579814,-0.41810623454512097,-0.01122958483443881,0.04377621957610245,0.03750663915707264,-0.08277560328133404
29,0.11510799809184392,0.03244395118963439,,0.045550267044291104,0.050384804796181015,0.05211897258323006,0.09386111419144072,-0.45144828426418826,0.004440283532403555,0.04749163034102821,0.01441047757538172,-0.03453343333603698
30,0.08359159518840897,0.015653389104045345,0.045482771975002834,0.04941299436313784,0.03965412265119994,,0.10643903894060712,-0.4354915607837029,-0.024196377371708877,0.05564787281355166,0.07086898954730714,-0.08205305286901421
31,,,0.054947968445958395,0.04857559072706863,0.034732987520328606,0.0978827610524604,0.11852939684536068,-0.3861586836865172,-0.009384385850353285,0.026075782436237205,0.061462833244149806,-0.09921786705854174
32,0.0797747058004461,0.020685566481915885,0.029040236603350426,0.04723995533731795,0.03827683367703116,0.06483360196597232,,-0.36408199794823304,-0.017083826285215764,0.052332033130085165,0.06458814962115866,-0.0314903255457466
33,0.019758515633839124,0.04620649140088062,0.03742006555603439,0.03457145437641884,0.04858502394381503,0.01111249217092336,,-0.370862109324662,0.01845342485614765,0.03815727111373235,0.09174432476129368,-0.09289956847896974
34,0.0960002522325567,0.011609365616095602,0.04233854283529581,0.02942262880230828,0.05607219304511091,0.033087815894987216,0.12499876082802076,,0.0021700671445614717,0.03803690986069341,0.05728804110913188,-0.033782558733946644
